Northern Low Saxon	Northern Low Saxon	probability
ˈɪ_d	s	1.0
ˈɛː	d_ˈiː	1.0
ˈɛɪ̯	-	1.0
ˈɛ	-	1.0
ˈɔː	ˈuː_ɐ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈyː	ˈɑɪ̯	1.0
ˈeː_l	l	1.0
ˈeː_d	s	1.0
ˈeː	-	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	ə	1.0
ɐ_n_#>	ʀ_#>	1.0
ç_#>	#>	1.0
z̥	z̥	1.0
z	z	1.0
r	ʀ	1.0
pʰ	pʰ	1.0
p	-	1.0
l	l	1.0
kʰ	kʰ	1.0
i	ə_ɕ	1.0
h	h	1.0
d_ˈɪ	d_ˈe	1.0
d_#>	#>	1.0
b_m	f_ə	1.0
b_#>	f_#>	1.0
aɪ̯	e	1.0
<#_n	<#_n	1.0
<#	<#_ˈeː	1.0
ɐ	ɐ	0.941
tʰ	ʦ	0.9
n	n	0.864
#>	n_#>	0.857
m	m	0.821
f	f	0.821
ŋ	ŋ	0.786
b	b	0.773
v	v	0.714
t	t	0.7
ˈiː	ˈæːɪ̯	0.692
ˈøː	-	0.667
ˈʊ	ˈo	0.643
ˈa	ˈaː	0.609
x	ɕ	0.571
s	ʃ	0.571
ˈʏ	ˈə	0.556
ˈaɪ̯	ˈɜɪ̯	0.522
ˈɪ	ˈɑ	0.5
ˈɔ	ˈo	0.5
ˈʏ	ˈe	0.444
ç	ɕ	0.444
ˈaː	ˈaː	0.429
x	χ	0.429
s	ʃ_t	0.429
ˈoː	ˈoː	0.409
d	d	0.408
ˈɪ	ˈə	0.4
ˈaɪ̯	ˈeː	0.391
ˈɔʏ̯	ˈɜɪ̯	0.364
ˈɔʏ̯	-	0.364
ˈuː	ˈɑʊ̯	0.357
ˈuː	ˈæːʊ̯	0.357
ˈøː	ˈiː	0.333
ɡ	ɡ	0.333
ç	k	0.333
ˈaʊ̯	ˈəʊ̯	0.321
ˈaʊ̯	ˈaː	0.321
ˈiː	ˈɑɪ̯	0.308
ˈa	ˈɑ	0.304
t	-	0.3
ˈuː	-	0.286
ˈaː	ˈɑ_l	0.286
ˈaː	ˈiː_ɐ	0.286
v	w	0.286
d	d̥	0.276
ˈɔʏ̯	ˈi	0.273
ˈɔ	ˈɑ	0.25
ˈɔ	-	0.25
ç	ɕ_t	0.222
ˈʊ	ˈɔ	0.214
ŋ	ə_n	0.214
ɡ	ɕ	0.2
ɡ	k	0.2
ˈoː	ˈaː	0.182
f	v̥	0.179
ˈʊ	-	0.143
#>	f_#>	0.143
ˈoː	-	0.136
b	p	0.136
ɡ	χ	0.133
d	s	0.132
d	t	0.118
ˈaʊ̯	ˈu	0.107
ˈaʊ̯	-	0.107
m	v_ə	0.107
ˈɪ	ˈiː	0.1
tʰ	tʰ	0.1
ˈoː	ˈɜɪ̯	0.091
ˈoː	ˈəʊ̯	0.091
ˈoː	ˈuə̯	0.091
b	b_ˈiː	0.091
ˈaɪ̯	-	0.087
ˈa	ˈuə̯	0.087
ˈaʊ̯	ˈʊ	0.071
ˈaʊ̯	ˈɜɪ̯	0.071
m	n	0.071
ɡ	ɕ_ə	0.067
ɡ	-	0.067
d	ʦ	0.066
ɐ	ʀ_ə	0.059
