Bokmål Norwegian	Luxembourgish	probability
#>	#>	0.675
#>	n_#>	0.139
#>	t_#>	0.127
<#	<#	0.988
<#_j	<#	1.0
b	b	1.0
d	d	0.672
d	t	0.233
d	s	0.056
e	ˈaː	0.489
f	f	1.0
h	h	0.965
i	ə	0.489
j	ɡ	0.324
j	ˈɛː	0.221
j	ɕ	0.188
j	-	0.164
j	ˈiː	0.078
k	ɕ	0.691
k	χ	0.134
k	k	0.121
k_#>	#>	1.0
kʰ	kʰ	0.886
kʰ	f	0.101
kː	ŋ_k	0.594
kː	k	0.392
l	l	1.0
lː	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.912
n	-	0.053
n_#>	#>	1.0
nː	n	0.866
nː	s	0.073
nː	ŋ	0.061
p	f	0.776
p	p	0.171
p_ə	f	1.0
pʰ	f	0.489
s	ʃ	0.501
s	z	0.23
s	s	0.216
s_k	ʃ	1.0
sː	s	1.0
t	s	0.512
t	t	0.407
t	ʦ	0.066
tʰ	d	0.631
tʰ	ʦ	0.327
tː	ɕ_t	0.359
tː	t	0.175
tː	ʦ	0.175
tː	χ	0.175
tː	s	0.079
ç	d	0.5
ç	kʰ	0.5
ŋ	e	0.574
ŋ	ɕ	0.281
ŋː	ŋ	1.0
ə	-	0.54
ə	ə	0.437
ə_ɾ	ɐ	1.0
ɡ	ɡ	0.558
ɡ	-	0.171
ɡ	ɕ	0.098
ɡ	ʑ	0.098
ɡ	χ	0.06
ɡː	k	0.776
ɡː	-	0.171
ɪ	ə	0.489
ɳ	ʀ	0.562
ɳ	-	0.416
ɾ	ʀ	0.542
ɾ	ɐ	0.324
ɾ	d_ɐ	0.078
ɾ_#>	#>	1.0
ɾ_ə	ɐ	1.0
ʂ	z	0.239
ʂ	m	0.117
ʃ	ʃ	0.489
ʈ	ʦ	0.489
ʈː	ʦ	0.489
ʋ	v	0.582
ʋ	w	0.171
ʋ	f	0.123
ʋ	-	0.073
ˈeː	ˈeː	0.213
ˈeː	ˈiə̯	0.213
ˈeː	ˈuə̯	0.141
ˈeː	ˈəɪ̯	0.107
ˈeː	ˈæːɪ̯	0.091
ˈeː	ˈɛ	0.091
ˈeː	ˈaː	0.064
ˈiː	ˈæːɪ̯	0.325
ˈiː	ˈæɪ̯	0.137
ˈiː	ˈə	0.119
ˈiː	ˈɑɪ̯	0.104
ˈiː	ˈi	0.079
ˈiː	ˈɑ	0.079
ˈiː	ˈəɪ̯	0.079
ˈiː	ˈe	0.056
ˈoː	ˈoː	0.495
ˈoː	ˈi	0.12
ˈoː	ˈəʊ̯	0.12
ˈoː	ˈæ	0.089
ˈoː	ˈəɪ̯	0.089
ˈoː	ˈɑ	0.066
ˈuː	ˈʊ	0.268
ˈuː	ˈaː	0.183
ˈuː	ˈu	0.179
ˈuː	w	0.072
ˈuː	ʀ	0.072
ˈuː	ˈəʊ̯	0.071
ˈuː	ˈo	0.056
ˈuː	-	0.056
ˈyː	ˈəɪ̯	0.578
ˈyː	ˈɑɪ̯	0.304
ˈyː	ˈiː	0.101
ˈæ	ˈiː	0.574
ˈæ	ˈə	0.281
ˈæɪ̯	ˈeː	0.718
ˈæɪ̯	ˈoː	0.121
ˈæɪ̯	ˈə	0.117
ˈæː	ˈiə̯	0.45
ˈæː	ˈɑɪ̯	0.208
ˈæː	ɐ	0.192
ˈøː	ˈəɪ̯	0.414
ˈøː	ˈəʊ̯	0.28
ˈøː	ˈaː	0.185
ˈøː	ɐ	0.068
ˈœ	ˈo	0.163
ˈœ	ˈə	0.159
ˈœ	ˈe	0.11
ˈœ	ˈeː	0.11
ˈœ	ˈiː	0.105
ˈœ	ˈɑ	0.084
ˈœ	ˈəɪ̯	0.071
ˈœ	ˈaː	0.051
ˈœʏ̯	ˈaː	0.489
ˈɑ	ˈɑ	0.451
ˈɑ	ˈaː	0.354
ˈɑ	ˈʊɪ̯	0.058
ˈɑ_ɾ	ˈaː	1.0
ˈɑː	ˈaː	0.654
ˈɑː	ˈuə̯	0.223
ˈɑː	ˈu	0.088
ˈɔ	ˈaː	0.28
ˈɔ	ˈɑɪ̯	0.28
ˈɔ	ˈuə̯	0.171
ˈɔ	ˈuː	0.171
ˈɛ	ˈaː	0.198
ˈɛ	ˈə	0.182
ˈɛ	ˈeː	0.172
ˈɛ	ˈɛ	0.168
ˈɛ	ˈiː	0.097
ˈɛ	ˈæ	0.084
ˈɛ	ɐ	0.069
ˈɛː	ˈɛː	1.0
ˈɪ	ˈɑ	0.327
ˈɪ	ˈə	0.309
ˈɪ	ˈe	0.125
ˈɪ	ˈiː	0.112
ˈɪ	ˈi	0.083
ˈʉ	ˈo	0.611
ˈʉ	ˈe	0.14
ˈʉ	ˈə	0.14
ˈʉ	ˈɔ	0.098
ˈʉː	ˈæːʊ̯	0.419
ˈʉː	ˈu	0.156
ˈʉː	ˈəʊ̯	0.103
ˈʉː	ˈəɪ̯	0.081
ˈʉː	ˈiə̯	0.076
ˈʉː	ˈo	0.076
ˈʉː	ˈɑɪ̯	0.063
ˈʊ	ˈi	0.22
ˈʊ	ˈɑɪ̯	0.22
ˈʊ	ˈu	0.142
ˈʊ	ˈɔ	0.142
ˈʊ	j	0.096
ˈʊ	ˈuː	0.059
ˈʏ	ˈe	0.351
ˈʏ	ˈo	0.202
ˈʏ	ˈæːɪ̯	0.202
ˈʏ	ˈɑ	0.088
ˈʏ	ˈə	0.088
