Bellunese	Aragonese	probability
f	f	1.0
k	k	1.0
m	m	1.0
p	p	1.0
ɲ	-	1.0
ˈu	ˈu	1.0
e	ˈe	0.1
i	e	0.361
j	j	0.371
l	l	0.561
s	θ	0.101
s	s	0.831
ŋ	-	0.071
ˈe	e	0.051
ˈi	ˈi	0.981
ˈo	ˈo	0.521
j	l	0.482
l	ʎ	0.052
t	t	0.582
z	θ	0.352
θ	-	0.162
a	a	0.893
d	d	0.513
l	l_o	0.123
v	b	0.583
z	s	0.503
ð	-	0.313
ʧ	ʎ	0.793
ˈo	w_ˈe	0.43
ˈɔ	ˈo	0.183
b	b	0.964
j	-	0.114
l	ʎ_o	0.264
w	w	0.454
ɡ	ɡ	0.324
ˈe	j_ˈe	0.134
v	β	0.375
ŋ	n_o	0.275
ˈe	ˈe	0.815
ˈɛ	ˈe	0.05
ˈɛ	j_ˈe	0.775
d	ð	0.36
r	ɾ	0.826
w	-	0.546
z	-	0.146
ɡ	ɣ	0.676
d	-	0.127
e	ˈi	0.097
e	-	0.177
o	o	0.77
r	r	0.077
ð	ʧ	0.687
ʧ	-	0.207
ˈɔ	w_ˈe	0.817
ˈɛ	-	0.087
a	-	0.068
e	e_ʝ	0.068
e	e	0.558
n	-	0.098
o	ˈo	0.078
o	e	0.138
t	t_o	0.058
ˈa	ˈa	0.908
ˈɛ	ˈe_j	0.088
θ	θ	0.838
i	i	0.639
n	n	0.859
t	ð	0.29
ŋ	ŋ	0.229
ŋ	n	0.379
