Provençal	Québécois French	probability
ˈɛ_ʀ	æɛ̯_ʁ	1.0
ˈɛ_w	oʊ̯	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈỹ_ŋ	œ̃ʏ̯̃	1.0
ˈỹ	-	1.0
ˈu_ʀ	u_ʁ	1.0
ˈu_ɔ	øʏ̯	1.0
ˈu_s	w	1.0
ˈĩ_ŋ	ẽɪ̯̃	1.0
ˈẽ_ŋ	ã	1.0
ˈẽ	-	1.0
ˈe_ʧ	i	1.0
ˈe_w	f	1.0
ˈe_s	o	1.0
ˈã	ẽɪ̯̃	1.0
ˈa_w	oʊ̯	1.0
ˈa_j	æɛ̯	1.0
ɔ	-	1.0
ŋ_t	t	1.0
y	-	1.0
w_ˈẽ	ɒ̃ʊ̯̃	1.0
ũ	ɒ̃ʊ̯̃	1.0
p	p	1.0
n_w	n	1.0
n	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
k_w	k	1.0
j_ˈe	i	1.0
ĩ	ẽɪ̯̃	1.0
f	f	1.0
ẽ	-	1.0
e_s	e	1.0
b_ɾ	v_ʁ	1.0
ã	ã	1.0
ɾ	ʁ	0.961
ʀ	ʁ	0.929
v	v	0.91
m	m	0.901
t	t	0.854
ɥ	ɥ	0.785
b	b	0.773
ɲ	ɲ	0.761
s	s	0.758
ˈũ	ɒ̃ʊ̯̃	0.744
z	z	0.72
ʤ	ʒ	0.719
ˈi	ɪ	0.653
ɡ	ɡ	0.62
w_ˈe	ɑɔ̯	0.616
a	a	0.614
w	-	0.605
ˈu	u	0.563
ɥ_ˈe	œ	0.539
ˈy	y	0.536
ˈã_ŋ	ẽɪ̯̃	0.533
k	ʃ	0.514
ŋ	ẽɪ̯̃	0.503
ˈɔ	f	0.5
ˈɔ	-	0.5
ŋ	-	0.497
ˈã_ŋ	ã	0.467
ˈy	ʏ	0.464
ɥ_ˈe	ɥ	0.461
d	d	0.457
i	-	0.446
k	k	0.434
e	-	0.432
d	-	0.43
ˈa	æɛ̯	0.428
u	u	0.408
e	œ	0.4
w_ˈe	ɔ	0.384
ɡ	-	0.38
u	ɔ	0.371
j	j	0.326
ˈa	a	0.299
ˈɛ	-	0.292
i	i	0.288
ʤ	-	0.281
z	-	0.28
i	w_ɛ	0.266
ˈi	i	0.264
j	ɛ	0.258
ˈũ	w	0.256
ɲ	ẽɪ̯̃	0.239
b	v	0.227
u	-	0.221
ˈɛ	w	0.218
ɥ	œ	0.215
ˈe	w	0.213
a	æɛ̯	0.202
ˈe	j	0.199
ˈe	ɛ	0.192
ˈɛ	j	0.185
ˈu	ʊ	0.173
ˈe	æɛ̯	0.16
ˈɛ	ɛ	0.153
ˈɛ	j_ɛ	0.153
ˈu	-	0.15
j	æɛ̯	0.147
t	ʦ	0.146
w	ɑɔ̯	0.142
s	-	0.14
ˈe	-	0.138
j	-	0.135
j	i	0.134
w	œ	0.126
w	u	0.126
ˈu	œ	0.114
d	ʣ	0.113
m	-	0.099
ˈa	ɑ	0.093
a	œ	0.092
a	-	0.092
v	-	0.09
e	w_ɛ	0.088
ˈi	e	0.083
e	ɛ	0.08
s	t	0.074
ʀ	ɑɔ̯_ʁ	0.071
ˈa	ɛ	0.069
ˈa	e	0.069
ˈe	i	0.067
k	øʏ̯	0.052
