Logudorese	Eastern Lombard	probability
f	f	1.0
j	z	1.0
ŏ	-	1.0
p	p	1.0
z	-	1.0
ŋ	n	1.0
ɖ	t	1.0
ɖː	l	1.0
ɲː	ɲ	1.0
ʦ	s	1.0
β	-	1.0
e	-	0.41
l	l	0.961
r	j	0.071
rː	r_n	0.511
t	ʧ	0.111
ˈe	ˈi	0.061
ˈe	ˈe	0.31
ˈu	ˈu	0.211
a	a	0.92
d	d	0.982
ɡ	ɡ	0.42
ˈo	ˈo	0.222
ˈu	ˈo	0.232
k	-	0.173
n	n	0.733
nː	n	0.473
t	-	0.173
ð	t	0.13
ɡ	z	0.363
ʣ	l	0.823
ˈu	-	0.053
e	e	0.354
i	-	0.214
i	e	0.4
u	o	0.144
ð	d	0.614
ɣ	s	0.124
ˈo	ˈɔ	0.304
b	b	0.495
m	-	0.085
o	-	0.135
o	o	0.805
t	t	0.715
ˈa	ˈa	0.85
ˈi	ˈe	0.155
e	ˈi	0.106
e	a	0.126
m	ŋ	0.056
n	-	0.246
o	u	0.06
r	r	0.536
u	-	0.776
ð	-	0.256
ɡ	-	0.216
a	-	0.07
i	i	0.367
nː	ɲ	0.527
s	s	0.987
ɣ	ɡ	0.127
ʣ	-	0.177
ˈi	j_ˈø	0.077
ˈo	ˈø	0.257
ˈu	ˈø	0.207
b	k	0.208
k	s	0.248
r	-	0.388
u	e	0.08
ˈe	ˈɛ	0.58
ˈi	ˈɛ	0.28
ˈi	ˈi	0.488
ˈo	ˈu	0.218
ˈu	ˈy	0.298
b	z	0.259
k	k	0.579
m	m	0.859
rː	r	0.489
ɣ	-	0.749
ˈa	-	0.09
