Northern Low Saxon	Mecklenburgisch-Vorpommersch	probability
ˈʏ	ˈʏ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɛɪ̯	ˈɛɪ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈoː_æ	1.0
ˈɔ	ˈɔ	1.0
ˈœː	-	1.0
ˈøː	ˈœː	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɐ	æ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
tʰ	tʰ	1.0
t	t	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n_n	n_n	1.0
n	n	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
aɪ̯	ae̯	1.0
ˈa	ˈa	0.942
l	l	0.91
m	m	0.909
ˈʊ	ˈʊ	0.872
ˈɔʏ̯	ˈɔʏ̯	0.863
ˈaɪ̯	ˈae̯	0.855
v	v	0.847
ˈoː	ˈɒː	0.839
s	s	0.804
f	f	0.791
x	x	0.788
ˈaː	ˈaː	0.773
d_n	t_n	0.762
ˈaʊ̯	ˈaʊ̯	0.744
b	b	0.7
ˈeː	ˈɛː	0.637
ɡ	k	0.601
ˈeɪ̯	-	0.593
ˈœ	ˈœ	0.5
ˈœ	-	0.5
ˈeɪ̯	ˈae̯	0.407
d	d	0.354
ɡ	ɡ	0.348
b	p	0.3
d	t	0.247
d	d̥	0.245
d_n	d_n	0.238
ˈaː	ˈa_l	0.227
ˈeː	ˈɛ	0.213
x	ɣ̊	0.212
f	v̥	0.209
s	ʃ	0.196
ˈoː	ˈoː	0.161
d	ɾ	0.155
v	w	0.153
ˈeː	-	0.15
ˈaʊ̯	ˈuː	0.144
ˈɔʏ̯	ˈøː	0.137
ˈʊ	ˈɔ	0.128
ˈaʊ̯	-	0.112
ˈaɪ̯	ˈiː	0.095
m	b_m	0.066
ˈa	ˈaː	0.058
l	ˈɛ_l	0.055
ɡ	j	0.051
