Pennsylvania German	East Low German	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_s	<#_z	1.0
<#_v	<#_v	1.0
<#_ɾ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʋ	<#_v	1.0
<#_ʦ	<#_tʰ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈeː	<#_ˈae̯	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈʊ	<#_ˈʊ	1.0
b̥_#>	f_#>	1.0
d	d	1.0
f_#>	p_#>	1.0
j_ə	ŋ	1.0
k	k	1.0
k_s	s	1.0
l	l	1.0
l_#>	l_#>	1.0
m_#>	m_#>	1.0
m_ə	m	1.0
n_#>	n	1.0
n_ə	n	1.0
n_ɪ	n_ɪ	1.0
p	p	1.0
s	t	1.0
t	t	1.0
t_#>	t_#>	1.0
v	b	1.0
v_ə	m	1.0
x	x	1.0
x_#>	k	1.0
x_t	x	1.0
ç_#>	k_#>	1.0
ç_t	ç	1.0
ŋ	ŋ	1.0
ɑ_#>	æ_#>	1.0
ə_#>	n_#>	1.0
ɣ	ɡ	1.0
ɪ	-	1.0
ɪ_ç	ɪ_ç	1.0
ɾ_ə	æ_n	1.0
ɾ_ˈaɪ̯	r_ˈʏ	1.0
ʃ	s	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ʦ_#>	t_#>	1.0
ˈa_l	ˈɔ_l	1.0
ˈaʊ̯	ˈuː	1.0
ˈeː_#>	ˈae̯_#>	1.0
ˈuː_#>	ˈaʊ̯_#>	1.0
ˈɔ_l	ˈʊ_l	1.0
ˈɔː_m	ˈaʊ̯_m	1.0
ʋ	w	0.571
ˈaɪ̯	ˈiː	0.611
ˈɪ	ˈɛ	0.071
d̥_#>	t	0.452
n	n	0.882
ɾ	-	0.2
ˈaɪ̯	ˈɪ	0.222
ˈeː	ˈeː	0.2
ˈoː	ˈaʊ̯	0.462
ˈuː	ˈɔʏ̯	0.222
ˈʊ	ˈʊ	0.692
<#_ɡ	<#_ɡ	0.643
ç	-	0.333
ŋ_#>	ŋ_k	0.333
ə	ŋ	0.273
ˈeː	ˈɛ	0.133
ˈɔː	ˈɛː	0.143
ˈɔː	ˈaː	0.143
ˈɛ	ˈœː	0.143
ˈɛ	ˈʏ	0.143
ˈɛ	ˈœ	0.143
f	p	0.4
k_#>	k	0.4
ɑ	æ	0.4
ə	-	0.364
ə	m	0.364
ɡ̊_#>	x_#>	0.4
ˈa_n	ˈɪ_n	0.4
ˈɔ	ˈɔ	0.714
ˈɔː	ˈa	0.214
ˈɔː	ˈɒː	0.214
ˈɛ	ˈɛː	0.214
ˈɪ	ˈʏ	0.214
ˈɪ	ˈɪ	0.714
#>	t_#>	0.25
#>	n_#>	0.75
<#_d	<#	0.065
<#_d	<#_d	0.935
d_ɑ	t_æ	0.375
d_ɑ	ɾ_æ	0.625
s_#>	s_#>	0.455
s_#>	t_#>	0.545
ˈa	ˈuː_æ	0.095
ˈa	ˈaʊ̯	0.095
ˈaː	ˈuː_æ	0.5
ˈaː	ˈaː	0.5
ˈiː	ˈiː	0.125
ˈiː	ˈaɪ̯	0.125
ˈiː	ˈɔʏ̯	0.25
ˈiː	ˈae̯	0.5
ˈɛː	ˈiː_æ	0.5
ˈɛː	ˈaː	0.5
f	f	0.6
k_#>	ç	0.6
ɑ	-	0.6
ɡ̊_#>	ç_#>	0.6
ˈa_n	ˈa_n	0.6
ˈɔ	ˈɒː	0.286
ˈɔː	ˈoː	0.286
<#_ɡ	<#_j	0.357
ç	ç	0.667
ŋ_#>	ŋ	0.667
ˈaɪ̯	ˈyː	0.167
ˈeː	ˈae̯	0.667
ˈɛ	ˈɛ	0.357
d̥_#>	d_#>	0.548
n	-	0.118
ɾ	r	0.8
ˈoː	ˈɒː	0.538
ˈuː	ˈaʊ̯	0.778
ˈʊ	ˈɔ	0.308
ʋ	v	0.429
ˈa	ˈɒː	0.19
ˈa	ˈa	0.619
