Nuorese	Nuorese	probability
ˈɛ_ɣ	ˈe	1.0
ˈɔ_ɾ	ˈɔ_ɬ	1.0
ˈi_β	ˈi	1.0
ˈa_m	ˈa_mː	1.0
ˈa_k	ˈa_ɡ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	r_u	1.0
ɾ_k	xː	1.0
ɾ_a	r_a	1.0
ɛ̆	-	1.0
ɛ_ɾ_ɛ_#>	#>	1.0
ɛ_n	u	1.0
ɛ_#>	#>	1.0
ɖː	dː	1.0
ɔ̆_#>	#>	1.0
ɔ_z	i	1.0
ɔ_l	u_r	1.0
ŋ_ɡ	ɲː	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_u	ʦː_u	1.0
t_a	dː_a	1.0
s_p	pː	1.0
p_ɾ	p_j	1.0
n_ʣ	ɲː	1.0
n_u	n_u	1.0
l_u	r_u	1.0
k_ɛ	ʦ_i	1.0
j	j	1.0
i_ð	u	1.0
d	d	1.0
ă	i	1.0
a_n	a_n	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_i	<#_i	1.0
<#	<#_k	1.0
u	u	0.973
a	a	0.967
f	f	0.962
n	n	0.946
ˈa	ˈa	0.939
p	p	0.875
ð	d	0.818
ˈe	ˈɛ	0.783
i	i	0.783
β	β	0.75
ɛ	i	0.717
ɣ	-	0.714
ɔ	u	0.714
r	rː	0.714
e	i	0.714
ˈo	ˈɔ	0.706
ˈi	ˈi	0.676
k_ɾ	ʧː	0.667
<#_a	<#_a	0.667
l	l	0.655
ʣ	ʎː	0.625
ɛ_ɾ	ˈi	0.615
ˈu	ˈu	0.606
ɡ	ʤ	0.6
ˈɛ	ˈe	0.571
z	-	0.538
t	t	0.524
m	m	0.524
ˈɔ	ˈo	0.5
ʦ	ʦː	0.5
ʦ	-	0.5
s_k	xː	0.5
s	s	0.5
nː	nː	0.5
nː	n	0.5
b	b	0.5
#>	u_#>	0.5
#>	j_#>	0.5
ɾ	r	0.459
o	u	0.444
k	ʦ	0.435
k	ɡː	0.435
ɡ	ɡ	0.4
b	v	0.4
ʣ	-	0.375
ˈɔ	ˈɔ	0.367
t	tː	0.333
s_k	ʃː	0.333
o	-	0.333
k_ɾ	ʧ	0.333
<#_a	<#	0.333
ˈɛ	ˈɛ	0.321
ˈo	ˈo	0.294
ɣ	ɡ	0.286
ɔ	o	0.286
r	r	0.286
m	mː	0.286
e	-	0.286
l	r	0.276
ˈu	ˈo	0.273
β	-	0.25
ɛ_ɾ	a_r	0.231
z	z	0.231
o	o	0.222
ˈe	ˈe	0.217
s	sː	0.206
ɾ	j	0.189
ð	-	0.182
s	ɬ	0.176
s_k	x	0.167
ɛ_ɾ	r	0.154
z	ˈa_ɬ	0.154
t	dː	0.143
ˈi	-	0.135
ˈɔ	u	0.133
k	kː	0.13
i	ˈi	0.13
ˈu	ˈɔ	0.121
ˈi	ˈe	0.108
ɾ	a_r	0.108
ˈɛ	i	0.107
b	-	0.1
m	ŋ_ɡ	0.095
m	ŋ	0.095
ɛ	u	0.094
i	-	0.087
ˈi	ˈɛ	0.081
ɾ	-	0.081
z	ʣ	0.077
l	dː	0.069
p	β	0.062
p	bː	0.062
ˈa	-	0.061
s	ʃː	0.059
s	-	0.059
ɛ	ˈe	0.057
ɛ	a	0.057
ɾ	ɮ	0.054
ɾ	i	0.054
ɾ	d	0.054
n	-	0.054
