Macedonian	Macedonian	probability
ˈ_#>	ˈ_#>	1.0
ʦ	ʦ	1.0
ʒ̊	-	1.0
ʒ	ʒ	1.0
ʃ	-	1.0
ɾ	r̝	1.0
ɲ	ɲ	1.0
ɫ_a	w_ɔ	1.0
ɫ_#>	l_#>	1.0
ɡ̊	ɡ̊	1.0
ɟ	ʣ	1.0
ɔ	u̯ɛ	1.0
z̥	z̥	1.0
z	z	1.0
u_ˈ	ˈ	1.0
u_m	m_ə	1.0
s	s	1.0
r̩	ɛ	1.0
r_#>	r_#>	1.0
p	p	1.0
o_k	ʧ_i	1.0
n_#>	#>	1.0
m	m	1.0
l_ɛ	l_a	1.0
l	l	1.0
k_#>	k_#>	1.0
d̥	d̥	1.0
c	-	1.0
b̥	b̥	1.0
b	b	1.0
a_ˈ	ˈ	1.0
a_r	r_i	1.0
<#_ɛ	<#_j_ɛ	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_o	<#_u̯ɛ	1.0
<#_j	<#_j	1.0
<#	<#_w	1.0
ˈ	ˈ	0.966
k	k	0.895
a_#>	a_#>	0.893
ɡ	ɡ	0.846
#>	i_#>	0.818
n	n	0.8
v	v	0.773
d	d	0.75
o_#>	ɔ_#>	0.692
t	t	0.684
i	ə	0.684
ɫ	w	0.667
u	ʉ	0.6
ʧ	ʧ	0.5
ʧ	ʃ	0.5
ɛ_#>	ɛ_#>	0.5
ɛ_#>	#>	0.5
f	x	0.5
f	f	0.5
a	a	0.476
r	r	0.444
u	ə	0.4
r	r̝	0.389
t	ʦ	0.316
i	i	0.316
o_#>	u̯ɛ_#>	0.308
o	ɔ	0.276
o	u̯ɛ	0.276
d	ʣ	0.25
ɛ	ɛ	0.212
o	u	0.207
n	ɲ	0.2
#>	ʦ_#>	0.182
ɡ	ʤ	0.154
ɛ	e	0.154
ɫ	l	0.143
a	ɛ	0.143
a	õ	0.143
a	ã	0.143
v	-	0.136
ɛ	-	0.135
r	-	0.111
a_#>	#>	0.107
k	-	0.105
o	ɞ	0.103
ɫ	i	0.095
ɫ	d_w	0.095
a	ɞ	0.095
v	x	0.091
ɛ	ɔ	0.077
ɛ	u	0.077
ɛ	j_ɞ	0.077
o	ɛ	0.069
o	w_u	0.069
ɛ	j_ɛ	0.058
ɛ	j_ã	0.058
ɛ	j_a	0.058
ɛ	j	0.058
r	ɾ	0.056
