Afrikaans	Afrikaans	probability
ˈɪø̯	ˈu	1.0
ˈɛː	aː	1.0
ˈɛ	ˈa	1.0
ˈœu̯	ˈa_l	1.0
ˈæː	ˈɛ	1.0
ˈæ	ˈi	1.0
ˈu	ˈoː	1.0
ɫ_v̥	l_b	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
w	w_s	1.0
r_#>	#>	1.0
p	p	1.0
m	m	1.0
k_ˈɔ	kʷ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
d_ə	θ_a	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_k	<#_k	1.0
#>	s_#>	0.928
n	n	0.909
v	w	0.9
v̥	f	0.889
ˈə	ˈi	0.882
ˈa	ˈa	0.875
r	r	0.811
ɫ	l	0.783
ˈœɪ̯	ˈuː	0.75
ˈɔ	ˈu	0.733
ŋ	ŋ_ɡ	0.714
t	t	0.708
d	d	0.688
s	s	0.636
ˈi	ˈiu̯	0.583
ˈʊə̯	ˈɔː	0.562
ˈɑː	ˈa	0.538
ˈəɪ̯	ˈiː	0.5
ˈɑː	ˈeː	0.462
ˈɪə̯	ˈɛː	0.429
d̥	θ	0.423
ˈi	-	0.417
ə	-	0.375
χ	h	0.364
ˈɪə̯	ˈi	0.357
ˈʊə̯	ˈɔ	0.312
ə	a	0.312
d	θ	0.312
ŋ	ŋ	0.286
χ	x	0.273
ˈɔ	-	0.267
ˈəɪ̯	ˈɛː	0.25
ˈəɪ̯	-	0.25
ˈœɪ̯	ɡʷː	0.25
ə	u	0.25
d̥	d	0.231
ˈɪə̯	-	0.214
d̥	-	0.192
χ	ɣ	0.182
χ	ɡ	0.182
s	s_t	0.182
s	s_k	0.182
ɫ	lː	0.13
ˈʊə̯	-	0.125
ˈa	ˈu	0.125
t	t_a	0.125
ˈə	ˈiː	0.118
v̥	β	0.111
r	-	0.108
v	ʍ	0.1
n	nː	0.091
ɫ	h_l	0.087
t	s	0.083
t	-	0.083
r	ˈɛ_r	0.081
d̥	θ_u	0.077
d̥	d_u	0.077
#>	j_a_n_#>	0.072
ə	e	0.062
