East Frisian Low Saxon	East Frisian Low Saxon	probability
χ	χ	1.0
ˈʏə̯	ˈɛː	1.0
ˈʊə̯	-	1.0
ˈɪə̯	ˈɪ	1.0
ˈɪ_l	ˈi_l	1.0
ˈɛːɪ̯_#>	#>	1.0
ˈɛːɪ̯	ˈɛ_j	1.0
ˈɛə̯	ˈɪ	1.0
ˈɔː	ˈiə̯	1.0
ˈɒːɒ̯	ˈaː	1.0
ˈɑːʊ̯	ˈɔu̯	1.0
ˈɑː_ɐ	r	1.0
ˈœːy̯	ˈoː	1.0
ˈœy̯	ˈiə̯	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈøː_ɡ	ɣ	1.0
ˈøy̯	ˈi	1.0
ˈæːɪ̯	ˈiə̯	1.0
ˈyː	-	1.0
ˈuːu̯	ˈuː	1.0
ˈoː_ɐ	ˈoə̯	1.0
ˈiːi̯	ˈi	1.0
ˈiː_n	ˈi_n	1.0
ˈeːe̯	-	1.0
ʊ	ˈuə̯	1.0
ɫ	l_ə	1.0
ɣ̊_#>	#>	1.0
ɡ̊	-	1.0
ə	-	1.0
ɑɪ̯	j_ɪ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
w	v	1.0
s	s	1.0
p	p	1.0
o	ˈɔː	1.0
n_#>	#>	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_n	d_ə	1.0
b	b	1.0
<#_ˈoːo̯	<#_ˈɪə̯	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#_t	1.0
#>	ˈoː_#>	1.0
t	t	0.964
m	m	0.931
l	l	0.902
ˈʏ	-	0.833
z	s	0.81
ɣ̊	χ	0.8
r	r	0.789
k	k	0.78
ˈɑʊ̯	ˈuə̯	0.727
ˈuː	ˈuː	0.7
d	d	0.696
ˈɪ	ˈɪ	0.667
ˈɑːɑ̯	ˈa	0.667
ˈiː	ˈiː	0.667
v̥_#>	f_#>	0.667
v	ʋ	0.655
ˈɔ	ˈɔ	0.625
ˈɑː	-	0.6
ɡ	ɡ	0.571
n	n	0.549
ˈoː	ˈɪə̯	0.538
ˈeː	-	0.5
ˈoː	-	0.462
ˈøː	ˈoə̯	0.429
ˈɑː	ˈɛ	0.4
ˈɑ	ˈa	0.381
ˈɔ	-	0.375
ɐ	r	0.372
ˈʊ	ˈɔ	0.364
ˈɑːɑ̯	-	0.333
ˈiː	ˈi	0.333
v̥_#>	#>	0.333
n	ə	0.317
ˈuː	-	0.3
ˈeː	j	0.3
ˈøː	ˈɪə̯	0.286
ˈøː	-	0.286
ɐ	ə_r	0.279
ˈʊ	ˈu	0.273
ˈæɪ̯	ˈiə̯	0.263
ˈɒː	ˈaː	0.25
ˈɑ	-	0.238
ˈæɪ̯	ˈɪə̯	0.211
ˈæɪ̯	ˈɪ	0.211
ˈɛ	ˈɛi̯	0.2
ˈɛ	ˈɛ	0.2
ˈɛ	ˈɔ	0.2
ˈɛ	ˈa	0.2
ˈɛ	-	0.2
ˈeː	ˈiə̯	0.2
ɣ̊	ɣ_ə	0.2
ɡ	-	0.19
ˈɒː	ˈiə̯	0.188
ˈɒː	-	0.188
ˈʊ	ˈuː	0.182
ˈʊ	-	0.182
ˈɑʊ̯	-	0.182
v	v	0.172
k	k_ə	0.171
ˈʏ	ˈøə̯	0.167
ˈɪ	ˈi	0.143
ˈɑ	ˈɔː	0.143
ˈɑ	ˈaː	0.143
ɡ	ɣ	0.143
d	-	0.13
ˈɒː	ˈɪə̯	0.125
ˈɒː	ˈoə̯	0.125
ˈɒː	ˈa	0.125
ɐ	ˈuə̯_r	0.116
ˈæɪ̯	ˈeː	0.105
ˈæɪ̯	ˈaː	0.105
ˈæɪ̯	-	0.105
r	r_ˈuː	0.105
r	-	0.105
v	-	0.103
ˈɪ	ˈɔ	0.095
ˈɪ	ˈiː	0.095
ˈɑ	ˈɪə̯	0.095
ɡ	z	0.095
z	ɕ	0.095
z	-	0.095
ˈɑʊ̯	ˈu̯o	0.091
d	ʦ_j	0.087
d	d_j	0.087
ɐ	ə	0.07
ɐ	-	0.07
v	ʋ_ˈaː	0.069
m	v_ə	0.069
n	j_ə	0.061
l	-	0.059
