Spanish	Spanish	probability
θ_#>	s_#>	1.0
β_ˈa	ˈa	1.0
β_ɾ	r	1.0
ˈo_n	ˈu	1.0
ˈo_m	ˈɔ	1.0
ˈi_n	ˈi	1.0
ˈe_ɣ	k	1.0
ˈe_n	ˈe	1.0
ˈa_n	ˈa	1.0
ʧ_e	ʧ	1.0
ʧ	t	1.0
ɾ_k	r_k	1.0
ɾ_e	e_r	1.0
ɣ	ɡ	1.0
ɡ	k	1.0
u	-	1.0
t_a	t_a	1.0
t	t	1.0
s_ˈo	s_ˈu	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
l_ˈe	l_ˈɛ	1.0
k_ɾ	k_r	1.0
k	k	1.0
j_#>	#>	1.0
f	f	1.0
e_ˈe	ˈɛ	1.0
e_s	s	1.0
e_n	e_n	1.0
e_#>	#>	1.0
b_ɾ	m	1.0
a_β	a	1.0
a_#>	#>	1.0
<#_ɡ	<#_ɡ	1.0
<#_x	<#_z	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_b_ˈi	<#_ˈe	1.0
<#_b	<#	1.0
<#_a	<#	1.0
o_#>	#>	0.976
a	a	0.958
ˈa	ˈa	0.923
s	s	0.9
ɾ_#>	#>	0.84
m	m	0.824
d	d	0.8
ɾ	r	0.795
l	l	0.781
b	b	0.769
ɾ_a	r_a	0.75
ŋ	ŋ	0.714
i	i	0.714
θ	s	0.7
ʝ	l	0.7
n	n	0.688
j	-	0.667
<#_ˈa	<#_ˈa	0.667
#>	e_#>	0.667
ˈi	ˈi	0.615
<#	<#_f	0.615
o	o	0.6
ð	t	0.579
w	w	0.556
ɲ	ɲ	0.545
j_ˈe	ˈɛ	0.5
j_ˈe	ˈe	0.5
e	e	0.5
<#_o	<#_o	0.5
<#_o	<#	0.5
ˈu	ˈy	0.45
w	ˈø	0.444
ˈo	ˈo	0.424
ð	d	0.421
w_ˈe	ˈɔ	0.417
<#	<#_z	0.385
ɟ͡ʝ	p_j	0.375
ɟ͡ʝ	-	0.375
β	f	0.368
ˈe	ˈe	0.333
j	j	0.333
<#_ˈa	<#_ˈɛ	0.333
#>	l_#>	0.333
β	b	0.316
ˈe	ˈɛ	0.306
ʝ	j	0.3
ŋ	-	0.286
i	-	0.286
ɲ	n	0.273
x	ʧ	0.273
x	s	0.273
x	j	0.273
ɾ_a	a	0.25
ɟ͡ʝ	ʧ	0.25
w_ˈe	ˈø	0.25
ˈo	ˈu	0.242
b	ʋ	0.231
ˈe	ˈi	0.222
n	-	0.219
β	-	0.211
θ	z	0.2
ˈu	ˈø	0.2
o	-	0.2
d	t	0.2
ɲ	-	0.182
x	ʤ	0.182
e	-	0.182
m	-	0.176
w_ˈe	ˈu	0.167
w_ˈe	ˈo	0.167
ˈi	ˈɛ	0.154
ˈi	ˈe	0.154
ˈo	ˈø	0.152
ˈu	ˈɔ	0.15
e	i	0.136
l	-	0.125
ˈo	ˈɔ	0.121
β	ʋ	0.105
θ	-	0.1
ˈu	ˈu	0.1
ˈu	ˈo	0.1
s	-	0.1
o	u	0.1
o	r	0.1
n	ɲ	0.094
l	j	0.094
e	ˈi	0.091
e	a	0.091
ˈe	-	0.083
ɾ_#>	s_#>	0.08
ɾ_#>	d_#>	0.08
ˈi	f_j	0.077
ɾ	n	0.068
ɾ	e_r	0.068
ɾ	-	0.068
ˈo	ˈy	0.061
ˈe	ˈa	0.056
