Meixian	Meixian	probability
⁵	²⁴	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ɲ_j	ɥ	1.0
ɛ_t̚	ɤ	1.0
ɛ_n	ẽ	1.0
ɛ	-	1.0
ɕ	ɕ	1.0
ɔ_k̚	o	1.0
ŋ	n	1.0
ç	ʨʰ	1.0
¹¹	¹³	1.0
¹	²⁴	1.0
³¹	⁴¹	1.0
z̩	z̩	1.0
w	w	1.0
t̚	-	1.0
p̚	-	1.0
n̩	nʲ_y	1.0
l	l	1.0
k̚	w	1.0
kʰ	kʰ	1.0
j_⁴⁴	j_³³	1.0
j_ʊ	ə	1.0
j_a	i	1.0
i_t̚	i	1.0
e	ə	1.0
c	ʨ	1.0
a_¹¹	a_¹³	1.0
a_t̚	e	1.0
a_n	ẽ	1.0
a_k̚	ɤ	1.0
<#_ŋ	<#_ŋ	1.0
ɔ	a	0.917
j	j	0.905
n	n	0.895
⁴⁴	³³	0.857
ʊ	ə	0.778
s	s	0.75
pʰ	p	0.75
h	x	0.714
f	ɸ	0.7
k	k	0.667
<#_ʋ	<#_w	0.667
p	p	0.625
ɲ	nʲ	0.6
cʰ	ʨ	0.6
tʰ	t	0.556
a	a	0.556
o	a	0.545
ʦʰ	ʦʰ	0.5
t	ʦ	0.5
t	t	0.5
m	n	0.5
m	m	0.5
i	i	0.5
⁵³	⁴⁵	0.48
o	o	0.455
tʰ	tʰ	0.444
⁵³	²¹	0.44
ɲ	ʐ	0.4
cʰ	-	0.4
p	ɸ	0.375
<#	<#_ɕ	0.375
<#	<#_ŋ	0.375
k	ʨ	0.333
a	ɒ	0.333
<#_ʋ	<#	0.333
ʦʰ	ʦ	0.3
f	x	0.3
h	kʰ	0.286
u	u	0.278
pʰ	pʰ	0.25
<#	<#_w	0.25
ʊ	-	0.222
u	ə	0.222
u	y	0.222
ʦʰ	ʨʰ	0.2
u	ə_w	0.167
s	-	0.167
⁴⁴	⁴¹	0.143
i	ɤ	0.136
i	y	0.136
i	e_j	0.136
u	-	0.111
a	-	0.111
n	l̃	0.105
j	ɥ	0.095
i	j	0.091
ɔ	æ	0.083
s	ʂ	0.083
⁵³	³³	0.08
