Old Norse	Limburgish	probability
a	ə	0.876
a	ˈɔu̯	0.124
b	b	0.963
c	ʃ	0.549
c	k	0.451
cʰ	k	1.0
cː	k	1.0
d	d	0.599
d	t	0.346
f	v	0.811
f	ˈv	0.082
f	f	0.076
h	ɦ	0.971
i	ə	0.579
i	-	0.421
j	ˈeː	0.688
j	-	0.228
j	ˈʊː	0.073
k	k	0.569
k	x	0.197
k	-	0.185
kʰ	k	0.888
kʰ	v	0.112
kː	k	0.642
kː	ŋ_k	0.358
l	l	0.722
l	ə_l	0.113
l	-	0.107
l	j	0.057
lː	l	0.846
lː	w	0.154
l̥	l	1.0
m	m	0.868
m	ə_m	0.132
mː	f	0.805
mː	m	0.195
n	n	0.794
n	-	0.191
nː	n	0.973
p	p	0.86
p	ə_p	0.14
pː	p	1.0
r	ʀ	0.627
r	ə_ʀ	0.183
r	-	0.167
rː	ʀ	1.0
r̥	ʀ	1.0
s	z	0.475
s	s	0.394
s	-	0.102
sː	s	1.0
t	t	0.877
t	-	0.084
tʰ	t	0.912
tʰ	b	0.088
tː	x	0.903
tː	t	0.097
u	ə	0.586
u	ɪ	0.194
u	-	0.115
u	n	0.105
v	β	0.476
v	v	0.232
v	f	0.09
v	ə_f	0.085
v	s	0.064
w	ˈɪ	0.691
w	ˈɑ	0.13
w	-	0.105
w	ˈɑː	0.074
x	β	1.0
ç	ɦ	0.826
ç	β	0.174
ð	t	0.465
ð	-	0.307
ð	j	0.195
ŋ	ŋ	0.846
ŋ	-	0.114
ɑ	ə	0.956
ɑː	i	1.0
ɟ	ɣ	0.973
ɟː	k	1.0
ɡ	ɣ	0.395
ɡ	-	0.322
ɡ	k	0.284
ɡː	-	0.446
ɡː	x	0.446
ɡː	k	0.108
ɣ	x	0.62
ɣ	ɣ	0.201
ɣ	ə_x	0.179
ɾ	-	1.0
ʝː	ɡ	1.0
ʦ	ʦ	1.0
ˈa	ˈaː	0.681
ˈa	ˈɑː	0.319
ˈe	ˈeː	0.558
ˈe	ˈɛ	0.143
ˈe	ˈɒː	0.109
ˈe	-	0.064
ˈeː	ˈeː	0.595
ˈeː	ˈi	0.148
ˈeː	ˈæ	0.12
ˈeː	ˈøː	0.089
ˈi	ˈɪː	0.513
ˈi	ɪː	0.117
ˈi	ˈiː	0.088
ˈi	ˈɛ	0.063
ˈi	ˈeː	0.055
ˈi	ˈʏ	0.051
ˈiː	ˈiː	0.643
ˈiː	ˈɛi̯	0.109
ˈiː	-	0.084
ˈiː	ˈɛ	0.063
ˈo	ˈʊː	0.653
ˈo	ˈøː	0.076
ˈo	ˈœː	0.065
ˈo	ˈoː	0.052
ˈoː	-	0.322
ˈoː	ˈʊː	0.205
ˈoː	ʀ	0.164
ˈoː	ˈoː	0.076
ˈoː	j	0.064
ˈu	ˈʊː	0.484
ˈu	ˈɔ	0.095
ˈu	ˈoː	0.085
ˈu	ˈʊ	0.061
ˈuː	-	0.491
ˈuː	ˈuː	0.416
ˈuː	ˈɔu̯	0.052
ˈy	ˈœ	0.276
ˈy	ˈøː	0.168
ˈy	ˈɔ	0.107
ˈy	ˈɪ	0.107
ˈy	ˈʏː	0.107
ˈy	ˈɪː	0.088
ˈy	ˈyː	0.08
ˈy	ˈʊː	0.068
ˈyː	ˈœi̯	0.259
ˈyː	ˈiː	0.218
ˈyː	ˈoː	0.218
ˈyː	ˈøː	0.218
ˈøy̯	ˈœi̯	0.513
ˈøy̯	ˈyː	0.254
ˈøy̯	ˈuː	0.188
ˈøː	ˈøː	0.7
ˈøː	ˈɪ	0.189
ˈøː	ˈʊː	0.091
ˈɑ	ˈaː	0.526
ˈɑ	ˈɑ	0.109
ˈɑ	ˈæː	0.086
ˈɑ	ˈɑː	0.063
ˈɑ	ˈæ	0.053
ˈɑu̯	ˈu	0.405
ˈɑu̯	ˈɔː	0.401
ˈɑu̯	ə	0.125
ˈɑu̯	ˈɔu̯	0.069
ˈɑː	ˈɒː	0.531
ˈɑː	ˈi	0.161
ˈɑː	ˈɑ	0.113
ˈɑː	ˈʊː	0.084
ˈɑː	ˈu	0.057
ˈɒu̯	ʀ	0.768
ˈɒu̯	ˈyː	0.196
ˈɔ	ˈɑː	0.555
ˈɔ	ˈɛː	0.276
ˈɔ	-	0.08
ˈɔ	ˈɔ	0.058
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɑ	0.364
ˈɛ	ˈeː	0.169
ˈɛ	ˈʏː	0.165
ˈɛ	ˈɛːi̯	0.123
ˈɛ	ˈæː	0.092
ˈɛ	ˈɒː	0.057
ˈɛi̯	ˈɛː	0.662
ˈɛi̯	ˈɛːi̯	0.221
ˈɛi̯	ˈi	0.117
ˈɛː	ˈi	0.319
ˈɛː	ˈeː	0.317
ˈɛː	ˈɑ	0.184
ˈɛː	ˈɒː	0.179
θ	d	1.0
