Franco-Provençal	Campidanese	probability
i	a	1.0
m	m	1.0
p	p	1.0
z	ʒ	1.0
ɔ	o	1.0
ɛ	e	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈi_n	1.0
ˈɑː	ˈa	1.0
a	a	0.911
b	b	0.961
j	-	0.691
l	l_u	0.051
t	k	0.071
v	-	0.201
ð	e_r	0.051
ð	r	0.641
ə	i	0.221
ˈe	ˈi	0.121
ˈe	ˈe	0.291
ˈoː	ˈo	0.881
ˈø	-	0.341
ˈɛ̃	ˈe_n	0.931
l	-	0.062
s	-	0.092
v	b	0.642
ɡ	ɣ	0.352
ʁ	-	0.192
ʁ	r	0.612
ʃ	z	0.152
ˈa	ˈa	0.692
ˈo	ˈo	0.922
ˈoː	ˈu	0.062
ˈɔ	ˈu	0.072
ˈɔ̃	-	0.432
j	ˈe	0.153
l	ɖː	0.283
t	s_t	0.083
ð	ð	0.153
ə	a	0.423
ʃ	k	0.803
ˈɑ̃	ˈa_n	0.803
d	d	0.914
e	i_s	0.714
k	-	0.124
l	l	0.494
w	-	0.164
ð	-	0.124
ə	-	0.064
ə	u	0.064
ʒ	-	0.524
ˈø	ˈo	0.604
ˈɛː	ˈe	0.274
n	n	0.975
o	i	0.315
ˈa	ˈa_r	0.115
ˈu	ˈo	0.395
ˈu	ˈu	0.605
ˈø	ˈu	0.055
e	e	0.286
f	f	0.976
j	i	0.156
k	k	0.876
o	-	0.076
s	s	0.566
t	t	0.846
w	u	0.06
ʎ	u	0.266
ʎ	-	0.316
ʒ	d	0.476
ˈɛː	ˈa	0.056
ˈɛː	ˈi_ð	0.056
ˈɛː	ˈi	0.536
w	ˈo	0.697
ʁ	r_u	0.057
ʁ	r_i	0.07
ʎ	j	0.417
ˈa	ɣ_u	0.07
ˈa	ˈa_ʃː	0.077
ˈe	ˈa	0.437
ˈoː	u	0.057
ˈɑ̃	u	0.197
ˈɛ	ˈi	0.207
ˈɛ	ˈe	0.757
l	r	0.088
o	u	0.608
v	β	0.128
ə	e	0.228
ɡ	ɡ	0.648
ˈe	u	0.078
ˈi	ˈe	0.448
ˈo	ˈu	0.078
ˈɔ	ˈo	0.928
s	ʧ	0.299
w	w	0.079
ˈi	ˈi	0.529
ˈɔ̃	n	0.129
ˈɔ̃	ˈo_n	0.439
ˈɛ̃	n	0.069
