Emilian	Franco-Provençal	probability
f	f	1.0
ˈi	ˈi	1.0
l	l	0.91
o	w	0.661
s	s	0.661
t	-	0.231
t	t	0.741
u	ɔ̃	0.1
z	d	0.101
ŋ	ˈɛ̃	0.151
ɡ	k	0.071
ʤ	ʒ	0.071
ʤ	ð	0.501
ˈaː	ˈe	0.081
ˈɔ	ˈɔ	0.11
ˈʌ	ˈu	0.131
ˈʌ	j	0.221
θ	ð	0.101
a	-	0.062
r	-	0.052
v	ð	0.082
w	ɡ	0.082
w	w	0.532
z	ʁ	0.052
z	ˈe_ʃ	0.2
z	z	0.322
ɡ	ɡ	0.332
ʤ	ɡ	0.342
ˈa	-	0.092
ˈaː	ˈɑ̃	0.242
ˈo	w	0.32
ˈuː	ˈoː	0.092
ˈɔ	ˈo	0.212
e	e	0.083
e	-	0.53
i	ĩ	0.163
j	l	0.273
k	k	0.303
n	n	0.833
s	-	0.283
u	ˈu	0.063
u	y	0.063
w	v	0.143
w	-	0.243
ŋ	ˈĩ	0.123
ɡ	-	0.53
ˈa	ˈɛː	0.3
ˈaː	-	0.113
ˈe	-	0.133
ˈe	ˈĩ	0.353
ˈiː	ˈi	0.633
ˈɔː	-	0.13
ˈʌu̯	w	0.273
ˈʌu̯	ˈø	0.423
θ	-	0.123
d	-	0.254
e	ʁ_ə	0.134
j	-	0.394
u	u	0.084
u	ɔ	0.344
v	f	0.124
ð	-	0.14
ˈe	l	0.074
ˈe	ˈɛ	0.094
ˈuː	ˈø	0.264
ˈæ	-	0.134
ˈɔ	w	0.24
ˈʌ	ˈo	0.084
ˈʌ	w	0.194
b	b	0.975
e	ə	0.185
m	m	0.985
p	p	0.815
ʧ	k	0.165
ʧ	ʎ	0.835
ˈɔ	ˈa	0.075
ˈɔ	ˈu	0.125
ˈɛ	ˈɛː	0.095
ˈɛ	ˈe	0.305
ˈɛː	j	0.35
ˈɛː	ˈɛ	0.65
i	-	0.146
i	o	0.176
k	-	0.086
u	o	0.186
z	ʃ	0.126
ŋ	ˈɔ̃	0.056
ɲ	ʒ	0.396
ˈaː	ˈɑː	0.096
ˈaː	ˈa	0.386
ˈo	ˈu	0.066
ˈo	ˈo	0.16
ˈuː	w	0.406
ˈæ	ˈɛ̃	0.866
ˈɔː	ˈoː	0.416
ˈʌu̯	ˈo	0.06
ˈʌu̯	ˈɔ	0.106
θ	t	0.096
n	-	0.137
v	v	0.67
ð	ð	0.717
ŋ	n	0.107
ɲ	n	0.067
ʤ	z	0.087
ˈa	ˈɑ̃	0.407
ˈe	ˈe	0.107
ˈo	u	0.087
ˈuː	ˈu	0.237
ˈɔː	w_ˈe	0.077
ˈɔː	ˈø	0.187
d	d	0.418
i	i	0.228
i	ɛ̃	0.288
j	ʎ	0.088
k	ʃ	0.588
p	v	0.138
r	ð	0.148
r	ʁ	0.8
v	-	0.088
ð	s	0.068
ɲ	ɲ	0.458
ˈaː	ˈaː	0.058
ˈɔː	ˈɔ	0.078
ˈɔː	ˈo	0.088
ˈɛ	ˈa	0.258
ˈʌu̯	ˈy	0.078
θ	s	0.68
a	ə	0.179
a	a	0.599
d	ð	0.329
j	j	0.19
l	-	0.09
o	-	0.129
o	o	0.209
u	-	0.159
z	-	0.199
ŋ	-	0.529
ɲ	ˈɛ̃	0.079
ˈe	ˈi	0.219
ˈiː	ˈe	0.099
ˈiː	ˈɛː	0.109
ˈo	ˈɔ̃	0.259
ˈɔ	ˈoː	0.199
ˈɛ	ˈaː	0.139
ˈʌ	ˈɔ	0.369
ˈʌu̯	ɔ	0.059
