Latin	Galician	probability
a	a	0.74
a	-	0.092
a	ɐ	0.086
ae̯	e	0.586
ae̯	i	0.302
ae̯	ɐ	0.112
au̯	w	0.42
au̯	o	0.371
au̯	e	0.208
aː	a	0.517
aː	ɐ	0.228
aː	ˈa	0.124
aː	i	0.056
aː	w	0.055
ãː	ɐ	0.894
ãː	-	0.054
b	b	0.493
b	β	0.412
b	-	0.063
d	d	0.437
d	-	0.381
d	ð	0.117
d	t	0.066
e	-	0.645
e	e	0.263
e	j	0.069
eː	i	0.513
eː	ˈe	0.203
eː	e	0.196
eː	a	0.088
f	f	0.912
f	-	0.069
h	-	1.0
i	j	0.468
i	-	0.445
iː	i	0.576
iː	-	0.334
iː	ɪ	0.09
j	ʃ	1.0
k	ɣ	0.261
k	k	0.24
k	θ	0.199
k	j	0.142
k	-	0.134
kʷ	k	0.553
kʷ	ɣ	0.316
kʷ	θ	0.131
l	l	0.752
l	ʧ	0.202
lʲ	-	0.523
lʲ	l	0.467
m	m	0.946
n	n	0.489
n	-	0.353
n	ɲ	0.107
o	e	0.516
o	-	0.341
o	o	0.144
oː	o	0.432
oː	ʊ	0.343
oː	e	0.054
oː	-	0.051
oː	w	0.051
p	p	0.58
p	β	0.325
p	-	0.061
r	ɾ	0.785
r	r	0.117
r	-	0.053
s	s	0.76
s	-	0.152
s	ʃ	0.082
t	t	0.55
t	ð	0.299
t	-	0.14
tʰ	ð	1.0
u	ʊ	0.5
u	ˈo	0.5
uː	u	0.357
uː	ˈu	0.324
uː	ʊ	0.319
w	b	0.528
w	β	0.272
w	-	0.141
w	v	0.059
ŋ	ŋ	0.666
ŋ	n	0.248
ŋ	-	0.066
ɔ	o	0.424
ɔ	ɔ	0.209
ɔ	-	0.16
ɔ	u	0.121
ɛ	-	0.67
ɛ	ˈe	0.123
ɛ	e	0.119
ɛ̃	ɪ	0.63
ɛ̃	j	0.19
ɛ̃	-	0.179
ɛ̃ː	ɪ	0.772
ɛ̃ː	ɐ	0.088
ɛ̃ː	-	0.051
ɡ	-	0.428
ɡ	ʃ	0.22
ɡ	ɡ	0.195
ɡ	ɣ	0.157
ɡʷ	ɡ	1.0
ɪ	-	0.393
ɪ	e	0.137
ɪ	j	0.133
ɪ	i	0.092
ɪ	l	0.092
ɪ	ˈi	0.051
ɪ̃	ɪ	1.0
ɫ	-	0.432
ɫ	l	0.431
ɫ	ʧ	0.062
ʊ	-	0.505
ʊ	o	0.396
ʊ̃ː	ʊ	0.873
ʊ̃ː	-	0.069
ˈa	ˈa	0.698
ˈa	ˈɑ	0.145
ˈae̯	ˈɛ	1.0
ˈau̯	ˈo_w	0.863
ˈau̯	ˈɔ	0.137
ˈaː	ˈa	0.759
ˈaː	ˈɑ	0.145
ˈe	ˈe	1.0
ˈeː	ˈe	0.913
ˈeː	ˈa	0.087
ˈi	ˈi	1.0
ˈiː	ˈi	0.889
ˈiː	ˈe	0.08
ˈĩː	ˈi	1.0
ˈo	-	0.413
ˈo	ˈɔ	0.34
ˈo	o	0.246
ˈoe̯	ˈe	1.0
ˈoː	ˈo	0.744
ˈoː	ˈɔ	0.094
ˈoː	o	0.083
ˈoː	-	0.06
ˈu	ˈo	0.358
ˈu	ˈu	0.343
ˈu	ˈɔ	0.299
ˈuː	ˈu	0.867
ˈyː	ˈi	1.0
ˈɔ	ˈɔ	0.469
ˈɔ	ˈo	0.429
ˈɔ	o	0.086
ˈɛ	ˈɛ	0.561
ˈɛ	ˈe	0.364
ˈɛ	e	0.051
ˈɛ̃ː	ŋ	1.0
ˈɪ	ˈe	0.549
ˈɪ	ˈi	0.255
ˈɪ	ˈɛ	0.146
ˈʊ	ˈo	0.579
ˈʊ	ˈu	0.374
