Old West Norse	West Flemish	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɔː	ˈuə̯	1.0
ˈɒu̯	ˈoː	1.0
ˈɑu̯	ˈoː	1.0
ˈɑ_l	ˈu	1.0
ˈøː	ˈuə̯	1.0
ˈøy̯	ˈoː	1.0
ˈuː	ˈyː	1.0
ˈa	-	1.0
ʦ	t	1.0
ʝː	ɦ	1.0
ɡː	-	1.0
ɡ	-	1.0
ɟː	ɦ	1.0
ɑː	iə̯	1.0
ŋ	ŋ	1.0
ð_r̥	d̥	1.0
ð_i	d	1.0
ç	-	1.0
x_w	ʋ	1.0
v_r̥	v̥	1.0
t	t	1.0
sː	-	1.0
s_k	ʃ_h	1.0
s_c	ʃ_h	1.0
r̥ː	ɾ	1.0
r_t	ɾ_t	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
m	m	1.0
l̥	l_ˈɑ	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
j_ˈɑ	ˈæ	1.0
j_ˈuː	ˈiə̯	1.0
j	-	1.0
i_r̥	ɾ	1.0
h	ˈoː	1.0
f_r̥	v̥	1.0
f	v	1.0
e	ˈɪ	1.0
d_r̥	d̥	1.0
cː	k	1.0
cʰ	k	1.0
c	-	1.0
b	b	1.0
n	n	0.959
r	ɾ	0.875
k	k	0.874
ˈiː	ˈi	0.808
d	d	0.758
ˈyː	ˈiə̯	0.743
ɟ	ɦ	0.719
ˈɔ	-	0.678
ˈoː	ˈuə̯	0.675
tː	t	0.648
r̥	ə	0.648
l	l	0.646
ˈeː	-	0.629
i	-	0.611
a	n	0.6
ˈo	ˈoː	0.586
nː	n	0.572
ˈi	ˈɪ	0.569
ˈɛi̯	ˈɛː	0.566
ˈɛ	ˈɑ	0.561
s	z	0.561
ˈɑ	ˈɑ	0.556
ɑ	n	0.555
v	ʋ	0.544
j_ˈoː	ˈiə̯	0.534
lː	l	0.525
ð	d̥	0.511
ˈɑː	ˈɒː	0.477
u	ə	0.475
lː	-	0.475
j_ˈoː	ˈɛː	0.466
ɑ	ə	0.445
ˈɛ	-	0.439
ɣ	ɦ̥	0.43
ɡ_r̥	k	0.422
s	s	0.409
ˈu	ˈu	0.406
a	-	0.4
i	ə	0.389
ˈeː	h	0.371
ɡ_r̥	ɦ̥	0.367
ð	-	0.366
v	v	0.365
u	-	0.359
l	w	0.354
tː	h_t	0.352
r̥	ə_ɾ	0.352
ɣ	ɦ	0.351
ˈe	ˈæ	0.345
ˈoː	-	0.325
ˈɔ	ˈɑ	0.322
ˈɑː	ˈɑ	0.302
ˈu	-	0.293
ɟ	-	0.281
ˈɛi̯	ˈeː	0.28
ˈy	ˈœ	0.27
ˈyː	-	0.257
ˈy	ˈɪ	0.246
ˈy	-	0.246
ˈɑ	ˈɒː	0.242
d	d̥	0.242
ˈy	ˈoː	0.238
nː	-	0.236
ˈɑː	-	0.221
ˈe	ˈɒː	0.221
ˈo	ˈɔ	0.213
ɡ_r̥	ɾ	0.211
ˈo	ˈøː	0.202
ˈe	ˈeː	0.196
ˈiː	-	0.192
nː	n_d	0.192
ˈi	-	0.19
u	ɪ	0.166
ˈɛi̯	-	0.153
ˈɑ	ˈæ	0.153
ˈe	-	0.146
ˈu	ˈɔ	0.138
k	-	0.126
r	-	0.125
ð	d	0.123
ˈi	ˈɛ	0.121
ˈi	ˈeː	0.121
ɣ	ɦ_ə	0.116
ɣ	ç	0.103
ˈu	ˈyː	0.102
ˈe	ˈɛ	0.092
ˈu	ˈœ	0.063
v	-	0.059
