Old High German	Mecklenburgisch-Vorpommersch	probability
ˈɛ_r	ˈaː	1.0
ˈɛ_h	ˈae̯	1.0
ˈɑ_r	ˈaː	1.0
ˈɑ_h	ˈɒː	1.0
ˈu_r	æ	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiː_n	ˈiː_n	1.0
ˈie̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ʦː	t	1.0
ɡ_ɑ	ŋ	1.0
ɛ_h	ae̯	1.0
ə	-	1.0
ɑ_r	æ	1.0
ɑ_n	m	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
v	v	1.0
u	-	1.0
tː	ɾ	1.0
t_o	t	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	ʃ_t	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_ˈou̯	r	1.0
r_n	æ_n	1.0
r_i	æ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
o	-	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ɑ	ç	1.0
kː	k	1.0
kʰ	kʰ	1.0
k	-	1.0
j	j	1.0
i	-	1.0
h	h	1.0
fː	p	1.0
f_ɑ	p	1.0
eː	-	1.0
e_n	n	1.0
e	-	1.0
ɑ	-	0.924
f	f	0.834
ˈuː	ˈuː	0.833
n	n	0.819
d	d	0.814
ˈi	ˈɪ	0.812
ˈei̯	ˈae̯	0.804
b	b	0.787
w	v	0.709
ˈiː	ˈiː	0.693
ˈɑ	ˈa	0.656
ʦ	tʰ	0.637
ˈɑː	ˈɒː	0.636
ˈuo̯	ˈaʊ̯	0.632
ˈe	ˈɛ	0.61
ˈio̯	ˈae̯	0.609
r	æ	0.585
ˈoː	-	0.571
s	z	0.519
ˈiu̯	ˈyː	0.5
ɛ	ɾ	0.5
ɛ	-	0.5
t	d̥	0.461
ˈoː	ˈaʊ̯	0.429
x	k	0.41
ˈe	-	0.39
ˈuo̯	ˈɔʏ̯	0.368
r	r	0.366
ʦ	t	0.363
ɡ	ɡ	0.355
ˈu	ˈʊ	0.351
ˈo	ˈuː	0.333
ˈɑː	ˈoː	0.308
ˈiu̯	-	0.307
ɡ	ŋ	0.305
ˈɛ	ˈɛ	0.303
t	t	0.301
ˈo	ˈɔ	0.29
ˈɛ	-	0.282
ˈu	ˈœː	0.269
ˈio̯	ˈiː	0.255
x	ç	0.255
s	s	0.254
ˈo	ˈʊ	0.247
ˈu	ˈʏ	0.241
ˈɛ	ˈiː	0.221
x	x	0.218
ˈei̯	ˈɪ	0.196
ˈɛ	ˈɛː	0.194
ˈiu̯	ɣ	0.193
d	-	0.186
t	-	0.172
ˈuː	-	0.167
s	ʃ	0.167
f	p	0.166
b	-	0.163
ˈiː	ˈɪ	0.157
w	-	0.152
ˈiː	-	0.151
n	-	0.146
ɡ	ɪ_ç	0.143
ɡ	ɣ̊	0.143
w	w	0.139
ˈio̯	-	0.136
ˈo	-	0.129
ˈɑ	ˈɒː	0.128
x	s	0.117
ˈi	-	0.106
ˈu	ˈɔ	0.097
ˈi	ˈɛ	0.082
t	d	0.067
s	z̥	0.06
ˈɑː	ˈɛɪ̯	0.056
ɡ	ɡ̊	0.055
ˈɑ	ˈɛː	0.051
ˈɑ	ˈaʊ̯	0.051
