Slovak	Russian	probability
f	p	1.0
i	ɨ_j	1.0
j	j	1.0
n	n	1.0
v	v	1.0
ɟ	dʲ	1.0
ɲ	nʲ	1.0
ʃ	ʂ	1.0
ʊ̯ˈɔ	ˈo	1.0
ʎ	lʲ	1.0
ʒ	ʐ	1.0
ʧ	ʨ	1.0
ˈaː	ˈo	1.0
ˈuː	ˈu	1.0
ˈɫ̩	ˈo_ɫ	1.0
b	bʲ	0.851
k	kʲ_ɪ	0.1
l	lʲ	0.541
t	tʲ	0.131
x	k	0.151
ɛ	ə	0.321
ɦ	-	0.121
ɦ	ɡ_ˈo	0.161
ɪ̯ˈɛ	ɪ	0.221
ˈɔ	ɐ	0.471
ˈɛ	ɪ	0.221
d	dʲ	0.162
p	p	0.362
r	ɐ_r	0.083
z	z	0.453
ɛ	ˈe	0.353
ɫ	ɐ_ɫ	0.073
ˈr̩	r	0.313
ˈu	ˈu	0.773
c	tʲ	0.974
iː	j	0.294
m	mʲ	0.654
s	sʲ	0.44
ʋ	vʲ	0.604
ʦ	ʨ	0.14
ˈa	ˈo	0.44
ˈi	ˈi	0.434
a	ə	0.315
a	ˈa	0.685
k	ʦ	0.105
k	k	0.795
ɔ	ˈo	0.195
ˈa	ə	0.105
ˈa	ˈa	0.455
ˈɛ	ˈɵ	0.105
m	m	0.346
s	s	0.56
ɔ	ə	0.716
ɛ	ɪ	0.326
ʋ	v	0.396
ʦ	ʦ	0.86
ˈi	ˈɨ	0.566
ˈɛ	ˈe	0.626
iː	ɨ_j	0.617
r	rʲ	0.37
r	r	0.547
z	zʲ	0.547
ɦ	ɡ	0.717
ɫ	ɫ	0.927
ˈr̩	ˈe_r	0.687
ˈu	ʊ	0.227
d	d	0.838
p	pʲ	0.638
b	b	0.149
iː	ɪ_j	0.089
l	ɫ	0.459
t	t	0.869
x	x	0.849
ɔ	ɪ	0.09
ɪ̯ˈɛ	ˈe	0.779
ˈɔ	ˈo	0.529
