West Frisian	Proto-Germanic	probability
χ_t	x_t	1.0
χ	ɣ	1.0
ˈɔu̯	-	1.0
ˈøə̯	j_ɔː	1.0
ˈø	-	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈu̯o	ˈɔː	1.0
ˈu	ˈu	1.0
ˈoː	ˈuː	1.0
ɪ	-	1.0
ɡ	ɣ	1.0
ə_χ	ɑ_ɣ	1.0
s_l	s_l	1.0
h	x	1.0
b	b	1.0
s	s	0.992
p	p	0.969
m	m	0.953
r	r	0.938
ʋ	w	0.859
f	ɸ	0.843
t	t	0.792
k	k	0.781
ˈa	ˈɑ	0.764
v	w	0.751
ˈɔː	ˈɑ	0.723
ˈeː	-	0.699
ˈuə̯	ˈɔː	0.691
ɣ	ɣ	0.674
l	l	0.672
d	d	0.642
ˈuː	ˈuː	0.594
ŋ	ŋ_ɡ	0.588
ˈaː	ˈɑ	0.579
z	s	0.562
ˈɔ	ˈu	0.559
ˈɛː	ˈɑ_r	0.508
j_ˈɪ	ˈeu̯	0.508
ə_r	r_u	0.5
ə_r	r	0.5
ə_n	n	0.5
ə_n	i	0.5
j_ˈɪ	ˈeː	0.492
n	n	0.462
ˈɪə̯	ˈɑu̯	0.452
ˈɛ	ˈi	0.442
z	ɣ_j	0.438
ˈaː	-	0.421
ˈoə̯	ˈu_r	0.403
ə	ɑ_n	0.403
ˈi	ˈiː	0.388
ˈi	ˈi	0.388
ʦ	θ	0.385
ˈɪ	ˈi	0.384
d̥	ð	0.377
ʦ	t	0.358
ˈɪ	ˈu	0.349
ˈiː	ˈi	0.349
ˈɛi̯	ˈe_ɣ	0.331
j	-	0.327
ɣ	ɣ_j	0.326
ˈuə̯	-	0.309
ˈeː	ˈɑi̯	0.301
ˈiː	ˈiː	0.299
ˈɛː	ˈɑ	0.295
ˈoə̯	ˈu	0.29
ˈɛ	ˈe	0.283
ˈɔː	ˈɑ_l	0.277
ˈɛ	ˈɑ	0.275
ˈiə̯	ˈɛː	0.271
ˈuː	ˈu	0.258
ʦ	k	0.257
v	-	0.249
ˈiə̯	ˈɑi̯	0.237
ˈa	ˈɑ_ŋ	0.236
ˈiː	-	0.234
ˈɛi̯	ˈɑ_ɣ	0.229
ˈɛi̯	ɑi̯	0.223
ˈɔ	ˈe	0.223
ˈɛi̯	ˈɑ	0.217
d	ð	0.209
ŋ	ɡ	0.206
ŋ	ŋ	0.206
ˈɛː	ˈu	0.197
ˈɪə̯	-	0.193
ˈɪ	ˈɑ	0.193
ˈoə̯	ˈɛː	0.193
d̥	θ_ɑ̃	0.192
d̥	θ	0.192
t	t_ɑ	0.165
f	β	0.157
ˈiə̯	ˈɔː	0.156
ˈiə̯	ˈeu̯	0.156
d	θ	0.149
ˈuː	ˈɑu̯	0.148
ˈɪə̯	ˈɑ	0.142
d̥	ð_i	0.142
ʋ	xʷ	0.141
j	ɑ	0.135
k	k_ɑ	0.132
ə	ɑ	0.129
ˈɔ	-	0.125
l	l_ɑ	0.123
ˈiə̯	ˈe	0.122
ə	ɔː	0.121
ˈiː	ˈeu̯	0.118
n	nː	0.118
ˈoə̯	r_ˈu	0.114
ˈɪə̯	ˈɑi̯	0.112
ˈi	ˈe	0.112
ˈi	-	0.112
n	n_ɑ	0.111
n	n_d	0.108
j	j	0.104
ˈɪə̯	ˈe	0.102
d̥	-	0.097
j	ˈe	0.096
ˈɔ	w	0.093
j	ɣ	0.091
ə	ɛː	0.087
k	kʷ	0.087
ə	ɔːː	0.08
ə	u	0.077
l	ɑ_l	0.077
l	l_β	0.077
ə	ɔ̃ː	0.071
j	ˈiu̯	0.068
j	ˈeu̯	0.068
r	r_ɑ	0.062
ˈiə̯	ˈɑi̯_w	0.057
ˈɪ	-	0.056
n	-	0.055
n	n_i	0.053
l	lː	0.052
