Romanian	Portuguese	probability
a	ɐ	1.0
f	f	1.0
kʲ	-	1.0
o	u	1.0
ŋ	-	1.0
ɨ	-	1.0
ʒ	ʒ	1.0
ʧʲ	-	1.0
ˈau̯	w	1.0
ˈə	ɐ	1.0
e	ɨ	0.411
j	ɲ	0.351
k	ɣ_u	0.131
k	k	0.501
t	ð_u	0.121
v	ʃ_#>	0.221
w	-	0.151
ʃ	j	0.251
ˈu	-	0.201
ˈɨ	ˈɐ	0.561
e	ɐ	0.292
j	ʎ	0.082
l	-	0.202
n	-	0.552
r	ʁ	0.172
t	t	0.52
u	-	0.32
v	u_#>	0.222
z	d	0.582
ə	-	0.102
ʤ	ʒ	0.492
ˈa	ɐ	0.052
ˈe	ˈɛ	0.112
ˈu	ˈũ	0.062
i	ɨ	0.783
j	-	0.553
k	ɣ	0.223
l	l	0.603
m	m	0.803
w	u	0.383
ə	u	0.063
ɡ	-	0.293
ˈo	ˈɔ	0.233
d	-	0.224
e	u	0.164
e̯ˈa	ˈɛ	0.704
n	n	0.24
o̯ˈa	ˈo	0.434
p	β	0.064
p	p	0.714
s	s_u	0.124
s	s	0.324
t	t_u	0.084
ʦ	t	0.744
ʧ	z	0.384
ʧ	s	0.44
ˈa	ˈa	0.634
ˈi	ˈɐ_j	0.094
ˈi	ˈe	0.104
ˈi	ˈĩ	0.104
ˈi	ˈi	0.424
ˈu	ˈu	0.444
b	-	0.095
k	-	0.095
n	ɲ_u	0.075
r	-	0.185
t	ð	0.185
ˈe	-	0.075
ˈo	ˈo	0.715
d	d_u	0.106
d	d	0.636
e̯ˈa	ˈe	0.296
l	ɫ	0.16
n	ɲ	0.076
o̯ˈa	ˈɔ	0.566
s	ʃ	0.536
w	w	0.286
ə	ɨ	0.086
ʦ	s_u	0.256
ˈa	ˈɛ	0.16
ˈe	ˈɐ	0.206
ˈi	-	0.186
b	b	0.617
i	-	0.217
m	-	0.197
n	n_u	0.057
p	-	0.077
p	j	0.137
v	v	0.557
ʧ	-	0.177
ˈa	ˈɐ	0.117
ˈe	ˈe	0.607
ˈu	ˈo	0.187
b	v	0.288
u	u	0.68
w	v_u	0.18
z	-	0.418
ə	ɐ	0.748
ɡ	ɣ	0.098
ʤ	-	0.508
ˈu	ˈɔ	0.078
e	-	0.109
r	ɾ	0.639
t	-	0.09
ɡ	ɡ	0.609
ʃ	s	0.749
ˈɨ	ˈɐ̃	0.439
