Campidanese	Campidanese	probability
ˈa_ɾ	ˈa	1.0
ˈa_m	ˈa_mː	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧ	ʦː	1.0
ʃ	ʃː	1.0
ɾ_ˈo	ˈɔ	1.0
ɾ_ˈi	r_ˈɛ	1.0
ɾ_i_#>	#>	1.0
ɖː	dː	1.0
ɔ̆	-	1.0
ɔ_z	i	1.0
ŋ	ŋ	1.0
ŭ_#>	#>	1.0
t_ˈa	t	1.0
t_i	t_i	1.0
s_u	sː_u	1.0
p_ˈo	p_u	1.0
nː	nː	1.0
n_ʤ	ɲː	1.0
n_u	n_u	1.0
l_u	r_u	1.0
k_ɾ	ʧ	1.0
j	j	1.0
ĭ	-	1.0
i_n	u	1.0
i_m	i_m	1.0
d	d	1.0
b_ˈa	b_ˈa	1.0
ă	i	1.0
a_n	a_n	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʦ	1.0
<#_t	<#_t	1.0
<#_s	<#_i	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a_r	<#_r	1.0
<#	<#_i	1.0
a	a	0.971
f	f	0.958
n	n	0.921
ˈa	ˈa	0.919
ʒ	ʦ	0.889
p	p	0.871
u	u	0.823
ʤ	ʤ	0.8
ˈe	ˈɛ	0.789
ˈi	ˈi	0.778
ɡ	ɡ	0.778
k	k	0.757
ɭː	ʎː	0.714
r	rː	0.714
i	i	0.684
ɔ	u	0.667
l	l	0.667
i_#>	#>	0.667
ð	dː	0.647
ˈu	ˈu	0.645
z	-	0.632
ɛ_ɾ	a_r	0.6
ɛ	-	0.6
ˈɛ	ˈe	0.594
ˈo	ˈɔ	0.588
s	s	0.586
ɾ	r	0.568
m	m	0.538
ˈɔ	ˈo	0.533
ʦ	ʦː	0.5
ʦ	-	0.5
ɾ_ˈu	ˈo	0.5
ɾ_ˈu	r_ˈɔ	0.5
w	w	0.5
w	-	0.5
ŭ	j	0.5
ŭ	i	0.5
e	i	0.5
e	-	0.5
b	v	0.5
#>	ˈi_#>	0.5
#>	i_#>	0.5
t	tː	0.483
ɣ	ɡː	0.471
m	mː	0.462
t	t	0.448
b	b	0.444
o	u	0.429
ˈo	ˈo	0.412
ˈɛ	ˈɛ	0.406
ˈɔ	ˈɔ	0.4
ɛ_ɾ	t	0.4
ɛ	e	0.4
β	β	0.333
ɔ	o	0.333
l	r	0.333
i_#>	ˈi_#>	0.333
ɣ	ɡ	0.294
ɭː	dː	0.286
r	r	0.286
o	o	0.286
o	-	0.286
ɣ	ʧː	0.235
β	p	0.222
β	bː	0.222
β	-	0.222
ɡ	-	0.222
ˈe	ˈe	0.211
s	ɬ	0.207
ʤ	ʤː	0.2
ˈu	ˈo	0.194
ð	d	0.176
ð	-	0.176
ˈu	ˈɔ	0.161
ɾ	-	0.159
z	z	0.158
z	j	0.158
ɾ	j	0.136
k	xː	0.135
p	pː	0.129
ˈi	ˈe	0.111
ʒ	ʒ	0.111
ˈa	-	0.081
k	kː	0.081
n	-	0.079
t	ɬ	0.069
s	ʦː	0.069
s	sː	0.069
s	-	0.069
ɾ	a_r	0.068
ˈɔ	u	0.067
i	ˈi	0.066
i	u	0.066
ˈi	i	0.056
ˈi	-	0.056
b	-	0.056
z	ʣ	0.053
i	β_i	0.053
