West Frisian	Eastphalian	probability
b	b	0.916
b	-	0.084
d	d	0.792
d	-	0.096
d	r	0.056
d	t	0.056
d̥	t	0.528
d̥	d	0.339
d̥	l_d	0.071
d̥	-	0.061
f	f	1.0
h	h	0.937
h	k	0.063
j	-	0.471
j	ˈɛɪ̯	0.188
j	j	0.093
j	ˈøː	0.087
j	ˈiː	0.07
j	ˈyː	0.051
k	k	0.786
k	-	0.214
l	l	0.988
m	m	0.964
n	n	0.92
p	p	0.708
p	b	0.292
r	ɐ	0.609
r	r	0.391
s	s	0.373
s	z	0.311
s	ʃ	0.308
t	t	0.828
t	d	0.142
v	w	0.382
v	v	0.307
v	b	0.205
v	-	0.082
z	z	0.588
z	ɡ	0.214
z	j	0.198
ŋ	ŋ	0.897
ŋ	-	0.06
ɕ	z	1.0
ə	n	0.466
ə	ə	0.325
ə	-	0.165
ɡ	ɣ	0.83
ɡ	j	0.17
ɣ	ɡ	0.425
ɣ	ŋ	0.208
ɣ	k	0.199
ɣ	ɣ	0.168
ɪ	ɒː	0.922
ɪ	ɪ	0.078
ʋ	v	1.0
ʦ	d	0.474
ʦ	t	0.272
ʦ	k	0.255
ˈa	ˈa	0.712
ˈa	ˈɒː	0.088
ˈa	ˈœ	0.067
ˈaː	ˈeː	0.23
ˈaː	ˈa	0.219
ˈaː	ˈɔ	0.212
ˈaː	ˈɒː	0.125
ˈaː	ˈɛː	0.112
ˈeː	ˈɛɪ̯	0.919
ˈeː	ˈeo̯	0.081
ˈi	ˈiː	0.492
ˈi	ˈɪ	0.359
ˈi	ˈɔʏ̯	0.062
ˈiə̯	ˈɛɪ̯	0.545
ˈiə̯	ˈɒː	0.225
ˈiə̯	ˈɔʏ̯	0.141
ˈiə̯	ˈeː	0.065
ˈiː	ˈiː	0.364
ˈiː	ˈɪ	0.358
ˈiː	ˈɛɪ̯	0.207
ˈoə̯	ˈɒː	0.348
ˈoə̯	ˈoː	0.251
ˈoə̯	ˈɔ	0.2
ˈoə̯	ˈa	0.072
ˈoː	ˈuː	0.538
ˈoː	ˈaʊ̯	0.462
ˈu	ˈʊ	0.628
ˈu	ˈʏ	0.188
ˈu	ˈuː	0.184
ˈuə̯	ˈaʊ̯	0.341
ˈuə̯	-	0.333
ˈuə̯	ˈʊ	0.174
ˈuə̯	ˈuː	0.081
ˈuə̯	ˈoː	0.072
ˈuː	ˈuː	0.42
ˈuː	ˈʊ	0.238
ˈuː	ˈoː	0.104
ˈuː	ˈeo̯	0.086
ˈuː	ˈøː	0.086
ˈuː	-	0.066
ˈu̯o	ˈɔʏ̯	1.0
ˈy	ˈɔ	0.831
ˈy	ˈʏ	0.169
ˈyː	ˈʏ	0.65
ˈyː	ˈɔ	0.208
ˈyː	ˈuː	0.143
ˈø	w	1.0
ˈøə̯	ˈʏ	1.0
ˈɔ	ˈʊ	0.482
ˈɔ	ˈɔ	0.132
ˈɔ	ˈɛ	0.108
ˈɔ	ˈoː	0.081
ˈɔ	ˈɪ	0.081
ˈɔu̯	ˈuː	0.459
ˈɔu̯	ˈɛɪ̯	0.279
ˈɔu̯	ˈɔ	0.262
ˈɔː	ˈa	0.811
ˈɔː	ˈeː	0.118
ˈɔː	ˈɔ	0.07
ˈɛ	ˈeː	0.253
ˈɛ	ˈiː	0.217
ˈɛ	ˈa	0.133
ˈɛ	ˈɛ	0.087
ˈɛ	ˈɛː	0.077
ˈɛ	ˈoː	0.057
ˈɛ	-	0.053
ˈɛ	ˈɪ	0.053
ˈɛi̯	ˈɛː	0.385
ˈɛi̯	ˈɪ	0.232
ˈɛi̯	r	0.152
ˈɛi̯	ˈɛ	0.152
ˈɛi̯	ˈa	0.079
ˈɛː	ˈʏ	0.397
ˈɛː	ˈa	0.156
ˈɛː	ˈaː	0.149
ˈɛː	ˈɛə̯	0.149
ˈɛː	ˈɛɪ̯	0.149
ˈɪ	ˈɪ	0.347
ˈɪ	-	0.255
ˈɪ	ˈɛ	0.136
ˈɪ	ˈœ	0.095
ˈɪ	ˈʏ	0.072
ˈɪə̯	ˈeo̯	0.361
ˈɪə̯	ˈɛɪ̯	0.134
ˈɪə̯	ˈa	0.096
ˈɪə̯	ˈɛː	0.09
ˈɪə̯	ˈɒː	0.09
ˈɪə̯	ˈeː	0.06
ˈɪə̯	-	0.05
χ	x	0.406
χ	ɣ	0.326
χ	ç	0.246
