Pennsylvania German	American English	probability
b	b	1.0
d	d	0.508
d	θ	0.238
d	ð	0.189
d	t	0.037
d	-	0.032
f	f	0.737
f	p	0.146
f	v	0.114
f_ə	p	1.0
h	h	1.0
j	j	0.401
j	ˈeɪ̯	0.265
j	oʊ̯	0.111
j	ˈaɪ̯	0.104
k	ʤ	0.361
k	k	0.307
k	-	0.222
k_ə	k	1.0
kʰ	kʰ	0.59
kʰ	ʧ	0.351
kʰ	-	0.053
l	l	0.472
l	ɫ	0.467
l	-	0.057
m	m	0.963
m	-	0.045
m_ə	m	1.0
n	n	0.704
n	-	0.202
n	ɹ_n	0.048
n	ɫ	0.029
n	ð	0.029
p	f	0.474
p	p	0.198
p	-	0.136
p	d	0.065
p͡f	pʰ	0.49
s	s	0.595
s	t	0.283
s	z	0.066
s	ɾ	0.034
s	-	0.029
s_ə	t	1.0
t	d	0.636
t	t	0.181
t	-	0.095
t	θ	0.078
v	v	0.829
v	w	0.137
x	t	0.444
x	k	0.2
x	f	0.109
x	-	0.098
x	ʧ	0.098
ç	-	0.312
ç	k	0.231
ç	ʧ	0.231
ç	d	0.133
ç	f	0.069
ç_t	t	1.0
ŋ	ŋ	1.0
ɑ	ɚ	0.629
ɑ	ɹ	0.254
ɑ	ɡ_ɚ	0.075
ɑ	-	0.038
ə	-	0.91
ə	ə	0.05
ə	ɚ	0.044
ə_f	p	0.24
ə_m	m	1.0
ɡ	ɡ	0.837
ɡ	-	0.102
ɡ	j	0.06
ɣ_l	ɫ	1.0
ɪ	-	0.435
ɪ	ɪ	0.196
ɪ	ŋ	0.196
ɪ	oʊ̯	0.127
ɪ_ç	i	1.0
ɾ	ɹ	0.836
ɾ	-	0.122
ɾ	z	0.037
ʃ	s	0.631
ʃ	ʃ	0.365
ʋ	w	0.855
ʋ	-	0.142
ʦ	tʰ	0.665
ʦ	t	0.262
ʦ	d	0.063
ˈa	ˈæ	0.274
ˈa	ˈeɪ̯	0.207
ˈa	ˈɑ	0.169
ˈa	ˈoʊ̯	0.072
ˈa	ˈaɪ̯	0.063
ˈaɪ̯	ˈaɪ̯	0.584
ˈaɪ̯	ˈi	0.134
ˈaɪ̯	ˈɪ	0.065
ˈaɪ̯	ˈu	0.065
ˈaɪ̯	ˈɛ	0.065
ˈaʊ̯	ˈaʊ̯	0.803
ˈaʊ̯	ˈaɪ̯	0.098
ˈaʊ̯	ˈi	0.073
ˈaː	ˈɔ	0.321
ˈaː	ˈɝ	0.313
ˈaː	ˈɑ	0.154
ˈaː	ˈæ	0.113
ˈeː	ˈoʊ̯	0.304
ˈeː	ˈɛ	0.201
ˈeː	ˈi	0.185
ˈeː	ˈoʊ̯_n	0.079
ˈeː	ˈɪ	0.06
ˈiː	ˈi	0.77
ˈiː	ˈɪ	0.097
ˈiː	ˈɔ	0.073
ˈiː	-	0.057
ˈoː	ˈi	0.438
ˈoː	ˈɛ	0.162
ˈoː	ˈoʊ̯	0.085
ˈoː	ˈeɪ̯	0.085
ˈoː	ˈʌ	0.07
ˈuː	ˈʊ	0.397
ˈuː	ˈʌ	0.25
ˈuː	ˈaʊ̯	0.217
ˈuː	ˈu	0.104
ˈɔ	ˈʊ	0.295
ˈɔ	ˈɑ	0.251
ˈɔ	ˈoʊ̯	0.137
ˈɔ	ˈʌ	0.125
ˈɔ	ˈaʊ̯	0.093
ˈɔɪ̯	ˈɛ	0.49
ˈɔː	ˈi	0.278
ˈɔː	ˈeɪ̯	0.223
ˈɔː	ˈɛ	0.179
ˈɔː	ˈoʊ̯	0.076
ˈɔː	ˈɔ	0.076
ˈɔː_ɣ	ˈeɪ̯	1.0
ˈɛ	ˈɛ	0.44
ˈɛ	ˈɪ	0.19
ˈɛ	-	0.093
ˈɛ	ˈi	0.093
ˈɛ	ˈaɪ̯	0.093
ˈɛː	ˈɑ	0.238
ˈɛː	ˈɔ	0.145
ˈɛː	ˈɛ	0.136
ˈɛː	-	0.099
ˈɛː	ˈæ	0.099
ˈɪ	ˈɪ	0.654
ˈɪ	ˈaɪ̯	0.181
ˈɪ	ˈɛ	0.081
ˈɪ	ˈoʊ̯	0.042
ˈɪ	ˈi	0.042
ˈʊ	ˈʌ	0.503
ˈʊ	ˈaʊ̯	0.149
ˈʊ	ˈu	0.085
ˈʊ	ˈɪ	0.068
ˈʊ	ˈɛ	0.068
