Occitan	Friulian	probability
f	f	1.0
i	i	1.0
p	p	1.0
v	v	1.0
ð	d	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʎ	j	1.0
ʤ	d	1.0
j	-	0.511
l	l	0.851
n	ɲ	0.11
u	u	0.301
z	-	0.461
ˈe	ˈe	0.571
ˈi	ˈiː	0.161
ˈu	ˈo_ŋ	0.091
ˈu	ˈoː	0.151
ˈɛ	i	0.071
w	-	0.582
ɡ	ɡ	0.932
ɣ	ɡ	0.912
ˈy	ˈu	0.602
ˈɔ	w_ˈɛ	0.082
e	i	0.653
k	c	0.443
l	-	0.053
l	l_i	0.063
z	z	0.453
ɥ	w	0.113
ʦ	s	0.833
ʧ	t	0.923
β	v	0.83
d	d	0.894
e	e	0.214
k	k_w	0.084
m	m	0.974
n	n	0.604
ˈy	ˈo	0.314
a	i	0.075
b	b_j	0.155
s	ʧ	0.25
ɔ	e	0.955
ʒ	j	0.355
ˈi	ˈi	0.705
ˈɛ	ˈi	0.125
b	b	0.826
d	-	0.106
k	ɡ	0.056
n	ŋ	0.106
z	d	0.086
ˈu	ˈoː_r	0.126
ˈu	ˈu	0.176
ˈɔ	w_ˈa	0.176
ˈɔ	w_ˈi	0.216
a	e	0.057
a	a	0.867
e	u	0.077
r	r	0.957
ɥ	-	0.887
ɾ	-	0.177
ʒ	ʤ	0.277
ʦ	ʧ	0.167
ʧ	ʧ	0.077
ˈa	ˈa	0.587
ˈe	-	0.107
ˈɛ	ˈɛ	0.377
β	-	0.147
k	k	0.418
n	n_t	0.18
s	s	0.718
t	t	0.958
ɡ	-	0.068
ɣ	-	0.088
ɾ	r	0.788
ʒ	-	0.368
ˈe	ˈo	0.138
ˈe	ˈeː	0.148
ˈi	-	0.058
ˈu	ˈɔ	0.078
ˈɔ	ˈuː	0.208
ˈɛ	j_ˈɛ	0.208
j	j	0.489
u	o	0.699
w	f	0.099
w	w	0.319
ˈa	ˈa_ŋ	0.059
ˈa	ˈaː	0.309
ˈu	ˈo	0.379
ˈɔ	ˈo	0.139
ˈɔ	ˈɔ	0.179
ˈɛ	ˈɔ	0.089
ˈɛ	ˈiː	0.109
