Westphalian	Mainland North Frisian	probability
ˈʏ	-	1.0
ˈɪɛ̯_l	l	1.0
ˈɛː	-	1.0
ˈɔː_ɐ	ʀ	1.0
ˈɔ	-	1.0
ˈɒː	ˈɒː	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈɔu̯	1.0
ˈyː	ˈœː	1.0
ˈyə̯	ˈɔː	1.0
ˈuːə̯	-	1.0
ˈoː	ˈœ	1.0
ˈiɛ̯	-	1.0
ˈaɪ̯_ɡ	w	1.0
ʃ_ʋ	s_v	1.0
ʃ_l	s_l	1.0
ʃ_k	ʃ	1.0
ɪ_ç	i	1.0
v_ˈʊ	ˈʊ	1.0
s	s	1.0
r	ʀ	1.0
p	p	1.0
n_n	n_ə	1.0
n_d̥	nʲ	1.0
h	h	1.0
f	f	1.0
d_n	dʲ_ə	1.0
aɪ̯	ɛi̯	1.0
m	m	0.932
l	l	0.919
ˈaɪ̯	ˈiː	0.892
k	k	0.878
b	b	0.871
ʋ	v	0.784
v	v	0.751
ˈiː	ˈi	0.75
d	d	0.719
t	t	0.718
ʃ	ʃ	0.698
ˈʊ	ˈʊ	0.69
ŋ	ŋ	0.683
ə	-	0.659
ˈuː	ˈʏ	0.619
ˈuə̯	ˈaː	0.593
ˈaː	-	0.567
n	n	0.558
z	s	0.556
ˈɪɛ̯	-	0.55
ˈøː	ˈɛ	0.534
ɡ	d	0.529
ˈɔː	-	0.523
x	ɡ	0.517
ɐ	ə_ʀ	0.503
ˈɪə̯	ˈɔː	0.5
ˈɪə̯	-	0.5
ç	ç	0.5
ç	x_t	0.5
ɐ	ʀ	0.497
ˈøː	ˈɛi̯	0.466
ˈɪɛ̯	ˈɛː	0.45
z	-	0.444
ˈeː	ˈiː	0.436
ˈaː	ˈɒː	0.433
ˈuə̯	-	0.407
ˈaʊ̯	ˈuː	0.405
ˈɪ	ˈi	0.4
d̥	d̥	0.384
ˈuː	-	0.381
ə	ə	0.341
d̥	dʲ	0.325
ŋ	-	0.317
ˈɛ	ˈɒ	0.312
ˈaʊ̯	-	0.312
ˈa	ˈœ	0.309
n	ə	0.306
ʃ	s	0.302
ˈaʊ̯	ˈyː	0.283
d	t	0.281
x	-	0.267
ˈɛ	ˈeː	0.262
ɡ	-	0.261
ˈɔː	ˈɔu̯	0.253
ˈeː	-	0.25
ˈɛ	ˈa	0.238
ˈɔː	ˈɛi̯	0.224
ʋ	ə_v̥	0.216
x	x	0.216
ɡ	j_ə	0.21
d̥	z̥	0.201
ˈa	ˈɒ	0.195
ˈɛ	ˈʊ	0.189
ˈeː	ˈuː	0.186
ˈʊ	ˈʏ	0.181
ˈɪ	ˈa	0.177
ˈɪ	-	0.167
t	tʲ	0.155
ˈɪ	ˈʊ	0.143
ˈʊ	ˈa	0.129
ˈeː	ˈɔu̯	0.129
v	v̥	0.129
b	-	0.129
ˈiː	ˈiː	0.127
ˈiː	ˈɛ	0.124
ˈa	ˈʊ	0.123
k	k_ə	0.122
v	-	0.12
ˈɪ	ˈai̯	0.113
ˈaɪ̯	ˈɛi̯	0.108
ˈa	ˈuː	0.099
n	nʲ	0.096
ˈa	ˈɔː	0.093
d̥	lʲ	0.089
t	z	0.085
m	-	0.068
ˈa	ˈeː	0.061
ˈa	ˈɒː	0.06
ˈa	ˈa	0.06
