Pennsylvania German	Westphalian	probability
b	b	1.0
d	d	0.833
d	t	0.1
d	-	0.059
f	f	0.738
f	p	0.17
f	v	0.037
f	-	0.036
f	b	0.034
h	h	0.936
h	k	0.064
j	j	0.5
j	ŋ	0.5
k	k	0.364
k	ç	0.2
k	x	0.132
k	ɣ	0.132
k	-	0.126
kʰ	k	1.0
l	l	0.969
l	-	0.031
m	m	1.0
n	n	0.902
n	-	0.096
p	p	0.59
p	f	0.273
s	s	0.541
s	t	0.403
s	z	0.051
t	t	0.445
t	d	0.42
t	-	0.133
v	v	0.596
v	w	0.22
v	b	0.143
x	x	0.709
x	k	0.272
ç	k	0.532
ç	ç	0.348
ç	-	0.096
ç_t	ç	1.0
ŋ	ŋ	1.0
ɑ	ɐ	0.855
ɑ	-	0.115
ɑ	ˈyː	0.037
ə	n	0.6
ə	-	0.32
ə	ə	0.046
ə	ɐ	0.03
ɡ	x	0.92
ɡ	k	0.077
ɣ	ɡ	0.683
ɣ	-	0.315
ɪ	ɪ	0.538
ɪ	-	0.278
ɪ	ɐ	0.137
ɾ	r	0.806
ɾ	-	0.084
ɾ	z	0.039
ɾ	ɐ	0.039
ɾ	ˈuːə̯	0.035
ʃ	ʃ	0.833
ʃ	s	0.161
ʋ	w	0.911
ʋ	v	0.053
ʋ	ˈʏ	0.047
ʦ	t	1.0
ˈa	ˈa	0.617
ˈa	ˈaː	0.102
ˈa	ˈɔ	0.076
ˈa	ˈɪ	0.066
ˈa	ˈɛ	0.05
ˈaɪ̯	ˈiː	0.531
ˈaɪ̯	ˈɪ	0.153
ˈaɪ̯	ˈyː	0.123
ˈaɪ̯	ˈuː	0.055
ˈaɪ̯	ˈɪə̯	0.054
ˈaʊ̯	ˈuː	0.516
ˈaʊ̯	ˈʊ	0.361
ˈaʊ̯	ˈaʊ̯	0.104
ˈaː	ˈa	0.538
ˈaː	ˈuːə̯	0.223
ˈaː	ˈɛː	0.126
ˈaː	ˈɔː	0.058
ˈeː	ˈeː	0.318
ˈeː	ˈaɪ̯	0.194
ˈeː	ˈeː_n	0.121
ˈeː	ˈɪɛ̯	0.091
ˈeː	ˈœː	0.076
ˈiː	ˈaɪ̯	0.491
ˈiː	ˈøː	0.252
ˈiː	ˈɪ	0.095
ˈiː	ˈeː	0.073
ˈiː	ˈiː	0.057
ˈoː	ˈɔː	0.533
ˈoː	ˈaʊ̯	0.32
ˈoː	ˈuːə̯	0.081
ˈoː	ˈoː	0.064
ˈuː	ˈoː	0.606
ˈuː	ˈaʊ̯	0.114
ˈuː	ˈuː	0.114
ˈuː	ˈuə̯	0.11
ˈɔ	ˈʊ	0.329
ˈɔ	ˈuːə̯	0.243
ˈɔ	ˈɔ	0.212
ˈɔ	ˈʏ	0.101
ˈɔ	ˈuə̯	0.073
ˈɔɪ̯	ˈaɪ̯	0.491
ˈɔː	ˈɔː	0.236
ˈɔː	ˈaʊ̯	0.187
ˈɔː	ˈa	0.135
ˈɔː	ˈaː	0.115
ˈɔː	ˈɒː	0.066
ˈɛ	ˈɪɛ̯	0.374
ˈɛ	ˈɛ	0.247
ˈɛ	ˈiɛ̯	0.076
ˈɛ	ˈyə̯	0.076
ˈɛ	ˈɛː	0.069
ˈɛː	ˈɛː	0.364
ˈɛː	ˈœː	0.209
ˈɛː	ˈaɪ̯	0.142
ˈɛː	ˈɪɛ̯	0.096
ˈɛː	r	0.092
ˈɛː_ɾ	ˈɪɛ̯	1.0
ˈɪ	ˈɪ	0.599
ˈɪ	ˈɛ	0.088
ˈɪ	ˈʏ	0.076
ˈɪ	ˈiː	0.069
ˈɪ	ˈiə̯	0.05
ˈʊ	ˈʊ	0.423
ˈʊ	ˈoː	0.146
ˈʊ	ˈuː	0.127
ˈʊ	ˈa	0.084
ˈʊ	ˈɔ	0.068
