Pennsylvania German	Westphalian	probability
b	b	1.0
d	d	0.891
d	-	0.055
d	t	0.054
eː	aɪ̯	1.0
f	f	0.682
f	p	0.232
f	v	0.064
h	h	0.985
j	ŋ	0.669
j	j	0.331
k	k	0.451
k	x	0.175
k	ç	0.136
k	-	0.124
k	ɡ	0.085
kʰ	k	1.0
l	l	0.991
m	m	0.925
m	-	0.075
n	n	0.961
p	v	0.704
p	p	0.195
p	f	0.101
pʰ	p	1.0
s	s	0.535
s	t	0.406
s	z	0.059
t	t	0.549
t	d	0.451
v	v	0.729
v	b	0.233
x	x	0.639
x	k	0.361
ç	ç	0.589
ç	k	0.289
ç	-	0.122
ŋ	ŋ	1.0
ɑ	ɐ	0.75
ɑ	-	0.145
ɑ	ˈiː	0.066
ə	n	0.785
ə	-	0.157
ə	ə	0.051
ɡ	x	0.967
ɣ	ɡ	0.902
ɣ	-	0.098
ɪ	ɪ	0.702
ɪ	ɐ	0.298
ɾ	r	0.793
ɾ	-	0.145
ʃ	ʃ	0.842
ʃ	s	0.158
ʋ	w	0.861
ʋ	v	0.084
ʋ	ˈʏ	0.055
ʦ	t	1.0
ˈa	ˈa	0.597
ˈa	ˈaː	0.098
ˈa	ˈɪ	0.082
ˈa	ˈaʊ̯	0.064
ˈa	ˈɔ	0.062
ˈaɪ̯	ˈiː	0.49
ˈaɪ̯	ˈɪ	0.145
ˈaɪ̯	ˈyː	0.133
ˈaɪ̯	ˈø	0.072
ˈaɪ̯	ˈiɛ̯	0.052
ˈaɪ̯	ˈɪə̯	0.05
ˈaʊ̯	ˈuː	0.663
ˈaʊ̯	ˈʊ	0.233
ˈaʊ̯	ˈaʊ̯	0.104
ˈaː	ˈa	0.441
ˈaː	ˈuːə̯	0.436
ˈaː	ˈɔː	0.096
ˈeː	ˈeː	0.295
ˈeː	ˈaɪ̯	0.276
ˈeː	ˈeː_n	0.186
ˈeː	ˈɪɛ̯	0.08
ˈeː	ˈœː	0.066
ˈiː	ˈaɪ̯	0.564
ˈiː	ˈøː	0.254
ˈiː	ˈeː	0.067
ˈiː	ˈiː	0.067
ˈoː	ˈɔː	0.585
ˈoː	ˈaʊ̯	0.336
ˈoː	ˈoː	0.071
ˈuː	ˈoː	0.615
ˈuː	ˈøː	0.205
ˈuː	ˈuə̯	0.114
ˈɔ	ˈʊ	0.378
ˈɔ	ˈɔ	0.159
ˈɔ	ˈʏ	0.147
ˈɔ	ˈuːə̯	0.133
ˈɔ	ˈiɛ̯	0.107
ˈɔ	ˈuə̯	0.077
ˈɔɪ̯	ˈaɪ̯	1.0
ˈɔː	ˈaʊ̯	0.297
ˈɔː	ˈa	0.235
ˈɔː	ˈɔː	0.177
ˈɔː	ˈaː	0.072
ˈɔː	ˈɒː	0.056
ˈɔː	ˈaɪ̯	0.056
ˈɛ	ˈɛ	0.373
ˈɛ	ˈɪɛ̯	0.194
ˈɛ	ˈyə̯	0.084
ˈɛ	w	0.063
ˈɛ	ˈa	0.054
ˈɛ	-	0.051
ˈɛ	ˈiɛ̯	0.051
ˈɛ	ˈø	0.051
ˈɛ	ˈɪə̯	0.051
ˈɛː	ˈɛː	0.506
ˈɛː	ˈœː	0.155
ˈɛː	ˈaɪ̯	0.119
ˈɛː	ˈɪɛ̯	0.113
ˈɛː	r	0.106
ˈɪ	ˈɪ	0.631
ˈɪ	ˈʏ	0.129
ˈɪ	ˈiː	0.086
ˈɪ	ˈɛ	0.07
ˈʊ	ˈʊ	0.6
ˈʊ	ˈa	0.095
ˈʊ	ˈuː	0.088
ˈʊ	ˈoː	0.086
ˈʊ	ˈuə̯	0.072
