Zeelandic	Zeelandic	probability
ˈɪə̯_ɾ	ˈɛ	1.0
ˈɒː	ˈɒ	1.0
ˈɑu̯_w	ˈɔi̯	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈæi̯	ˈəi̯	1.0
ˈu	ˈu	1.0
ˈoː	-	1.0
ˈiːə̯	ˈæː	1.0
ʋ	ʋ	1.0
ɫ	l	1.0
ɪ	i	1.0
ə_#>	#>	1.0
ŋ_k_#>	#>	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
x_ə_#>	k_#>	1.0
x_ə	ʋ	1.0
x_t	ʃ_t	1.0
x_#>	#>	1.0
w_#>	#>	1.0
v̥_#>	b̥_#>	1.0
v̥	f	1.0
t_#>	s_#>	1.0
s_x	ʃ	1.0
s	ʃ	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_ə_#>	x_#>	1.0
iː	eː	1.0
i	i	1.0
d̥	t	1.0
b	b̥	1.0
<#_ˈɑ	<#_ˈɒ	1.0
<#_ɾ	<#_ʁ	1.0
<#_x	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
ɾ	ʁ	0.96
n	n	0.953
z	s	0.882
d	d̥	0.846
v	f	0.826
d̥_#>	d̥_#>	0.778
ˈɑ	ˈɒ	0.75
t_ə	s_ə	0.75
ə	ə	0.733
k	kʰ	0.733
ˈyː	ˈyː	0.692
t	t	0.667
ˈɪ	ˈi	0.6
ˈuː	ˈʊː	0.6
ˈɔ	ˈu	0.579
p	f	0.571
k_#>	#>	0.571
#>	ʁ_#>	0.571
ˈi	ˈi	0.545
ˈiː	ˈiː	0.5
x	x	0.5
j	j	0.5
j	-	0.5
ˈʊə̯	ˈoː	0.467
ˈi	ˈiː	0.455
ˈɪə̯	ˈəi̯	0.429
ˈøː	ˈu	0.429
ˈøː	-	0.429
k_#>	ʃ_#>	0.429
#>	n_#>	0.429
ˈæ	ˈe	0.417
ˈuː	ˈøː	0.4
ˈɛː	ˈoː	0.389
ˈʏ	ˈu	0.333
ˈʏ	ˈo	0.333
ˈʏ	ˈe	0.333
ˈæ	-	0.333
ˈeː	-	0.333
t	ʦ	0.333
ˈiː	ˈei̯	0.3
x	j	0.3
ˈɪə̯	ˈeː	0.286
ˈɪə̯	-	0.286
p	p͡f	0.286
ə	-	0.267
ˈɑ	ˈɒː	0.25
ˈæ	ˈæ	0.25
t_ə	s	0.25
ˈɛː	ˈɒ	0.222
ˈeː	ˈæ	0.222
ˈeː	ˈi	0.222
ˈeː	ˈe	0.222
d̥_#>	#>	0.222
ˈɔ	ˈo	0.211
ˈɔ	-	0.211
ˈʊə̯	ˈʊː	0.2
ˈɪ	ˈiː	0.2
ˈɪ	-	0.2
ˈiː	ˈeː	0.2
x	ɡ̊	0.2
ˈɛː	-	0.167
ˈyː	ˈi	0.154
d	t	0.154
ˈøː	ˈø	0.143
p	p	0.143
ˈʊə̯	ˈo	0.133
ˈʊə̯	-	0.133
k	k	0.133
k	i_ʃ	0.133
z	-	0.118
ˈɛː	ˈɒː	0.111
ˈɛː	ˈæː	0.111
v	ʋ	0.087
v	-	0.087
ˈyː	ˈøi̯	0.077
ˈyː	e	0.077
ˈʊə̯	ˈœ	0.067
