Standard Croatian	Bulgarian	probability
ʨ	ʃ_t	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʋ_j	vʲ	1.0
ʋ_a	v_ɐ	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	n	1.0
ɡ	ɡ	1.0
x	x	1.0
t_j	tʲ	1.0
t_a	t_ɐ	1.0
t	t	1.0
s	s	1.0
r̩ː	ɤ	1.0
r̩_̂	ɐ_r	1.0
r̩	ɤ	1.0
r	r	1.0
p_j	pʲ	1.0
p	p	1.0
oː	ɔ	1.0
o_̌	o	1.0
n_j	nʲ	1.0
n_a	n_a	1.0
m	m	1.0
l_j	lʲ	1.0
l_a	ɫ_a	1.0
k	k	1.0
iː	i	1.0
d_j	dʲ	1.0
d	d	1.0
b_j	bʲ	1.0
aː_̌	ɐ	1.0
a_̂	ɤ_ˈ	1.0
a_o	ɐ_ɫ	1.0
a_m	ɛ_m	1.0
a_k	ɐ_k	1.0
̂	ˈ	0.929
n	n	0.925
i	i	0.872
z	z	0.854
b	b	0.85
ʒ	ʒ	0.826
j	-	0.735
aː	a	0.706
u	ɤ	0.705
e	ɛ	0.667
o	ɔ	0.632
ʎ	l	0.622
l	ɫ	0.614
̌	-	0.611
t_i	ɐ	0.571
eː	ɛ	0.557
uː	ɤ	0.515
eː	a	0.443
t_i	j_ɐ	0.429
uː	u	0.397
̌	ˈ	0.389
l	l	0.386
ʎ	-	0.378
a	a	0.366
u	u	0.295
aː	ɛ	0.294
a	ɐ	0.28
o	o	0.269
j	j	0.265
a	a_ˈ	0.227
ʒ	ʒ̊	0.174
b	b̥	0.15
z	-	0.146
e	a	0.136
i	i_ˈ	0.128
e	ɛ_ˈ	0.113
a	ɛ	0.1
o	ɫ	0.098
uː	-	0.088
e	a_ˈ	0.084
n	ɛ_n	0.075
̂	-	0.071
