Gothic	Westphalian	probability
a	-	0.736
a	ɐ	0.122
a	ə	0.085
aː	-	1.0
b	b	0.831
b	v	0.113
b	-	0.056
d	d	0.583
d	-	0.337
d	t	0.08
e	-	1.0
f	f	0.798
f	v	0.202
h	h	0.583
h	-	0.153
h	x	0.121
h	ŋ	0.068
i	-	1.0
iː	-	1.0
j	-	0.705
j	j	0.239
k	k	0.881
k	-	0.119
kʷ	f	0.671
kʷ	k	0.329
l	l	1.0
lː	l	1.0
m	m	0.916
m	-	0.084
n	n	0.845
n	-	0.149
nː	n	0.879
nː	ˈyə̯	0.121
oː	-	0.375
oː	ə	0.346
oː	ɐ	0.181
oː	ˈaʊ̯	0.098
p	p	0.735
p	b	0.265
r	ɐ	0.466
r	r	0.385
r	-	0.149
s	-	0.63
s	s	0.235
s	ʃ	0.094
t	t	0.919
t	d	0.058
u	-	0.914
u	ɐ	0.086
w	w	0.771
w	ˈiɛ̯	0.096
w	ˈʏ	0.077
w	-	0.051
x	ç	0.671
x	x	0.329
z	ʃ	0.67
z	-	0.33
ð	d	0.872
ð	t	0.093
ŋ	ŋ	0.858
ŋ	-	0.142
ɔː	-	1.0
ɡ	x	0.412
ɡ	-	0.369
ɡ	ŋ	0.086
ɡ	ɡ	0.054
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	ç	0.952
ʍ	w	0.666
ʍ	-	0.334
ˈa	ˈa	0.611
ˈa	ˈɔː	0.105
ˈa	ˈɛ	0.093
ˈa	ˈaʊ̯	0.056
ˈeː	ˈɔː	0.807
ˈeː	ˈiː	0.193
ˈi	ˈɪ	0.509
ˈi	-	0.086
ˈi	ˈiː	0.073
ˈi	r	0.068
ˈi	ˈuə̯	0.057
ˈiu̯	ˈaɪ̯	0.568
ˈiu̯	ˈiː	0.194
ˈiu̯	ˈɪə̯	0.109
ˈiu̯	ˈʊ	0.064
ˈiː	ˈiː	0.592
ˈiː	ˈɪ	0.246
ˈiː	ˈaɪ̯	0.162
ˈoː	ˈoː	0.604
ˈoː	ˈyː	0.237
ˈoː	ˈuə̯	0.08
ˈoː	ˈøː	0.08
ˈu	ˈʊ	0.525
ˈu	ˈuːə̯	0.125
ˈu	ˈuː	0.116
ˈu	-	0.112
ˈu	ˈa	0.054
ˈuː	ˈuː	0.51
ˈuː	ˈʊ	0.371
ˈuː	ɐ	0.118
ˈɔ	ˈɔː	0.471
ˈɔ	ˈuːə̯	0.25
ˈɔ	ˈaʊ̯	0.168
ˈɔ	ˈɔ	0.111
ˈɔː	ˈaʊ̯	0.36
ˈɔː	ˈøː	0.242
ˈɔː	ˈɔ	0.144
ˈɔː	ˈœː	0.098
ˈɔː	ˈuːə̯	0.078
ˈɔː	ˈɔː	0.078
ˈɛ	ˈɪɛ̯	0.528
ˈɛ	ˈaɪ̯	0.178
ˈɛ	ˈɛ	0.178
ˈɛ	ˈɛː	0.115
ˈɛː	ˈeː	0.545
ˈɛː	ˈɪ	0.287
ˈɛː	ˈaɪ̯	0.093
ˈɛː	ˈɛ	0.075
β	b	0.77
β	p	0.128
β	v	0.102
θ	-	0.565
θ	d	0.435
