Corsican	Corsican	probability
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɔ_n	ˈɔ_n	1.0
ˈi	ˈi	1.0
ˈa	ˈa	1.0
ʧː	ʧː	1.0
ʧ	ʧ	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʤ	ʤ	1.0
ʣ	ʣː	1.0
ʒ	-	1.0
ʎ	ʎː	1.0
ʃː	ʃː	1.0
ɡ	ɡ	1.0
z	z	1.0
w	w	1.0
v	v	1.0
tː	tː	1.0
sː	sː	1.0
s	s	1.0
rː	rː	1.0
r_ˈɛ	r_ˈe	1.0
r_ˈa	r_ˈa	1.0
r_u	r_o	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_a	r_a	1.0
r	r	1.0
p_u	p_o	1.0
p_r	p_r	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_a	n_o	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l	l	1.0
kː	kː	1.0
k_r	k_r	1.0
j_#>	j_#>	1.0
fː	fː	1.0
f	f	1.0
dː	dː	1.0
d_u	d_o	1.0
d	d	1.0
bː	bː	1.0
a_t	a_t	1.0
a_n	a_n	1.0
a_m	a_m	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_u	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_a	<#_a	1.0
#>	r_e_#>	1.0
t	t	0.962
a	a	0.943
ˈu	ˈu	0.931
u	o	0.923
k	k	0.912
e	e	0.912
lː	lː	0.85
j	j	0.833
ɲ	ɲː	0.818
b	b	0.81
ɟ	ʤ	0.8
ŋ	ŋ	0.778
c	kː_j	0.714
i	i	0.71
ˈe	ˈɛ	0.7
ˈo	ˈo	0.667
ˈɛ	ˈe	0.548
ʃ	ʃː	0.5
ʃ	s	0.5
ˈɔ	ˈɔ	0.462
ˈɔ	ˈo	0.423
ˈɛ	ˈɛ	0.381
ˈo	ˈɔ	0.333
c	k_j	0.286
i	e	0.226
ŋ	n	0.222
b	b_w	0.19
ɲ	-	0.182
ˈe	ˈe	0.167
j	-	0.167
lː	-	0.15
ˈe	j_ˈɛ	0.133
ˈɔ	w_ˈɔ	0.115
ɟ	ʤː	0.1
ɟ	ɡ_j	0.1
k	ɡ	0.088
ˈɛ	e	0.071
ˈu	ˈɔ	0.069
i	-	0.065
u	e	0.06
a	e	0.057
