Friulian	Galician	probability
c	k	1.0
o	o	1.0
p	p	1.0
u	-	1.0
z	-	1.0
ʤ	ʃ	1.0
ˈe	ˈe	1.0
ˈeː	ˈe	1.0
ˈoː	ˈo	1.0
ˈu	ˈu	1.0
a	a	0.601
i	ˈe_ɾ	0.121
i	i	0.181
r	ɾ_n	0.051
t	ð_ɪ	0.061
ˈiː	ˈi_ɾ	0.301
ˈɔ	j	0.401
ˈɛ	ˈɛ	0.231
ˈɛ	-	0.541
b	β	0.062
i	j	0.122
i	ʊ	0.202
l	l	0.52
ˈi	ˈi	0.662
d	ð	0.363
e	-	0.053
f	f	0.93
i	ɾ	0.143
l	-	0.193
m	m	0.953
t	t	0.373
ɡ	ɣ	0.453
ʧ	θ	0.803
ˈa	ˈa	0.783
ˈuː	ˈu	0.573
v	β	0.204
v	b	0.754
e	e	0.085
e	ɐ	0.815
j	j	0.465
k	ɣ	0.165
k	k	0.745
l	l_ʊ	0.135
n	-	0.05
r	ɾ	0.655
s	s_ʊ	0.055
t	t_ʊ	0.155
t	-	0.225
ŋ	-	0.15
ɲ	ɲ_ʊ	0.145
ˈaː	a	0.125
j	ʃ	0.136
l	ʧ	0.076
r	r	0.136
s	e_s	0.136
t	ð	0.06
w	o	0.116
ŋ	n_ʊ	0.096
ɲ	ɲ	0.726
ˈaː	ˈa_ɾ	0.486
ˈo	ˈo	0.606
d	d	0.457
i	e	0.07
n	n	0.87
r	-	0.097
s	s	0.577
w	ˈo	0.197
ŋ	ɲ_ʊ	0.067
ɡ	ɡ	0.547
ʧ	-	0.197
ˈa	ˈɑ	0.187
ˈo	ˈu	0.147
ˈuː	ˈɔ	0.427
b	b	0.938
d	-	0.18
i	-	0.128
n	ɲ	0.08
s	θ	0.148
ŋ	ŋ	0.688
ɲ	n	0.128
ˈi	ˈe	0.338
ˈo	ˈɔ	0.138
ˈɛ	ˈe	0.228
a	-	0.399
j	ʎ	0.399
k	k_ʊ	0.09
s	ʃ	0.059
t	t_ɪ	0.099
w	-	0.269
w	w	0.419
ˈaː	ˈa	0.389
ˈiː	ˈɛ	0.699
ˈo	ˈe	0.109
ˈɔ	ˈo	0.599
