Latin	Latin	probability
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_k	j_ˈɛ	1.0
ˈɛ_d	ˈɛ	1.0
ˈuː	ˈu	1.0
ˈo	-	1.0
ˈĩː	ˈi	1.0
ˈiː_lʲ	ˈi	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈeː_r	ˈe	1.0
ˈe	j	1.0
ˈaː_t	ˈɛ	1.0
ˈaː_r	ˈe	1.0
ˈaː_n	ˈa_n	1.0
ˈae̯	ˈe	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	k	1.0
ʊ̃	-	1.0
ɪ̃	-	1.0
ɡʷ	-	1.0
ɡ_n	ɲ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	e	1.0
ɛ̃_#>	#>	1.0
ɛ_r	e	1.0
ŋ_n	ɲ	1.0
ŋ_k	n	1.0
w_ʊ̃ː	ˈɛ_f	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	d	1.0
t_i	ʦ	1.0
t_e	ʦ	1.0
sː	s	1.0
s_k	ʃ	1.0
s_i	ʒ	1.0
s_#>	#>	1.0
rː	r	1.0
r_ʊ̃ː_#>	r_#>	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_ãː	r_a	1.0
o	-	1.0
nː	-	1.0
n_i	ɲ	1.0
mː	m	1.0
m	m	1.0
lʲː_ʊ̃ː_#>	l_#>	1.0
lʲː	l	1.0
lʲ_ˈɪ	l_ˈe	1.0
lʲ_i	j	1.0
kː	ʨ	1.0
k_ʊ	d	1.0
k_ɪ	ʧ_ˈɛ	1.0
k_t	t	1.0
k_r	k_r	1.0
k_a	ʨ_a	1.0
j	ʒ	1.0
ĩː	i_n	1.0
iː	i	1.0
i_ʊ̃ː_#>	#>	1.0
i_a	e_r	1.0
f_r	f_r	1.0
f	f	1.0
eː	e	1.0
d_ʊ̃ː	t	1.0
b_ãː	b_a	1.0
ãː_#>	#>	1.0
ãː	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
n	n	0.906
ɛ_#>	#>	0.87
ɫ	l	0.857
<#_n	<#_n	0.846
ˈoː	ˈo	0.769
ˈɛ	ˈɛ	0.75
ŋ	ŋ	0.75
r	r	0.75
ˈʊ	ˈo	0.722
r_ɛ_#>	#>	0.714
b	b	0.714
aː	a	0.714
ˈa	ˈa	0.706
p	p	0.702
w	v	0.667
k_ˈa	ʨ_ˈa	0.667
k_ʊ̃ː	ˈɛ_k	0.667
t	t	0.634
ɔ	o	0.625
ˈeː	ˈe_j	0.6
ˈaː	ˈa	0.6
ˈau̯	w	0.6
<#_a	<#_a	0.6
ˈɪ	ˈe	0.588
ˈɔ	ˈɔ	0.576
ɪ	e	0.571
s	s	0.556
d	-	0.538
ˈu	ˈo	0.5
ˈu	-	0.5
ɛ	e	0.5
r_ɛ̃ː	w_r	0.5
r_ɛ̃ː	r	0.5
oː	o	0.5
oː	-	0.5
kʷ	k	0.5
k_ɛ̃ː	ʃ	0.5
k_ɛ̃ː	w_ʃ	0.5
i	j	0.5
i	-	0.5
d	d	0.462
ɪ	-	0.429
ɡ	ʒ	0.412
ˈeː	ˈe	0.4
ˈaː	ˈɛ	0.4
ˈau̯	ˈɔ	0.4
<#_a	<#	0.4
ɛ	-	0.389
ɔ	e	0.375
s	ʃ	0.37
ʊ	ˈɛ	0.333
ʊ	u	0.333
ʊ	-	0.333
k_ˈa	ʨ	0.333
k_ʊ̃ː	k	0.333
k	ʨ	0.304
kʷ	ʨ	0.3
r_ɛ_#>	ˈe_#>	0.286
aː	e	0.286
t	d	0.268
ŋ	n	0.25
ˈɪ	ˈe_j	0.235
ˈa	ˈɛ	0.235
ɡ	-	0.235
ˈoː	-	0.231
kʷ	-	0.2
ˈɔ	w	0.182
ˈɛ	j_ˈɛ	0.179
ˈɪ	-	0.176
k	ʧ	0.174
ˈʊ	-	0.167
<#_n	<#	0.154
ˈɔ	ˈo	0.152
w	-	0.148
b	v	0.143
b	-	0.143
ɛ_#>	j_#>	0.13
k	k	0.13
k	-	0.13
p	-	0.128
r	e	0.125
r	-	0.125
ɡ	ˈe	0.118
ɡ	ʥ	0.118
ɡ	ʤ	0.118
ˈʊ	ˈu	0.111
ɛ	ˈe	0.111
w	f	0.111
p	v	0.106
t	-	0.098
ɫ	w	0.095
n	n_d	0.094
ˈɔ	w_ˈɛ	0.091
k	ʃ	0.087
k	ɡ	0.087
k	j	0.087
w	ʒ_ɡ	0.074
s	-	0.074
ˈɛ	j	0.071
p	w	0.064
ˈa	-	0.059
