Westphalian	Old Norse	probability
aɪ̯	ɑː	1.0
b	b	0.889
b	v	0.067
d	ð	0.387
d	d	0.311
d	θ	0.289
f	f	0.905
f	kʰ	0.052
h	h	0.834
h	ç	0.166
j	-	1.0
k	k	0.46
k	kʰ	0.201
k	cʰ	0.15
k	c	0.061
l	l	0.82
l	lː	0.111
m	m	0.922
n	n	0.432
n	ɑ	0.206
n	-	0.153
n	nː	0.113
p	p	0.824
p	-	0.09
p	pː	0.054
r	r	0.83
r	r̥	0.067
r	-	0.059
s	s	0.889
s	sː	0.075
t	t	0.586
t	tʰ	0.159
t	ð	0.118
t	-	0.073
v	v	0.635
v	f	0.155
v	-	0.136
v	mː	0.073
w	v	0.725
w	w	0.159
w	-	0.091
x	ɡ	0.492
x	tː	0.24
x	ɟ	0.128
x	-	0.078
x	ɣ	0.061
z	s	1.0
ç	ɣ	0.307
ç	tː	0.221
ç	rː	0.15
ç	s	0.15
ç	ɡ	0.102
ç	ɡː	0.07
ŋ	ŋ	0.811
ŋ	ɣ	0.189
ɐ	r	0.507
ɐ	i	0.283
ɐ	rː	0.098
ə	ɑ	0.608
ə	r	0.259
ə	u	0.076
ə	i	0.056
ɡ	ɣ	0.642
ɡ	ɟː	0.185
ɡ	ʝː	0.173
ɣ	-	0.565
ɣ	ɣ	0.435
ɪ	ɑ	0.854
ɪ	u	0.146
ʃ	s	0.936
ˈa	ˈɑ	0.517
ˈa	ˈa	0.128
ˈa	ˈɔ	0.111
ˈa	ˈɑː	0.083
ˈa	ˈɛ	0.072
ˈa	ˈu	0.061
ˈaɪ̯	j	0.463
ˈaɪ̯	u	0.133
ˈaɪ̯	ˈøy̯	0.133
ˈaɪ̯	ˈeː	0.062
ˈaɪ̯	ˈiː	0.062
ˈaɪ̯	ˈu	0.054
ˈaʊ̯	ˈɑu̯	0.519
ˈaʊ̯	ˈɑː	0.134
ˈaʊ̯	ˈyː	0.093
ˈaʊ̯	ˈeː	0.077
ˈaʊ̯	ˈɑ	0.05
ˈaː	ˈɑ	0.93
ˈaː	ˈa	0.07
ˈeː	ˈɛi̯	0.718
ˈeː	ˈɑː	0.204
ˈeː	ˈoː	0.078
ˈiə̯	ˈi	1.0
ˈiɛ̯	ˈi	0.332
ˈiɛ̯	ˈo	0.332
ˈiɛ̯	ˈe	0.187
ˈiɛ̯	ˈeː	0.149
ˈiː	ˈiː	0.558
ˈiː	ˈeː	0.19
ˈiː	ˈi	0.166
ˈiː	ˈyː	0.085
ˈoː	ˈoː	0.686
ˈoː	ˈɔː	0.257
ˈoː	ˈɑː	0.057
ˈuə̯	ˈo	0.678
ˈuə̯	ˈoː	0.322
ˈuː	ˈuː	0.701
ˈuː	ˈu	0.188
ˈuː	ˈo	0.111
ˈuːə̯	ˈo	0.917
ˈuːə̯	ˈu	0.062
ˈyə̯	ˈu	1.0
ˈyː	ˈyː	0.394
ˈyː	ˈu	0.24
ˈyː	ˈy	0.24
ˈyː	ˈuː	0.085
ˈyːœ̯	ˈy	1.0
ˈø	ˈɛ	0.552
ˈø	j	0.448
ˈøː	ˈøː	0.946
ˈøː	ˈy	0.054
ˈœː	ˈy	0.662
ˈœː	ˈøy̯	0.338
ˈɒː	ˈe	1.0
ˈɔ	ˈɑ	0.605
ˈɔ	ˈoː	0.29
ˈɔ	ˈɔ	0.106
ˈɔː	ˈɑː	0.543
ˈɔː	ˈɑ	0.264
ˈɔː	ˈo	0.09
ˈɔː	ˈɛː	0.065
ˈɛ	ˈøː	0.284
ˈɛ	ˈɑ	0.243
ˈɛ	ˈe	0.227
ˈɛ	ˈeː	0.085
ˈɛ	ˈoː	0.085
ˈɛ	ˈi	0.053
ˈɛː	ˈɔ	0.455
ˈɛː	j	0.379
ˈɛː	ˈɑ	0.166
ˈɪ	ˈi	0.546
ˈɪ	ˈiː	0.128
ˈɪ	ˈy	0.118
ˈɪ	-	0.064
ˈɪ	ˈe	0.056
ˈɪə̯	ˈɛ	0.4
ˈɪə̯	u	0.321
ˈɪə̯	ˈɑu̯	0.175
ˈɪə̯	ˈe	0.104
ˈɪɛ̯	ˈe	0.326
ˈɪɛ̯	j	0.271
ˈɪɛ̯	ˈu	0.157
ˈɪɛ̯	ˈɛ	0.108
ˈɪɛ̯	ˈɑ	0.082
ˈɪɛ̯	ˈɑː	0.056
ˈʊ	ˈu	0.942
ˈʊ	ˈuː	0.058
ˈʏ	ˈy	0.646
ˈʏ	ˈøː	0.213
ˈʏ	ˈu	0.14
