Franco-Provençal	Sassarese	probability
ˈɛː_ð	i_d	1.0
ˈɑː	ˈa	1.0
ˈy	ˈo_bː	1.0
ˈĩ	ˈi_n	1.0
ˈe_ʃ	ʦ_i	1.0
ˈaː	ˈa	1.0
ʦ	ʦː_u	1.0
ʃ_i	kː_a	1.0
ʁ_ə	ˈi	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛ̃	ɲː	1.0
ɛː	-	1.0
ɛ	-	1.0
ə_n	i_n	1.0
ɔ	u	1.0
ɑ̃	a_n	1.0
ɑː	a_ɬ	1.0
z	-	1.0
y	u_ʒ	1.0
w_ˈɛː	ˈo	1.0
w_ˈe	ˈɔ	1.0
u	u	1.0
s_ə	u	1.0
p_l	p_j	1.0
ĩ	-	1.0
i	i	1.0
e	i_ɬ	1.0
a	a	1.0
f	f	0.895
p	p	0.852
n	n	0.828
j	-	0.82
ˈa	ˈa	0.808
b	b	0.804
o	u	0.76
k	k	0.728
m	m	0.724
ˈɔ	ˈɔ	0.698
t	t	0.643
ə	a	0.625
ˈɑ̃	ˈa	0.623
d	d	0.591
ˈø	ˈo	0.549
ð	r	0.543
ˈi	ˈi	0.528
ʎ	ʧː	0.528
ʁ	r	0.503
ˈo	ˈu	0.49
ʃ	k	0.474
ʎ	ʎː	0.472
ˈu	ˈu	0.47
s	s	0.467
l	r	0.463
ð	-	0.457
ˈɛː	ˈe	0.451
ˈø	ˈɔ	0.451
ˈoː	ˈo	0.451
v	v	0.446
ˈɔ̃	ˈo_n	0.435
w	ˈɔ	0.422
d	-	0.409
ˈɛ̃	ˈɛ_n	0.384
ˈɑ̃	ˈa_n	0.377
ˈɛ	ˈɛ	0.364
ˈu	-	0.354
ə	i	0.321
ˈɛ̃	n	0.308
ˈɔ̃	n	0.306
ˈɔ	-	0.302
ˈoː	ˈɔ	0.285
ˈoː	ˈɔ_ɬ	0.264
ˈo	ˈo	0.263
ʃ	-	0.259
s	ʦ	0.258
ˈɛ	ˈe	0.256
ˈo	ˈo_j	0.247
t	tː	0.246
v	β	0.242
ˈɛ	-	0.234
l	dː	0.21
ˈe	ˈa	0.2
b	-	0.196
m	mː	0.193
w	ˈu	0.187
ˈɛː	i	0.181
ˈu	ˈɔ_dː	0.175
ˈi	ˈe	0.175
l	j	0.175
n	-	0.172
ˈe	ˈi	0.17
ˈi	i	0.168
k	-	0.162
ˈe	ˈɛ	0.161
ʃ	ʦ	0.16
ˈɛ̃	-	0.156
ˈɛ̃	ˈɛ	0.152
o	i	0.149
p	pː	0.148
ˈɛ	ˈi	0.147
v	bː	0.146
s	-	0.14
s	ʦː	0.135
ˈɔ̃	ˈɔ_n	0.129
ˈɔ̃	ˈo	0.129
ˈi	-	0.129
ʁ	a_r	0.122
j	ˈe	0.122
ˈa	ˈi	0.121
w	ˈo	0.117
ˈɛː	ˈɛ	0.111
t	-	0.111
k	x	0.111
v	b	0.108
ʃ	k_ˈa	0.107
ˈe	u	0.104
w	w	0.1
l	lː	0.097
ˈɛː	-	0.096
ʁ	j	0.095
ˈɛː	ˈɛ_dː	0.094
w	ˈe	0.091
o	a	0.091
w	-	0.083
m	i_m	0.082
ʁ	rː	0.079
ˈa	ɡː_u	0.071
ˈɛː	ˈi	0.067
ˈe	-	0.066
ʁ	-	0.065
f	β_i	0.065
ˈe	j	0.064
ˈe	i	0.058
v	-	0.058
ˈe	dː	0.057
j	i	0.057
l	-	0.056
ˈe	ˈɛ_dː	0.054
ə	e	0.053
