Eastphalian	Old Norse	probability
b	b	0.881
b	v	0.084
d	d	0.431
d	θ	0.305
d	ð	0.243
f	f	0.743
f	v	0.118
f	mː	0.07
f	kʰ	0.05
h	h	0.867
h	ç	0.133
j	ɡ	0.311
j	ɣ	0.268
j	-	0.153
j	ɟ	0.145
j	ʝː	0.123
k	k	0.382
k	cʰ	0.187
k	kʰ	0.167
k	cː	0.09
k	kː	0.066
k	ɡː	0.053
l	l	0.833
l	lː	0.136
m	m	0.782
m	-	0.084
n	n	0.389
n	ɑ	0.193
n	-	0.172
n	nː	0.147
p	p	0.789
p	-	0.094
p	pː	0.06
p	v	0.057
r	r	0.878
r	r̥	0.072
s	s	0.94
s	sː	0.06
t	t	0.552
t	ð	0.196
t	tʰ	0.141
v	v	0.693
v	-	0.202
v	x	0.104
w	v	0.824
w	ˈy	0.176
x	ɣ	0.352
x	tː	0.311
x	-	0.284
x	j	0.054
z	s	0.954
ç	ɣ	0.407
ç	tː	0.28
ç	s	0.157
ç	ɡ	0.157
ŋ	ŋ	0.807
ŋ	ɣ	0.193
ɐ	r	0.596
ɐ	i	0.199
ɐ	ð_r	0.089
ɐ	rː	0.071
ɒː	ɑː	1.0
ə	ɑ	0.361
ə	r	0.328
ə	i	0.127
ɡ	ɟː	0.666
ɡ	ɟ	0.334
ɣ	ɡ	0.508
ɣ	-	0.207
ɣ	ɡː	0.111
ɣ	rː	0.061
ɣ	ɟ	0.057
ɣ	ɣ	0.056
ɪ	ɑ	0.761
ɪ	u	0.239
ʃ	s	0.824
ʃ	sː	0.103
ʃ	k	0.06
ˈa	ˈɑ	0.666
ˈa	ˈa	0.176
ˈaʊ̯	ˈoː	0.55
ˈaʊ̯	ˈɔː	0.261
ˈaʊ̯	ˈɑː	0.131
ˈaʊ̯	ˈyː	0.059
ˈaː	ˈɑ	1.0
ˈeo̯	ˈɑu̯	0.467
ˈeo̯	ˈɑː	0.193
ˈeo̯	ˈøy̯	0.146
ˈeo̯	ˈɑ	0.082
ˈeo̯	ˈɒu̯	0.076
ˈeː	u	0.188
ˈeː	ˈɑu̯	0.188
ˈeː	ˈɔ	0.179
ˈeː	ˈe	0.174
ˈeː	j	0.099
ˈeː	ˈi	0.066
ˈeː	ˈɛ	0.064
ˈiː	ˈiː	0.701
ˈiː	ˈi	0.137
ˈiː	ˈyː	0.082
ˈiː	ˈeː	0.08
ˈoː	ˈy	0.498
ˈoː	ˈo	0.261
ˈoː	ˈɑː	0.215
ˈuː	ˈuː	0.718
ˈuː	ˈu	0.152
ˈuː	a	0.066
ˈuː	ˈo	0.064
ˈyː	ˈy	0.418
ˈyː	ˈyː	0.378
ˈyː	ˈuː	0.102
ˈyː	ˈɛ	0.102
ˈøː	ˈøy̯	0.595
ˈøː	ˈeː	0.235
ˈøː	ˈu	0.169
ˈœ	ˈe	0.488
ˈœ	ˈu	0.414
ˈœ	ˈo	0.098
ˈɒː	ˈɑː	0.414
ˈɒː	ˈɑ	0.355
ˈɒː	ˈa	0.068
ˈɒː	ˈe	0.052
ˈɒː	ˈɛː	0.052
ˈɔ	ˈu	0.46
ˈɔ	ˈɑ	0.23
ˈɔ	j	0.086
ˈɔ	ˈɔ	0.086
ˈɔ	ˈy	0.066
ˈɔʏ̯	ˈøː	0.856
ˈɔʏ̯	ˈøy̯	0.144
ˈɛ	ˈe	0.253
ˈɛ	ˈøː	0.18
ˈɛ	ˈɛ	0.104
ˈɛ	ˈu	0.104
ˈɛ	ˈɑ	0.092
ˈɛ	ˈɔ	0.084
ˈɛ	ˈi	0.062
ˈɛ	-	0.061
ˈɛ	ˈeː	0.061
ˈɛə̯	ˈɑ	1.0
ˈɛɪ̯	j	0.376
ˈɛɪ̯	ˈɛi̯	0.264
ˈɛɪ̯	ˈiː	0.147
ˈɛɪ̯	ˈu	0.08
ˈɛː	ˈe	0.464
ˈɛː	ˈɔ	0.274
ˈɛː	ˈɑ	0.232
ˈɪ	ˈi	0.571
ˈɪ	ˈy	0.097
ˈɪ	ˈu	0.069
ˈɪ	ˈe	0.055
ˈʊ	ˈu	0.908
ˈʊ	ˈoː	0.092
ˈʏ	ˈu	0.223
ˈʏ	ˈy	0.223
ˈʏ	ˈyː	0.185
ˈʏ	j	0.091
ˈʏ	ˈɛ	0.084
ˈʏ	ˈe	0.066
ˈʏ	ˈøː	0.066
ˈʏ	ˈo	0.061
