Scots	Old Norse	probability
b	b	0.976
d	ð	0.46
d	d	0.451
d	-	0.057
e	-	0.435
e	a	0.435
e	r	0.13
f	f	0.883
f	v	0.106
h	h	0.821
h	ç	0.156
i	u	1.0
iː	ɑː	1.0
j	ɡ	0.333
j	ˈɑː	0.27
j	-	0.269
j	j	0.128
k	k	0.709
k	kː	0.155
k	c	0.085
kʰ	kʰ	0.817
kʰ	cʰ	0.183
l	l	0.831
l	ɣ_l	0.061
m	m	0.843
m	n	0.06
m	-	0.056
n	n	0.762
n	nː	0.158
p	p	0.743
p	-	0.144
p	pː	0.057
p	v	0.056
r	r	0.891
r	rː	0.058
s	s	0.941
t	t	0.881
t	-	0.066
tʰ	tʰ	1.0
v	v	0.579
v	-	0.254
v	mː	0.167
w	v	0.584
w	-	0.338
x	tː	0.741
x	s	0.116
x	r	0.082
x	j	0.061
z	s	1.0
ç	ɣ	1.0
ð	ð	0.743
ð	θ	0.129
ð	nː	0.128
ŋ	ŋ	0.942
ŋ	ˈe	0.058
ə	-	0.396
ə	i	0.311
ə	ɑ	0.121
ə	u	0.081
ə	r_i	0.071
əi̯	ɑ	0.884
əi̯	-	0.07
ɡ	ɡ	0.692
ɡ	ɡː	0.146
ɡ	ɟ	0.097
ɡ	ɟː	0.065
ɪ	-	0.707
ɪ	i	0.293
ɫ	l	0.934
ɫ	lː	0.066
ɹ	ˈiː	1.0
ʃ	s	0.907
ʃ	f	0.093
ʍ	x	0.694
ʍ	ç	0.306
ʧ	cʰ	0.65
ʧ	k	0.35
ˈa	ˈo	1.0
ˈaːɪ̯	ˈi	0.5
ˈaːɪ̯	ˈuː	0.5
ˈe	ˈɛi̯	0.357
ˈe	ˈɑ	0.145
ˈe	ˈyː	0.113
ˈe	ˈe	0.094
ˈe	ˈɑː	0.09
ˈe	-	0.062
ˈei̯	ˈɑu̯	0.223
ˈei̯	ˈɔ	0.188
ˈei̯	ˈøy̯	0.154
ˈei̯	ˈyː	0.114
ˈei̯	ˈɑ	0.086
ˈei̯	ˈoː	0.083
ˈeː	ˈɑ	0.484
ˈeː	ˈɑː	0.379
ˈeː	ˈe	0.137
ˈi	ˈɑu̯	0.28
ˈi	ˈeː	0.233
ˈi	ˈi	0.146
ˈi	ˈuː	0.133
ˈi	ˈɑ	0.08
ˈi	ˈoː	0.078
ˈiː	j	0.246
ˈiː	ˈøː	0.205
ˈiː	ˈeː	0.199
ˈiː	ˈɛ	0.07
ˈoe̯	-	1.0
ˈø	ˈoː	0.521
ˈø	ˈɑː	0.275
ˈø	ˈɔː	0.131
ˈø	ˈɔ	0.073
ˈɑ	ˈɑ	0.748
ˈɑ	ˈa	0.135
ˈɑ	ˈe	0.051
ˈɑː	ˈɑ	0.524
ˈɑː	ˈa	0.142
ˈɑː	ˈɛː	0.111
ˈɑː	ˈe	0.071
ˈɑː	ˈoː	0.062
ˈɔ	ˈo	0.581
ˈɔ	ˈy	0.216
ˈɔ	ˈɑː	0.117
ˈɔ	ˈu	0.058
ˈəi̯	ˈiː	0.572
ˈəi̯	ˈi	0.173
ˈəi̯	-	0.098
ˈəi̯	ˈuː	0.06
ˈɛ	ˈɑ	0.48
ˈɛ	-	0.135
ˈɛ	ˈɛ	0.078
ˈɛ	u	0.076
ˈɛ	j_ˈɑ	0.056
ˈɪ	ˈi	0.311
ˈɪ	ˈy	0.145
ˈɪ	ˈoː	0.088
ˈɪ	ˈɔ	0.072
ˈɪ	ˈiː	0.066
ˈɪ	-	0.061
ˈɪ	ˈu	0.061
ˈɪ	ˈo	0.057
ˈʉ	ˈuː	0.369
ˈʉ	ˈu	0.299
ˈʉ	ˈyː	0.181
ˈʉ	ˈi	0.055
ˈʉ	ˈo	0.055
ˈʉː	ˈuː	1.0
ˈʌ	ˈu	0.886
ˈʌ	ˈo	0.076
ˈʌʉ̯	lː	0.356
ˈʌʉ̯	ˈy	0.294
ˈʌʉ̯	ˈo	0.175
ˈʌʉ̯	ˈoː	0.175
θ	θ	0.633
θ	ð	0.23
θ	nː	0.137
