Nuorese	Nuorese	probability
ˈɔ_j	ˈu	1.0
ˈu_k	ˈo_z	1.0
ˈo_k	ˈo_ɡ	1.0
ˈi_ʣ	ˈi	1.0
ˈe_ɖː	ˈɛ	1.0
ˈa_t	ˈa	1.0
ʦ	s	1.0
ɾ_ˈa	j_ˈa	1.0
ɾ_u	r_o	1.0
ɾ_a	r_a	1.0
ɲ	ɲ	1.0
ɛ_n	e	1.0
ɛ_#>	#>	1.0
ɖː	-	1.0
ɔ̆_#>	#>	1.0
ɔ_z	i	1.0
ŋ	ŋ	1.0
z_u	z_o	1.0
ŭ	-	1.0
u_#>	#>	1.0
s_ˈa	s_ˈa	1.0
s_u	s_o	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_i	n_e	1.0
l_ˈi	ˈe	1.0
l_ɛ_#>	l_#>	1.0
k_ˈi	s_ˈi	1.0
k_ɾ	ʧ	1.0
k_a	k_a	1.0
i_k	e_ɡ	1.0
f	f	1.0
d	d	1.0
ă	e	1.0
a_t	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_z	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#	1.0
<#_i	<#	1.0
<#_a	<#	1.0
ˈa	ˈa	0.958
u	o	0.938
s	s	0.917
a	a	0.877
p	p	0.868
z	-	0.833
ɾ	r	0.806
β	v	0.769
t	t	0.76
ɛ	e	0.759
l	ɰ	0.759
m	m	0.75
j	-	0.75
ɔ	o	0.727
k	k	0.703
k_ɛ	z_e	0.667
ð	-	0.6
n	ŋ	0.591
ɛ_ɾ	e_r	0.583
ˈe	ˈɛ	0.571
r	r	0.571
b	v	0.559
ɣ	-	0.556
ɡ	z	0.538
ˈi	ˈi	0.531
ˈɔ	ˈo	0.5
ˈo	ˈɔ	0.5
ʣ	ʤ	0.5
ʣ	-	0.5
o	o	0.5
o	-	0.5
nː	n	0.5
ˈu	ˈu	0.486
ˈɛ	ˈɛ	0.467
ɡ	ɡ	0.462
b	b	0.441
ˈɔ	ˈɔ	0.438
ˈe	ˈe	0.429
r	r_n	0.429
e	e	0.429
ˈi	ˈe	0.406
ˈɛ	ˈe	0.4
ð	d	0.4
i	e	0.381
i	-	0.381
ˈo	ˈo	0.375
ˈu	ˈo	0.371
n	n	0.364
nː	ɲ	0.333
k_ɛ	e	0.333
<#	<#_ɡ	0.333
<#	<#_z	0.333
<#	<#_k	0.333
e	a	0.286
e	-	0.286
ɔ	-	0.273
ɛ_ɾ	r	0.25
j	j	0.25
i	i	0.238
β	-	0.231
ɣ	ɡ	0.222
ɣ	z	0.222
k	s	0.189
ɛ	a	0.172
ɛ_ɾ	ˈi	0.167
z	z	0.167
nː	ŋ_d	0.167
m	ŋ	0.167
ˈu	ˈɔ	0.143
l	l	0.138
ˈɛ	ˈi	0.133
p	v	0.132
ˈo	-	0.125
t	d	0.12
l	-	0.103
ɾ	j	0.097
s	-	0.083
m	ŋ_k	0.083
ɛ	r	0.069
ɾ	l	0.065
ˈɔ	o	0.062
ˈi	-	0.062
k	ɡ	0.054
k	z	0.054
