Latin	Latin	probability
ˈʊ	ˈu	1.0
ˈuː	ˈu	1.0
ˈiː	ˈi	1.0
ˈae̯	-	1.0
ʊ̃ː_#>	#>	1.0
ʊ_ɫ	ʎ	1.0
ɫ_ʊ̃ː	u	1.0
ɡʷ	-	1.0
ɛ̃ː_#>	#>	1.0
ɛ_r	i_r	1.0
ɛ_#>	#>	1.0
ɔ	u	1.0
tʰ	t	1.0
t_ʊ̃ː_#>	t_#>	1.0
sː	-	1.0
s_ˈɛ	ʃ_ˈa	1.0
r_n	r_n	1.0
p_ʊ̃ː_#>	p_#>	1.0
oː	-	1.0
nː	n	1.0
n_ʊ̃ː_#>	n_#>	1.0
m	m	1.0
kː	k	1.0
kʷ	ʦ	1.0
k_ʊ̃ː_#>	k_#>	1.0
k_ɛ̃ː	ʦ_i	1.0
k_t	p_t	1.0
j	ʒ	1.0
ĩː	-	1.0
i_ʊ̃ː_#>	#>	1.0
h	-	1.0
f	f	1.0
ãː_#>	#>	1.0
ãː	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_z	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_f_ˈiː	<#_ˈi	1.0
<#_b	<#_b	1.0
r	r	0.935
n	n	0.9
ɡ	ɡ	0.889
p	p	0.875
ɛ̃ː	i	0.87
ˈeː	-	0.8
t	t	0.789
i	-	0.778
ˈa	ˈa	0.773
s	s	0.773
b	b	0.75
a	ə	0.714
ɛ	i	0.7
d	d	0.692
ˈɔ	ˈo	0.667
ʊ	ʎ	0.667
lʲ	ʎ	0.667
<#	<#_w	0.667
lʲː	l	0.625
ˈu	ˈu	0.6
ˈoː	o̯ˈa	0.6
ʊ̃ː	u	0.6
ɫ	l	0.579
k	k	0.571
ˈaː	ˈa	0.556
ɪ	-	0.556
#>	u_#>	0.5
#>	i_#>	0.5
w	v	0.471
ˈaː	ˈɔ	0.444
ɪ	i	0.444
ˈɪ	e̯ˈa	0.429
ŋ	n	0.429
ˈu	ˈo	0.4
ˈoː	-	0.4
ʊ̃ː	s	0.4
lʲː	-	0.375
ˈɪ	ˈe	0.357
w	-	0.353
ʊ	u	0.333
lʲ	l	0.333
<#	<#_n	0.333
d	z	0.308
ɛ	-	0.3
ˈɛ	ˈi	0.286
ˈɛ	ˈe	0.286
ˈɛ	ˈa	0.286
ŋ	ŋ	0.286
ŋ	-	0.286
k	ʦ	0.286
a	-	0.286
ɫ	r	0.263
b	-	0.25
i	u	0.222
ˈɪ	ˈi	0.214
t	ʦ	0.211
ˈeː	ˈɛ	0.2
ˈa	ˈɔ	0.182
w	w	0.176
ˈɔ	ˈu	0.167
ˈɔ	o̯ˈa	0.167
ɫ	ʎ	0.158
ˈɛ	-	0.143
k	ʧ	0.143
s	ʃ	0.136
ɛ̃ː	ə	0.13
p	kʲ	0.125
ɡ	ʤ	0.111
n	j_n	0.1
s	j	0.091
r	-	0.065
