Old Frisian	Scots	probability
θ	θ	1.0
ˈɔː_n	n	1.0
ˈu_lː	ˈuː	1.0
ˈi̯uː	-	1.0
ˈi̯aː_ɣ	ˈiː	1.0
ˈi_k	ˈaː	1.0
ˈeː_r	r	1.0
ˈe_j	ˈɛː	1.0
ˈaː_n	ˈeː	1.0
ˈa_l	ˈɑː	1.0
ʦ	ʧ	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ə_n	ə_n	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	z	1.0
tː	t	1.0
t	t	1.0
s_ˈu	s_ˈɪ	1.0
s_k	ʃ	1.0
s	s	1.0
r_n	r_n	1.0
pː	-	1.0
p	p	1.0
nː	n	1.0
n_t	n_t	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
k_ˈoː	ˈøː	1.0
k_ə	k	1.0
iː_k	ɪ	1.0
i	ˈi	1.0
h_ˈɛː	h	1.0
h_w	ʍ	1.0
h_l	l	1.0
h	h	1.0
dː	d	1.0
d_ə	ə	1.0
d_r	d_r	1.0
bː	-	1.0
b	b	1.0
a	-	1.0
n	n	0.908
d	d	0.89
f	f	0.888
r	r	0.881
ˈi	ˈɪ	0.845
w	w	0.812
k	k	0.795
ˈiː	ˈəi̯	0.767
x	ç	0.764
ˈuː	ˈu	0.728
ə	-	0.668
ə_x	i	0.667
ˈoː	ˈø	0.665
ˈɛː	ˈe	0.649
ɡː	ɡ	0.649
ˈo	ˈo	0.637
ˈu	ˈʌ	0.606
j	-	0.593
ð	ð	0.574
v	v	0.553
e	ə	0.515
e	-	0.485
ˈɔː	ˈa	0.457
v	-	0.447
ð	d	0.426
ˈeː	ˈiː	0.421
ˈi̯aː	ˈi	0.416
j	j	0.407
ˈeː	ˈi	0.388
ˈo	-	0.363
ˈaː	ˈiː	0.363
ɡː	ʤ	0.351
ˈe	ˈɛ	0.342
ˈoː	ˈɪ	0.335
ə_x	e	0.333
ə	ə	0.319
ˈɔː	ˈɑː	0.305
ˈa	ˈɑː	0.299
ˈaː	ˈi	0.262
ˈi̯aː	ˈiː	0.254
ˈu	ˈɪ	0.245
ˈa	-	0.242
ˈɔː	-	0.238
x	x	0.236
k	-	0.205
ˈɛː	ˈɑː	0.202
ˈa	ˈa	0.199
ˈi̯aː	-	0.191
ˈeː	ˈeː	0.191
ˈe	ˈeː	0.189
ˈe	ˈɪ	0.187
ˈa	ˈe	0.176
ˈiː	-	0.16
ˈaː	ˈe	0.157
w	-	0.154
ˈɛː	ˈi	0.15
ˈu	-	0.149
ˈe	-	0.146
ˈi̯aː	ˈɪ	0.139
ˈuː	ˈuː	0.137
ˈuː	-	0.135
ˈaː	ˈeː	0.115
f	-	0.112
ˈe	ˈa	0.108
ˈaː	ˈɛ	0.103
ˈi	-	0.102
n	-	0.092
ˈa	ˈɛ	0.084
ˈiː	ˈaːɪ̯	0.073
d	ð	0.068
ˈi	ˈi	0.052
