Bavarian	Bavarian	probability
β	-	1.0
ˈɒː	ˈa	1.0
ˈɑː	ˈa	1.0
ˈɑ	ˈa	1.0
ˈuɐ̯	ˈoː	1.0
ˈoɐ̯	ˈɛː	1.0
ˈou̯	ˈɔː	1.0
ˈiː	ˈi	1.0
ˈiɐ̯	ˈiu̯	1.0
ˈeɐ̯	ˈoː	1.0
ˈaː	-	1.0
ˈau̯	ˈuː	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ʃ	s_k	1.0
ɑ	oː	1.0
ç	k_iː	1.0
x_d̥	h_t	1.0
r	r	1.0
n_d̥	n	1.0
i	u_k	1.0
h	h	1.0
f_ə	i	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈi	<#_ˈi	1.0
<#_ʦ	<#_t	1.0
<#_ʃ	<#_s	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
n	n	0.909
ˈi	ˈi	0.882
ʋ	w	0.875
ɐ	r	0.824
b̥	b	0.824
l	l	0.778
#>	s_#>	0.741
m	m	0.7
ə	-	0.667
j	l	0.667
<#_kʰ	<#_k	0.667
f	f	0.65
<#_d̥	<#_d	0.643
ˈai̯	ˈiː	0.636
ɡ̊	ɡ	0.636
ŋ	ŋ	0.636
s	t	0.615
ˈu	ˈu	0.6
x	k	0.6
ˈoː	ˈu	0.5
ˈoː	-	0.5
ˈa	ˈu	0.5
ˈa	-	0.5
d̥	θ	0.483
ˈe	ˈɛ	0.429
x	h	0.4
s	s	0.385
<#_d̥	<#_θ	0.357
f	p	0.35
<#_kʰ	<#	0.333
d̥	d	0.31
a	a	0.31
ˈe	ˈi	0.286
ˈe	ˈa	0.286
ˈo	ˈɔ	0.25
ˈo	ˈu	0.25
ˈo	ˈa	0.25
ˈeː	ˈi	0.25
ˈeː	ˈa	0.25
#>	n_#>	0.235
l	h_l	0.222
a	a_r	0.207
ˈu	ˈuː	0.2
ˈu	-	0.2
j	lː	0.2
ˈai̯	ˈiu̯	0.182
ˈai̯	j	0.182
ɡ̊	x	0.182
ɡ̊	k	0.182
ŋ	ɣ_a	0.182
ŋ	a	0.182
ɐ	s	0.176
b̥	f	0.176
ˈeː	ˈɛː_w	0.167
ˈeː	ˈɛ	0.167
ˈeː	ˈɔː	0.167
ə	ɔː	0.167
ə	e	0.167
a	r	0.138
a	oː	0.138
j	j	0.133
ˈo	ˈɔː	0.125
ˈo	-	0.125
ʋ	ʍ	0.125
ˈi	-	0.118
d̥	ð	0.103
d̥	t	0.103
a	j_a	0.103
a	-	0.103
m	β_a	0.1
m	β	0.1
m	m_ˈeː	0.1
n	nː	0.091
