Spanish	Spanish	probability
θ_ˈe	ʃ	1.0
θ_#>	ʃ_#>	1.0
β_a	b_a	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈi_x	f_ˈi	1.0
ˈe_ɣ	ˈɛ_k	1.0
ˈa_ɾ_#>	ˈe_#>	1.0
ʧ	t	1.0
ʝ	l	1.0
ɾ_a	r_a	1.0
ŋ	ŋ	1.0
ð_ɾ	r	1.0
x_o	d_l	1.0
x	-	1.0
w_ˈe	ˈɔ	1.0
w_a	a	1.0
u	-	1.0
t_e_#>	t_#>	1.0
t_a	t_a	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
r	r	1.0
p_o_#>	p_#>	1.0
p	p	1.0
o_ɾ	o_r	1.0
o_#>	#>	1.0
n	n	1.0
m_ˈa	m_ˈɛ	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
l	l	1.0
k_ˈa	ʨ_ˈɛ	1.0
k_w	k	1.0
j_ˈo	j_ˈɛ	1.0
j_ˈe	ˈɛ	1.0
f	f	1.0
e_s	ʃ	1.0
e_#>	#>	1.0
b_ˈa	b_ˈa	1.0
b_ɾ_e_#>	#>	1.0
b_ɾ	e_n	1.0
a_#>	#>	1.0
<#_x	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#	1.0
<#_a	<#_a	1.0
a	a	0.934
d	d	0.857
ˈi	ˈi	0.85
ˈa	ˈa	0.811
s	s	0.8
ɾ	r	0.78
w	w	0.778
<#	<#_f	0.778
ˈu	ˈu	0.727
θ	ʒ	0.714
ɲ	ɲ	0.714
ɣ	ɡ	0.714
ɾ_#>	e_#>	0.667
ɡ	ɡ	0.667
k	k	0.595
<#_θ	<#_ʨ	0.571
b	v	0.542
ð	d	0.533
ˈo	ˈo	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
i	i	0.5
i	-	0.5
#>	ˈe_#>	0.5
#>	e_#>	0.5
e	e	0.474
ð	t	0.467
o	o	0.462
ɟ͡ʝ	p_l	0.429
j	j	0.429
<#_θ	<#_ʧ	0.429
e	-	0.421
k	ʨ	0.405
b	b	0.375
j	-	0.357
β	v	0.353
β	f	0.353
ɾ_#>	j_#>	0.333
ɡ	k	0.333
ˈe	ˈe	0.312
θ	ʦ	0.286
ɲ	-	0.286
ɣ	-	0.286
ɟ͡ʝ	k_l	0.286
ɟ͡ʝ	-	0.286
ˈu	ˈo	0.273
ˈe	ˈɛ	0.271
o	r	0.231
w	ˈo	0.222
<#	<#_ʒ	0.222
j	ˈi	0.214
ˈa	ˈɛ	0.189
β	-	0.176
o	e	0.154
o	-	0.154
ˈi	ˈɛ	0.15
ˈo	ˈɔ	0.147
ˈe	ˈe_j	0.146
d	-	0.143
s	ʃ	0.133
ˈe	-	0.125
β	w	0.118
e	a	0.105
ˈo	ˈa_w	0.088
ˈo	w_ˈɛ	0.088
b	ʒ_ɡ	0.083
ɾ	e	0.073
s	z	0.067
ˈe	j	0.062
ˈo	ˈu	0.059
ˈo	ˈo_w	0.059
ˈo	w	0.059
