Proto-Germanic	Scots	probability
a	-	0.242
b	b	0.935
b	tʰ	0.042
b	-	0.041
d	d	1.0
e	ə	0.242
i	-	0.777
i	ə	0.075
i	ˈəi̯	0.056
i	e	0.05
i	i	0.036
iː	-	0.488
iː	ɪ	0.317
j	-	0.817
j	j	0.109
j	ˈɛ	0.059
jː	ɡ	0.242
k	k	0.395
k	kʰ	0.3
k	-	0.141
k	ʧ	0.141
k_s	k	1.0
kʷ	kʰ	0.242
kː	k	0.242
l	l	0.785
l	ɫ	0.115
l	-	0.097
l_i	l	1.0
l_ɑ	l	1.0
l_ɣ	l	1.0
lː	ɫ	0.276
lː	ˈʉ	0.24
lː	-	0.136
m	m	0.862
m	n	0.075
m	-	0.06
m_ɑ	m	1.0
m_ɔːː	m	1.0
mː	m	1.0
n	n	0.536
n	-	0.462
n_s	s	1.0
n_x	ŋ	1.0
nː	n	1.0
p	p	1.0
r	r	0.925
r	-	0.07
s	s	0.849
s	-	0.071
s	z	0.049
s	t	0.029
s_k	ʃ	1.0
s_ɔːː	r	1.0
sː	s	0.119
t	t	0.665
t	tʰ	0.331
t_i	t	0.492
t_s	t	1.0
t_ɑ	t	1.0
t_ɑ̃	t	1.0
u	-	0.688
u	ə	0.217
u	ˈəi̯	0.082
w	w	0.742
w	-	0.197
w	l	0.048
wː	ˈʉ	1.0
x	h	0.56
x	x	0.246
x	-	0.164
x	k	0.04
xʷ	ʍ	0.711
xʷ	-	0.283
z	-	0.939
z	r	0.054
ð	d	0.339
ð	ð	0.339
ð	-	0.207
ð_i	d	1.0
ð_ɑ	d	1.0
ð_ɑ̃	d	1.0
ŋ	ŋ	0.872
ŋ	-	0.073
ŋ	n	0.055
ɑ	-	0.918
ɑ	ə	0.035
ɑ	ˈəi̯	0.035
ɑ_l	l	1.0
ɑ_z	e	0.644
ɑ_z	ˈʉ	0.24
ɑ_ɣ	əi̯	1.0
ɑi̯	ˈɛ	0.119
ɑː	e	0.492
ɑ̃	-	1.0
ɔː	-	0.495
ɔː	ə	0.408
ɔː	ɫ	0.093
ɔːu̯	-	0.492
ɔːː	-	1.0
ɔ̃ː	-	1.0
ɛː	ə	1.0
ɡ	-	1.0
ɡ_r	ɡ	1.0
ɡʷ	-	0.492
ɣ	-	0.533
ɣ	ɡ	0.319
ɣ	x	0.06
ɣ	j	0.051
ɣ	ç	0.038
ɣ_j	ɡ	1.0
ɣ_ɑ	əi̯	0.242
ɸ	f	0.94
ɸ	p	0.05
ɸ	-	0.032
ˈe	ˈei̯	0.225
ˈe	ˈɪ	0.207
ˈe	ˈɛ	0.181
ˈe	ˈiː	0.157
ˈe	-	0.063
ˈe_w	ˈiː	0.492
ˈeu̯	ˈiː	0.381
ˈeu̯	ˈɪ	0.214
ˈeu̯	ˈe	0.141
ˈeu̯	ˈɛ	0.135
ˈeu̯	ˈei̯	0.068
ˈeː	ˈi	0.492
ˈi	ˈɪ	0.657
ˈi	ˈiː	0.073
ˈi	-	0.064
ˈi	ˈi	0.055
ˈi	ˈɛ	0.055
ˈi_j	ˈiː	1.0
ˈiu̯	-	0.204
ˈiu̯	ˈe	0.204
ˈiu̯	ˈei̯	0.204
ˈiu̯	ˈɪ	0.125
ˈiː	ˈəi̯	0.874
ˈiː	ɹ	0.125
ˈiː_z	ˈiː	1.0
ˈĩː	ˈɪ	0.242
ˈu	ˈɔ	0.417
ˈu	ˈɪ	0.18
ˈu	ˈʌ	0.155
ˈu	ˈʉ	0.117
ˈu	-	0.108
ˈu_l	ˈʌʉ̯	0.492
ˈu_β	ˈʌʉ̯	1.0
ˈuː	ˈʉ	0.886
ˈuː	ˈaːɪ̯	0.101
ˈuː_z	ˈʉ	1.0
ˈɑ	ˈɛ	0.203
ˈɑ	ˈe	0.185
ˈɑ	ˈɑː	0.175
ˈɑ	ˈɑ	0.171
ˈɑ	ˈeː	0.09
ˈɑ_l	ˈɑː	1.0
ˈɑ_n	ˈø	0.492
ˈɑi̯	ˈe	0.704
ˈɑi̯	ˈɛ	0.118
ˈɑi̯	ˈɑː	0.064
ˈɑi̯	ˈɑ	0.06
ˈɑi̯	-	0.048
ˈɑi̯_w	ˈɑː	1.0
ˈɑu̯	ˈei̯	0.407
ˈɑu̯	ˈiː	0.331
ˈɑu̯	ˈe	0.14
ˈɑu̯	-	0.07
ˈɑu̯	ˈi	0.049
ˈɔ	ˈi	0.492
ˈɔː	ˈø	0.474
ˈɔː	ˈɪ	0.244
ˈɔː	ˈiː	0.116
ˈɔː	ˈəi̯	0.088
ˈɔː	ˈɛ	0.069
ˈɛː	ˈiː	0.297
ˈɛː	ˈe	0.196
ˈɛː	ˈei̯	0.138
ˈɛː	ˈø	0.127
ˈɛː	ˈɑ	0.127
β	v	0.686
β	-	0.302
β_ɑ	f	1.0
β_ɑ̃	f	1.0
θ	θ	0.641
θ	d	0.206
θ	ð	0.137
