Gascon	Romanian	probability
i	e	1.0
m	m	1.0
ð	t	1.0
a	a	0.271
e	ə	0.121
e	i	0.141
h	f	0.951
l	l	0.681
t	l	0.21
w	w	0.131
z	ʧ	0.781
ʃ	s	0.131
ʎ	j	0.071
ˈe	ˈe	0.491
ˈi	ˈi	0.871
ˈu	ˈu	0.641
β	r	0.131
b	v	0.712
j	t	0.442
ɔ	ə	0.662
ɾ	r	0.802
ʎ	-	0.2
ʒ	ʤ	0.532
ˈy	ˈu_p	0.092
ˈɛ	ˈe	0.222
ˈɛ	ˈa	0.462
d	d	0.823
e	e_r	0.093
p	p_j	0.093
s	s	0.543
ɡ	-	0.093
ɣ	ɡ	0.243
ɲ	n	0.173
ɾ	-	0.133
ʦ	ʦ	0.33
ˈa	-	0.063
ˈy	ˈu	0.753
ˈɛ	j_ˈe	0.193
β	p	0.093
β	l_b	0.133
e	e	0.214
j	e	0.074
j	j	0.124
k	k	0.954
n	n_t	0.214
s	ʧ	0.184
t	t_e	0.144
t	t	0.434
w	o̯ˈa	0.114
w	ˈo	0.264
w	-	0.464
ŋ	n_e	0.154
ʎ	k	0.174
ˈe	ˈi	0.314
ˈɛ	e̯ˈa	0.074
a	ə	0.45
e	-	0.105
l	-	0.195
r	r_n	0.105
s	-	0.145
t	-	0.055
ŋ	n	0.385
ɔ	n_ə	0.055
ɾ	e_r	0.065
ʦ	ʧ_e	0.295
ʦ	-	0.375
ˈa	ˈa_r	0.185
ˈy	ˈo	0.155
ˈɔ	o̯ˈa	0.275
ˈɔ	ˈo	0.725
β	-	0.595
j	p	0.056
j	-	0.146
n	n	0.786
u	e	0.066
u	u	0.726
ŋ	n_ə	0.116
ŋ	j_n	0.116
ɔ	-	0.156
a	e	0.057
a	-	0.057
d	z	0.177
p	p	0.907
r	r	0.717
ŋ	-	0.17
ɡ	ɡ	0.907
ɣ	k	0.757
ɲ	m	0.827
ʎ	kʲ	0.397
ˈa	ˈɨ	0.317
ˈe	e̯ˈa	0.157
ˈi	ˈi_r	0.087
b	b	0.288
e	u	0.068
e	a	0.078
e	r_e	0.18
j	ʃ_t	0.158
r	-	0.178
s	ʃ	0.128
t	ʦ	0.058
u	-	0.208
ɔ	e	0.078
ʎ	e	0.158
ʒ	-	0.118
l	r	0.09
z	-	0.219
ŋ	ŋ	0.059
ʃ	-	0.869
ʒ	ʒ	0.349
ˈa	ˈa	0.369
ˈu	<#_j	0.249
