Swedish	Scots	probability
a	-	0.984
b	b	1.0
d	d	0.82
d	θ	0.095
d	ð	0.063
f	f	0.987
h	h	1.0
j	-	0.51
j	ˈiː	0.13
j	ə	0.11
j	ɡ	0.096
j	ç	0.069
jː	ˈeː	1.0
k	k	0.674
k	-	0.141
k	ʧ	0.099
k	ç	0.086
kʰ	kʰ	0.835
kʰ	k	0.165
kː	k	0.518
kː	ŋ_k	0.482
l	l	0.905
l	-	0.095
lː	l	1.0
m	m	0.977
mː	m	1.0
n	n	0.854
n	-	0.123
nː	n	0.89
nː	ð	0.064
p	p	1.0
pʰ	pʰ	1.0
pː	p	1.0
r	r	0.941
r	-	0.059
rː	ˈaɪ̯	0.67
rː	θ	0.33
s	s	0.818
s	ʃ	0.116
s	z	0.062
sː	s	1.0
t	t	1.0
tʰ	θ	0.54
tʰ	tʰ	0.431
tː	t	0.731
tː	ç	0.269
v	w	0.554
v	f	0.193
v	v	0.099
v	-	0.098
ŋ	n	0.381
ŋ	ŋ	0.305
ŋ	ˈɛː	0.172
ŋ	-	0.108
ŋː	ŋ	1.0
ɔ	i	1.0
ɕ	ʧ	0.459
ɕ	k	0.244
ɕ	kʰ	0.142
ɕ	θ	0.109
ɖ	r_d	1.0
ɛ	ə	0.953
ɡ	ɡ	0.321
ɡ	-	0.321
ɡ	ç	0.225
ɡ	j	0.068
ɡː	ɡ	0.466
ɡː	-	0.322
ɡː	ʤ	0.212
ɧ	s	0.556
ɧ	ʃ	0.396
ɪ	ə	0.58
ɪ	ɪ	0.318
ɪ	i	0.101
ɳ	r	1.0
ɳː	n	1.0
ɵ	e	0.571
ɵ	-	0.429
ʂ	s	1.0
ʈ	t	1.0
ʈː	r_t	1.0
ʊ	n	0.817
ʊ	ˈɛ	0.183
ˈa	ˈɑː	0.334
ˈa	ˈa	0.243
ˈa	ˈeː	0.22
ˈa	ˈe	0.085
ˈa	ˈø	0.061
ˈeː	ˈe	0.423
ˈeː	ˈɪ	0.284
ˈeː	ˈiː	0.106
ˈeː	ˈeː	0.1
ˈiː	ˈəi̯	0.657
ˈiː	ˈiː	0.125
ˈiː	ˈɪ	0.102
ˈoː	ˈeː	0.246
ˈoː	ˈɪ	0.138
ˈoː	ˈi	0.119
ˈoː	j	0.095
ˈoː	ˈa	0.089
ˈoː	ˈʌ	0.087
ˈoː	ˈø	0.081
ˈuː	ˈɪ	0.465
ˈuː	ˈø	0.221
ˈuː	ˈuː	0.127
ˈuː	ˈo	0.114
ˈuː	ˈøː	0.073
ˈyː	ˈəi̯	0.34
ˈyː	ˈiː	0.283
ˈyː	ˈʌu̯	0.194
ˈyː	ˈuː	0.182
ˈæ	ˈɔɪ̯	0.67
ˈæ	ˈɛ	0.33
ˈæː	ˈa	0.375
ˈæː	ˈiː	0.295
ˈæː	ˈɛ	0.295
ˈøː	ˈi	0.462
ˈøː	ˈe	0.143
ˈøː	ˈeː	0.121
ˈøː	ˈɛ	0.086
ˈøː	ˈʌu̯	0.068
ˈøː	ˈiː	0.057
ˈœ	ˈɪ	0.314
ˈœ	ˈi	0.259
ˈœ	ˈo	0.221
ˈœ	ˈiː	0.145
ˈœ	ˈəi̯	0.061
ˈœː	ˈiː	0.59
ˈœː	ˈo	0.41
ˈɑː	ˈeː	0.607
ˈɑː	ˈe	0.201
ˈɑː	ˈaː	0.081
ˈɑː	ˈa	0.063
ˈɔ	ˈʌ	0.308
ˈɔ	r	0.176
ˈɔ	ˈo	0.172
ˈɔ	ˈɪ	0.12
ˈɔ	ˈoː	0.108
ˈɔ	ˈʌu̯	0.055
ˈɛ	ˈɛ	0.246
ˈɛ	-	0.216
ˈɛ	ˈi	0.172
ˈɛ	ˈe	0.122
ˈɛ	ˈɪ	0.1
ˈɛː	ˈiː	0.287
ˈɛː	ˈɛ	0.197
ˈɛː	ˈe	0.167
ˈɛː	ˈoː	0.151
ˈɛː	ˈəi̯	0.099
ˈɛː	ˈa	0.067
ˈɪ	ˈɪ	0.775
ˈɪ	ˈu	0.082
ˈɪ	ˈi	0.082
ˈɵ	ˈʌ	0.312
ˈɵ	ˈu	0.31
ˈɵ	ˈɪ	0.183
ˈɵ	ˈi	0.091
ˈɵ	-	0.068
ˈʉː	ˈi	0.262
ˈʉː	ˈu	0.203
ˈʉː	-	0.189
ˈʉː	ˈɪ	0.086
ˈʉː	ˈuː	0.055
ˈʉː	ˈo	0.055
ˈʊ	ˈʌ	0.658
ˈʊ	ˈø	0.235
ˈʊ	w	0.107
ˈʏ	ˈɪ	0.811
ˈʏ	ˈuː	0.189
