Middle High German	Mecklenburgisch-Vorpommersch	probability
ˈɛ_r	ˈaː	1.0
ˈɛ_h	ˈae̯	1.0
ˈɑ_r	ˈaː	1.0
ˈøy̯	-	1.0
ˈæː	ˈɛɪ̯	1.0
ˈyə̯	ˈɔʏ̯	1.0
ˈuə̯	ˈaʊ̯	1.0
ˈi_r	ˈiː	1.0
ˈeː	ˈeː	1.0
ʦː	t	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɡ_ə	ŋ	1.0
ɛ_h	ae̯	1.0
ə_t	p	1.0
ə_r	æ	1.0
ə_n	m	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
v	f	1.0
tː	ɾ	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ˈɛ	z	1.0
s_ə	z̥	1.0
rː	ˈɔʏ̯	1.0
r_ˈiː	r	1.0
r_ˈi	r_ˈɪ	1.0
r_ə	æ	1.0
p͡f	p	1.0
p	ʃ_p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
nː	n	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
fː	p	1.0
f_ə	p	1.0
f	p	1.0
d̥	d̥	1.0
b_ə	v̥	1.0
ə	-	0.944
n	n	0.914
d	d	0.891
ˈuː	ˈuː	0.882
ˈiː	ˈiː	0.867
b̥	v̥	0.812
b	b	0.806
t_ə	ɾ	0.798
ˈi	ˈɪ	0.797
ˈei̯	ˈae̯	0.797
ˈou̯	ˈaʊ̯	0.773
h	h	0.74
w	v	0.73
s	z	0.711
ˈɑː	ˈɒː	0.687
n_ə	n	0.668
ʦ	tʰ	0.644
ˈoː	ˈaʊ̯	0.63
k	kʰ	0.625
ɡ̊	ç	0.617
ˈɑ	ˈa	0.604
r	æ	0.598
ɡ	ɡ	0.584
kː	k	0.545
ˈiə̯	ˈae̯	0.542
ˈe	-	0.54
ˈu	ˈʊ	0.509
ˈyː	ˈyː	0.501
t	t	0.486
ˈe	ˈɛ	0.46
ˈy	ˈʏ	0.459
kː	ç	0.455
ˈɛ	-	0.45
x	k	0.432
t	d̥	0.406
r	r	0.377
k	k	0.375
ˈoː	-	0.37
ʦ	t	0.356
ˈo	ˈuː	0.344
ˈyː	-	0.338
ˈiə̯	ˈiː	0.337
ˈɛ	ˈɛ	0.336
n_ə	n_ɪ	0.332
ˈɑː	ˈoː	0.313
ˈo	ˈɔ	0.306
ˈo	ˈʊ	0.26
h	-	0.26
x	ç	0.234
ˈou̯	-	0.227
s	s	0.223
ˈu	-	0.222
ˈy	ˈœː	0.217
ˈy	-	0.217
ɡ	j	0.215
x	x	0.215
ˈɛ	ˈɛː	0.214
ˈei̯	ˈɪ	0.203
t_ə	t	0.202
ɡ	-	0.201
ɡ̊	-	0.194
b̥	-	0.188
ˈyː	ɣ	0.161
ˈɑ	ˈɒː	0.151
ˈu	ˈœː	0.146
w	-	0.142
ˈiː	ˈɪ	0.133
ɡ̊	ɣ̊	0.129
w	w	0.128
b	-	0.128
ˈi	-	0.127
ˈu	ˈɔ	0.123
ˈiə̯	-	0.121
ˈuː	-	0.118
x	s	0.118
d	-	0.109
ˈy	ˈøː	0.106
ˈɑ	-	0.093
ˈo	-	0.089
n	-	0.086
ˈi	ˈɛ	0.077
t	d	0.066
s	-	0.066
b	ˈɔ	0.066
ɡ̊	ɡ̊	0.06
