Québécois French	Campidanese	probability
ʦ	-	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈu	1.0
ʁ_æɛ̯	ɾ_ˈa	1.0
ɲ	n_ʤ	1.0
ɪ	ˈi	1.0
ɛ_l	l_u	1.0
ɑ	ˈa	1.0
œ̃ʏ̯̃	ˈu_n	1.0
z	ʒ	1.0
s_ɛ	s_ˈi	1.0
s_w	s_ˈɛ	1.0
p	p	1.0
o	s	1.0
m	m	1.0
k_l	k_ɾ	1.0
i_ʁ	i	1.0
b	b	1.0
aœ̯	ˈɔ	1.0
a_l	a_l	1.0
f	f	0.959
k	k	0.89
y	ˈu	0.842
ʒ	ʤ	0.733
ɡ	ɡ	0.695
t	t	0.685
ɛ_ʁ	ɾ_i	0.6
n	n_a	0.591
ɥ	ˈɔ	0.582
v	b	0.577
oʊ̯	ˈa	0.548
a	a	0.546
s	s	0.538
œ_f	ˈɔ_i	0.5
œ_f	ˈo_u	0.5
d	d	0.492
l	l	0.457
a	ˈa	0.454
ʃ	k	0.451
ʁ	ɾ	0.45
ɔ	ˈɔ	0.428
i	ˈi	0.427
ʃ	k_a	0.424
æɛ̯	ˈa	0.42
ɥ	-	0.418
ã	ˈɛ_n	0.411
œ	-	0.409
ẽɪ̯̃	ˈa_n	0.409
e	ˈa_i	0.404
ɛ_ʁ	i	0.4
ɑɔ̯	o	0.398
w	ˈi	0.381
øʏ̯	ˈo_ɣ	0.374
ɑɔ̯	ˈɔ	0.361
øʏ̯	u_z	0.351
d	ʤ	0.345
œ	ɛ	0.334
j	ˈɛ	0.321
ɔ	ˈo	0.316
ɒ̃ʊ̯̃	ˈo_n	0.309
j	ɭː	0.309
ɡ	-	0.305
v	-	0.303
ɛ	ɾ	0.293
u	ˈu	0.285
øʏ̯	u	0.275
n	n	0.27
s	ʧ	0.267
ẽɪ̯̃	n	0.265
ã	n	0.263
ɒ̃ʊ̯̃	ˈɔ_n	0.259
œ	ˈɔ_β	0.258
ɔ	ɔ	0.256
ẽɪ̯̃	ˈi_n	0.25
ɛ	i	0.244
æɛ̯	ˈɛ	0.244
ɑɔ̯	ˈo	0.241
l	ɖː	0.238
oʊ̯	ˈɛ_ɖː	0.226
oʊ̯	u	0.226
u	ˈo	0.219
ã	nː	0.195
l	ɾ	0.191
æɛ̯	-	0.19
w	ˈɛ	0.19
ʁ	ɾ_i	0.188
e	s	0.186
ɒ̃ʊ̯̃	-	0.183
ʒ	-	0.181
e	ˈa_ð	0.176
e	i	0.174
i	ˈɛ	0.173
d	s	0.163
j	-	0.16
y	ˈu_i	0.158
t	s_t	0.158
t	t_ɛ	0.157
w	ˈu	0.143
w	i	0.143
w	-	0.143
i	t_u	0.143
n	-	0.139
u	ˈɔ	0.137
ɛ	ð	0.133
u	u	0.132
ã	-	0.131
ɒ̃ʊ̯̃	ˈo	0.126
ʃ	-	0.125
ɒ̃ʊ̯̃	n	0.123
ʁ	i	0.122
v	ɛ	0.12
j	i	0.11
æɛ̯	a	0.105
j	ˈe	0.1
ʁ	r	0.094
i	j	0.089
i	i	0.089
s	ʒ	0.088
ʒ	β_j	0.086
ɛ	ˈɛ	0.086
ɛ	ˈi	0.083
u	ɔ	0.082
i	u	0.078
ʁ	-	0.076
ẽɪ̯̃	ŋ	0.076
u	ˈɔ_z	0.073
u	ˈu_ɣ	0.073
s	a	0.068
k	-	0.064
e	-	0.06
l	ɭː	0.057
l	s	0.057
ɛ	ʒ_i	0.054
ɛ	ð_u	0.054
ɛ	a	0.054
