English	English	probability
θ	θ	1.0
ˈəʊ̯_ɫ	ˈɑ_l	1.0
ˈiː_t	ˈɔː_t	1.0
ˈe_n	ɑi̯	1.0
ˈaɪ̯_d	ˈiː_ð	1.0
ʧ	k	1.0
ʤ	ɣ_j	1.0
ʃ	s_k	1.0
ɡ	ɡ	1.0
ɜː	r_ˈi	1.0
əʊ̯	ɣ	1.0
ə_n	n	1.0
ə_#>	r_#>	1.0
z	s	1.0
pʰ	p	1.0
p	p	1.0
kʰ	k	1.0
k_s	x_s	1.0
j	ɣ	1.0
h	x	1.0
b	b	1.0
<#_ˈɐ	<#_ˈu	1.0
<#_ɹ	<#_r	1.0
<#_ɡ	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_k	1.0
m	m	0.963
s	s	0.939
w	w	0.871
ɹ	r	0.84
ˈæ	ˈɑ	0.833
f	ɸ	0.818
n	n	0.8
l	l	0.75
t	t	0.702
v	β	0.7
ˈaʊ̯	ˈuː	0.692
ˈəʊ̯	ˈɑi̯	0.688
ð	θ	0.667
ɫ	l	0.65
k	k	0.643
ˈeɪ̯	ˈɑ	0.615
ˈɜː	ˈu_r	0.6
ˈɒ	ˈu	0.571
ŋ	ŋ	0.545
ˈʊ	ˈɔː	0.5
ˈʊ	ˈu	0.5
ˈɛ	ˈɑ_s	0.5
ˈɛ	ˈe	0.5
ɪ	ɑ_ɣ	0.5
ɪ	iː	0.5
ˈɑː	ˈɑ	0.462
ˈuː	-	0.455
ˈɐ	ˈu	0.45
ˈɔː	ˈu_r	0.429
ˈɒ	ˈɑ	0.429
d	ð	0.412
d	d	0.412
ˈɜː	r	0.4
ˈuː	ˈɔː	0.364
ŋ	ɡ	0.364
#>	ɑ_z_#>	0.359
ˈɪ	ˈi	0.342
ð	ð_ɛː	0.333
ˈaʊ̯	ˈu	0.308
v	ɸ	0.3
ˈe	ˈɑ	0.296
ˈaɪ̯	ˈiː	0.25
ə	r_ɑ̃	0.238
ˈɑː	ˈɑ_r	0.231
ˈeɪ̯	ˈɑ_ɣ	0.231
ˈiː	ˈɑu̯	0.226
ˈe	ˈɑu̯	0.222
ˈe	ˈe	0.222
ˈaɪ̯	ˈi	0.214
k	k_s	0.214
#>	ɑ̃_#>	0.203
ə	r_ɑ	0.19
ˈəʊ̯	ˈu	0.188
#>	z_#>	0.188
ˈe	-	0.185
ˈɪ	ˈu	0.184
ˈuː	ˈɑ_n	0.182
f	β	0.182
ˈæ	-	0.167
ˈɑː	ˈɑ_l	0.154
ˈɑː	ˈe_r	0.154
ˈeɪ̯	ˈe_ɣ	0.154
ˈɐ	ˈɔː	0.15
ˈɐ	ˈuː	0.15
ˈɐ	-	0.15
ɫ	lː	0.15
l	ɑ_l	0.15
ˈɔː	ˈɑ_r	0.143
ˈɔː	ˈɑ	0.143
ˈɔː	ˈu	0.143
ˈɔː	ˈe_r	0.143
ˈaɪ̯	ˈe	0.143
ə	ɛː	0.143
ə	e_r	0.143
k	k_i	0.143
ˈɪ	ˈe	0.132
ˈiː	ˈɛː	0.129
ˈiː	ˈɔː	0.129
ˈiː	ˈeu̯	0.129
w	xʷ	0.129
t	x_t	0.128
t	t_s	0.128
ˈəʊ̯	ˈɑi̯_w	0.125
#>	ɑ_n_ɑ̃_#>	0.115
n	nː	0.111
ˈaɪ̯	ˈɑu̯_ɣ	0.107
ˈaɪ̯	ˈeu̯_ɣ	0.107
ˈɪ	-	0.105
ˈɐ	ˈu_ŋ	0.1
ɫ	l_ɔː	0.1
ɫ	l_u	0.1
l	x_l	0.1
ə	r_ɔː	0.095
ə	r_u	0.095
ə	r_i	0.095
ŋ	ɡʷ	0.091
n	u_n	0.089
ɹ	x_r	0.08
ɹ	r_ˈi	0.08
ˈɪ	ˈi_ŋ	0.079
ˈɪ	ˈeu̯	0.079
ˈe	ˈɑi̯	0.074
ˈaɪ̯	ˈɑ_x	0.071
ˈaɪ̯	-	0.071
#>	j_ɑ_n_ɑ̃_#>	0.068
ˈiː	ˈɑː	0.065
ˈiː	ˈiː_z	0.065
ˈiː	ˈi_j	0.065
ˈiː	ˈi	0.065
ˈiː	ˈe_w	0.065
ˈiː	ˈe	0.065
d	θ_ɑ̃	0.059
d	θ_i	0.059
d	θ	0.059
ˈɪ	ˈiu̯	0.053
