Latin	Asturian	probability
ae̯	e	1.0
au̯	o	1.0
aː	a	1.0
f	f	1.0
kː	k	1.0
lʲ	-	1.0
nː	ɲ	1.0
o	o	1.0
rː	r	1.0
tː	t	1.0
u	-	1.0
uː	u	1.0
ɛ̃	e	1.0
ɡʷ	ɡ	1.0
ˈau̯	ˈo	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈo	ˈe	1.0
ˈu	ˈo	1.0
ˈuː	ˈu	1.0
b	β	0.371
e	-	0.421
iː	i	0.521
k	θ	0.131
k	k	0.321
m	-	0.061
oː	o	0.451
ʊ	ˈe	0.261
a	a	0.862
b	-	0.142
d	ð	0.082
iː	-	0.392
j	-	0.132
l	-	0.102
n	ɲ	0.082
n	n	0.732
w	-	0.092
ɛ̃ː	e	0.912
ʊ	u	0.552
ˈaː	ˈe	0.072
eː	j	0.143
k	ɣ	0.163
t	-	0.163
w	b	0.573
ɛ	-	0.093
ɡ	ʃ	0.343
eː	e	0.294
eː	<#_ɡ	0.564
i	-	0.744
kʷ	k	0.694
oː	e	0.414
p	-	0.054
t	ð	0.344
ŋ	ŋ	0.854
ɔ	-	0.104
ˈiː	ˈi	0.854
ˈoː	ˈo	0.834
ˈʊ	ˈu	0.294
ãː	-	0.065
lʲː	ʎ	0.485
r	-	0.085
s	e_s	0.105
sː	s	0.375
sː	ʃ	0.625
w	β	0.335
ɪ	e	0.425
ɫ	l	0.485
ʊ̃ː	u	0.995
ˈa	ˈa	0.875
ˈɔ	ˈo	0.375
ˈɔ	w_ˈe	0.455
ˈɪ	ˈi	0.075
b	b	0.486
d	d	0.46
e	e	0.46
i	j	0.256
kʷ	-	0.306
lʲː	ˈe_ʎ	0.226
n	-	0.186
t	t	0.476
ŋ	-	0.146
ɔ	o	0.896
ɪ	i	0.06
ɫ	ʎ	0.386
ˈiː	ˈe	0.146
ˈoː	o	0.166
ˈɛ	j	0.196
ˈɪ	e	0.06
ˈɪ	ˈe	0.866
ˈʊ	ˈo	0.706
a	-	0.087
iː	o	0.087
k	-	0.337
l	l	0.07
oː	-	0.067
s	s	0.777
ɪ	-	0.457
e	a	0.118
j	ʃ	0.868
l	ʎ	0.828
oː	ˈo	0.068
p	β	0.218
p	p	0.728
r	ɾ	0.808
s	-	0.118
ɡ	ɡ	0.258
ɪ	ˈe	0.058
ɫ	-	0.128
ʊ	-	0.188
ˈaː	ˈa	0.928
ˈɔ	w	0.138
ãː	a	0.9
d	-	0.439
lʲː	l	0.289
m	m	0.939
r	r	0.079
ɛ	e	0.339
ɛ	ˈe	0.569
ɡ	-	0.399
ˈa	a	0.079
ˈɛ	ˈe	0.279
ˈɛ	j_ˈe	0.489
