Swiss German	Icelandic	probability
b̥	b̥	0.676
b̥	v	0.127
b̥	-	0.087
b̥	v_ʏ	0.076
d̥	ð	0.364
d̥	θ	0.333
d̥	-	0.18
d̥	d̥	0.107
f	f	0.737
f	p	0.11
f	v_ʏ	0.082
fː	p	0.308
fː	ʰp	0.308
h	h	0.85
h	-	0.072
h	ç	0.063
i	ʏ	0.42
i	u	0.152
i	ŋ	0.152
i	ɑu̯	0.152
i	ɛː	0.102
j	ˈu	0.354
j	ˈɑːu̯	0.165
k	c	0.561
k	ʰk	0.122
k	k	0.066
l	l	0.615
l	l̥	0.187
l	t_l̥	0.138
m	m	0.616
m	m_ʏ	0.277
m	p	0.06
n	n	0.579
n	-	0.185
n	t_n̥	0.103
n	nː	0.085
n_d̥	nː	1.0
nː	nː	0.467
p	v	1.0
p͡f	p	0.102
p͡f	ʰp	0.102
r	r	0.533
r	r̥	0.34
r	-	0.052
r_ə	r̥	1.0
rː	ˈœ	0.467
s	s	0.781
s	t	0.133
sː	t	0.5
sː	t_ʏ	0.332
sː	sː	0.077
sː	ʰt	0.074
t	ð	0.359
t	d̥	0.288
t	t	0.213
t	θ	0.056
tː	ð	1.0
w	l̥	0.102
ŋ	ŋ	0.462
ŋ	n	0.245
ŋ	nː	0.13
ŋ	ɲ	0.13
ŋ_k	ʰk	0.467
ə	a	0.506
ə	-	0.19
ə	ɪ	0.106
ə	ʏ	0.103
ə	n̥	0.064
ɡ̊	ɡ̊	0.437
ɡ̊	-	0.234
ɡ̊	ɟ̊	0.157
ɡ̊	ɣ	0.058
ɡ̊	ɣ_ʏ	0.058
ɡ̊ː	ɡ̊ː	0.574
ɡ̊ː	ɟ̊ː	0.268
ʃ	s	0.652
ʃ	s_c	0.177
ʃ	s_k	0.134
ʃː	k	0.467
ʋ	v	0.481
ʋ	-	0.314
ʋ	ˈu	0.122
ʋ	kʰ	0.067
ʦ	tʰ	0.532
ʦ	t	0.246
ʦ	d̥	0.099
ʦ	ɣ	0.099
ˈa	ˈa	0.631
ˈa	ˈɑu̯	0.104
ˈa	ˈaːi̯	0.096
ˈau̯	ˈœːy̯	1.0
ˈe	ˈɛ	0.639
ˈe	u	0.179
