French	French	probability
ɲ	ɲ	1.0
ɡ	ɡ	1.0
w_a	ˈɛ	1.0
p	p	1.0
n	n	1.0
m_#>	m_a_#>	1.0
k_l	c	1.0
j_ɛ	ˈe	1.0
i_ʁ	e	1.0
e_#>	ˈa_#>	1.0
a_ʁ	d	1.0
<#_ʁ	<#_r	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.962
b	b	0.944
f	f	0.889
ʒ	ɟ	0.857
y	ˈu	0.846
ʁ	r	0.817
k	k	0.81
d	d	0.8
v	v	0.793
ɔ	ˈɔ	0.737
<#_e	<#_s	0.714
ʃ	k	0.682
œ	ˈɔ	0.667
ɥ	ˈo	0.6
i	ˈi	0.581
s	s	0.575
ə	-	0.571
<#_a	<#_a	0.571
ø	u	0.556
e	ˈa	0.545
z	ʧ	0.5
z	-	0.5
a_#>	e_#>	0.5
a_#>	#>	0.5
t	t	0.474
ɑ̃	ˈɛ_n	0.467
j	-	0.462
w	ˈɛ	0.435
ə	a	0.429
<#_a	<#_ˈa	0.429
#>	u_#>	0.429
a	a	0.419
l	l	0.412
u	ˈɔ	0.409
ɥ	ˈu	0.4
ɛ	ˈa	0.372
ɛ̃	ˈa_n	0.35
ɔ̃	ˈɔ_n	0.333
ɔ̃	ˈo_n	0.333
ɑ̃	n	0.333
œ	ˈo	0.333
t	s_t	0.316
ɛ	ˈɛ	0.302
o	ˈa_l	0.294
<#_e	<#	0.286
#>	a_#>	0.28
#>	e_#>	0.275
e	e	0.273
a	ˈa	0.258
ɛ̃	ˈi_n	0.25
s	ʧ	0.25
o	ˈɔ	0.235
j	ʎ	0.231
ø	ˈɔ_k	0.222
ø	ˈɔ_d	0.222
t	tː	0.211
l	j	0.206
ɛ̃	ɲ_u	0.2
ɑ̃	ˈa_ŋ	0.2
d	-	0.2
e	ˈa_z	0.182
o	ˈɛ_lː	0.176
o	ˈe_lː	0.176
ɔ̃	u_n	0.167
ɔ̃	-	0.167
ɛ	ˈe	0.163
i	ˈe	0.161
ɔ	ˈo	0.158
y	-	0.154
j	ʎ_a	0.154
j	c_u	0.154
l	lː_a	0.147
ʒ	-	0.143
v	p	0.138
ʃ	kː	0.136
u	ˈo	0.136
w	ˈɔ_ʧ	0.13
o	u	0.118
l	lː	0.118
ɔ	u	0.105
ɛ̃	ŋ	0.1
ɛ̃	t_u	0.1
i	tː_u	0.097
i	i	0.097
k	u	0.095
k	k_w	0.095
ʃ	s_k	0.091
ʃ	k_a	0.091
u	ˈɔ_l	0.091
u	ˈɔ_j	0.091
u	ˈɔ_c	0.091
u	ˈu_tː	0.091
u	u	0.091
w	ˈu_n	0.087
w	ˈu	0.087
w	ˈe	0.087
w	i	0.087
w	-	0.087
s	ʧː	0.075
f	v_u	0.074
ɛ	e	0.07
v	-	0.069
i	-	0.065
a	ˈɛ	0.065
a	w_ˈa	0.065
a	lː	0.065
a	k_a	0.065
a	e	0.065
ʁ	-	0.061
l	u	0.059
l	j_ˈɛ	0.059
b	bː	0.056
