Danish	Dutch	probability
b̥	b	0.758
b̥	p	0.241
d̥	d	1.0
e	ɪ	0.394
e	ə	0.106
f	v	0.981
f	χ	0.045
h	ɦ	0.887
h	-	0.061
h	k	0.061
i	ə	1.0
j	-	0.299
j	k	0.223
j	χ	0.211
j	ɦ	0.097
j	ˈɛi̯	0.063
jˀ	χ_ə	1.0
k	χ	0.407
k	k	0.301
k	ŋ_k	0.262
k_s	s	1.0
kʰ	k	0.898
kʰ	v	0.099
l	ɫ	0.885
l	l	0.094
l	-	0.038
lˀ	ɫ	0.577
lˀ	ˈɑu̯	0.31
lˀ	ɾ	0.101
m	m	0.912
m	ɾ_m	0.051
m	n	0.051
mˀ	m	0.683
mˀ	f	0.234
n	n	0.772
n	-	0.147
n	n_d	0.061
nˀ	n_t	0.55
nˀ	n	0.321
nˀ	ɾ	0.07
nˀ	ɫ	0.068
p	p	0.27
pʰ	p	0.519
s	s	0.504
s	z	0.416
s_k	s	1.0
t	t	0.644
t	χ_t	0.276
t	-	0.074
v	ʋ	0.275
v	f	0.275
v	v	0.164
w	ə	0.257
w	v_ə	0.242
w	χ	0.206
w	f	0.179
w	-	0.088
wˀ	m	0.574
wˀ	ə	0.298
ð̞ˠ	t	0.884
ð̞ˠ	-	0.08
ð̞ˠ	p	0.038
ŋ	ŋ	0.922
ŋ	n	0.071
ŋˀ	ŋ	1.0
ɐ	ɾ	0.895
ɐ	-	0.055
ɐ	ə	0.048
ɐˀ	ɾ	0.73
ɐˀ	ɾ_t	0.251
ə	-	0.546
ə	ə	0.45
ɡ̊	χ	0.913
ɡ̊	-	0.087
ʁ	ɾ	0.871
ʁ	-	0.128
ʋ	ʋ	0.882
ʋ	f	0.081
ʋ	-	0.053
ʦʰ	d	0.697
ʦʰ	t	0.248
ʦʰ	t_ʋ	0.062
ʨ	d	1.0
ˈa	ˈɑ	0.721
ˈa	ˈaː	0.142
ˈa	ˈɛ	0.112
ˈaː	ˈaː	0.519
ˈe	ˈɪ	0.619
ˈe	ˈɛ	0.229
ˈe	ə	0.09
ˈe	ˈeː	0.066
ˈeˀ	ˈeː	0.426
ˈeˀ	ˈɛi̯	0.267
ˈeˀ	w	0.105
ˈeˀ	ˈɛ	0.105
ˈeˀ	ˈi	0.084
ˈeː	ˈi	0.394
ˈeː	ˈɑ	0.204
ˈi	ˈɛi̯	0.275
ˈi	ˈyː	0.275
ˈi	ˈɛ	0.164
ˈiˀ	ˈɛi̯	0.645
ˈiˀ	ˈɪ	0.289
ˈiː	ˈɛi̯	0.474
ˈiː	ˈeː	0.219
ˈiː	ˈi	0.15
ˈiː	ˈɛ	0.107
ˈo	ˈoː	0.386
ˈo	ˈu	0.286
ˈo	ʋ	0.286
ˈoˀ	ˈu	0.761
ˈoˀ	ˈaː	0.148
ˈoˀ	ˈeː	0.084
ˈoː	ˈoː	0.334
ˈoː	ˈɔ	0.151
ˈoː	ˈɑu̯	0.151
ˈoː	ˈu	0.151
ˈoː	ˈɑ	0.104
ˈu	ˈɔ	0.412
ˈu	ʋ_ˈɔ	0.305
ˈu	-	0.153
ˈu	ˈʏ	0.113
ˈuˀ	ˈœy̯	0.699
ˈuˀ	ˈi	0.099
ˈuˀ	ˈeː	0.097
ˈuˀ	ˈoː	0.094
ˈuː	ˈœy̯	0.343
ˈuː	ˈi	0.178
ˈy	ˈœy̯	0.561
ˈy	ˈʏ	0.275
ˈy	ˈɪ	0.058
ˈyˀ	ˈi	0.533
ˈyˀ	ˈeː	0.135
ˈyˀ	ˈɪ	0.135
ˈyˀ	ˈyː	0.105
ˈyː	ˈi	1.0
ˈæ	ˈɛ	1.0
ˈæˀ	ˈɑ	0.519
ˈø	ˈʏ	0.66
ˈø	ˈɪ	0.178
ˈøː	ˈoː	1.0
ˈœ	ˈoː	0.316
ˈœ	ˈɔ	0.248
ˈœ	ˈɛ	0.144
ˈœ	ˈu	0.124
ˈœ	ˈʏ	0.122
ˈœˀ	ˈoː	0.63
ˈœˀ	ˈu	0.186
ˈœˀ	-	0.096
ˈœˀ	ˈɔ	0.076
ˈœː	ˈɛ	1.0
ˈɑ	ˈɑ	0.461
ˈɑ	-	0.137
ˈɑ	ˈɪ	0.137
ˈɑ	ˈaː	0.108
ˈɑ	ˈeː	0.076
ˈɑˀ	ˈɑ_ɾ	0.723
ˈɑˀ	ˈɛ	0.216
ˈɑː	ˈaː	1.0
ˈɒ	ˈoː	0.519
ˈɒˀ	ˈaː	0.27
ˈɒː	ˈaː	0.298
ˈɒː	ˈɔ	0.298
ˈɔ	ˈɔ	0.548
ˈɔ	j	0.204
ˈɔ	ˈœy̯	0.132
ˈɔˀ	ˈaː	0.564
ˈɔˀ	ˈoː	0.135
ˈɔˀ	ˈɔ	0.125
ˈɔˀ	ˈɑ	0.125
ˈɔː	ˈaː	0.519
ˈɛ	ˈɑ	0.416
ˈɛ	ˈɛ	0.19
ˈɛ	ˈɛi̯	0.107
ˈɛ	ˈaː	0.081
ˈɛ	-	0.069
ˈɛˀ	ˈeː	0.422
ˈɛˀ	ˈi	0.422
ˈɛˀ	ˈɑ	0.107
ˈɛː	ˈeː	0.361
ˈɛː	ˈøː	0.361
ˈɛː	ˈɛ	0.216
ˈʌ	ˈoː	0.422
ˈʌ	ˈu	0.165
ˈʌ	ˈaː	0.113
ˈʌ	ˈɔ	0.113
ˈʌ	-	0.091
ˈʌˀ	ˈoː	1.0
