Danish	Dutch	probability
b̥	b	0.783
b̥	p	0.217
d̥	d	1.0
e	ə	0.658
e	ɪ	0.342
f	v	1.0
h	ɦ	0.939
i	ə	1.0
j	-	0.278
j	ɦ	0.233
j	χ	0.206
j	k	0.183
jˀ	χ_ə	1.0
k	χ	0.452
k	k	0.312
k	-	0.118
k	ŋ_k	0.117
kʰ	k	0.852
kʰ	d	0.088
kʰ	v	0.06
l	ɫ	0.961
lˀ	ɫ	0.706
lˀ	ɾ	0.154
lˀ	t	0.091
m	m	0.932
mˀ	f	0.501
mˀ	m	0.499
n	n	0.816
n	n_d	0.095
nˀ	n	0.738
nˀ	n_d	0.142
nˀ	ɾ	0.097
p	p	1.0
pʰ	p	1.0
s	s	0.515
s	z	0.438
t	t	0.621
t	χ_t	0.34
w	ə	0.345
w	v_ə	0.29
w	f	0.213
w	χ	0.102
w	-	0.051
wˀ	m	0.715
wˀ	ə	0.285
ð̞ˠ	t	0.864
ð̞ˠ	-	0.124
ŋ	ŋ	0.851
ŋ	n	0.149
ŋˀ	ŋ	1.0
ɐ	ɾ	0.657
ɐ	ə_ɾ	0.176
ɐ	-	0.081
ɐ	ɾ_ə	0.06
ɐˀ	ɾ	1.0
ə	ə	0.873
ə	-	0.085
ɡ̊	χ	0.933
ɡ̊	-	0.067
ʁ	ɾ	0.911
ʁ	-	0.054
ʋ	ʋ	0.849
ʋ	f	0.094
ʦʰ	d	0.68
ʦʰ	t	0.26
ʨ	d	1.0
ˈa	ˈɑ	0.79
ˈa	ˈaː	0.152
ˈa	ˈɛ	0.058
ˈaː	ˈaː	1.0
ˈe	ˈɪ	0.641
ˈe	ˈɛ	0.166
ˈe	ˈɑ	0.094
ˈe	-	0.07
ˈeˀ	ˈeː	0.453
ˈeˀ	ˈɛi̯	0.269
ˈeˀ	ˈi	0.156
ˈeː	ˈi	0.646
ˈeː	ˈɑ	0.354
ˈi	ˈyː	0.332
ˈi	ˈɛi̯	0.332
ˈi	j	0.168
ˈi	ˈɛ	0.168
ˈiˀ	ˈɛi̯	0.661
ˈiˀ	ˈi	0.146
ˈiˀ	ˈɪ	0.145
ˈiː	ˈɛi̯	0.507
ˈiː	ˈɛ	0.243
ˈiː	ˈeː	0.158
ˈiː	ˈi	0.092
ˈo	ˈoː	0.455
ˈo	ʋ	0.301
ˈo	ˈu	0.244
ˈoˀ	ˈu	0.713
ˈoˀ	ˈaː	0.11
ˈoˀ	ˈoː	0.108
ˈoˀ	ˈeː	0.069
ˈoː	ˈoː	0.309
ˈoː	ˈu	0.272
ˈoː	ˈɑ	0.198
ˈoː	ˈɑu̯	0.128
ˈoː	ˈɔ	0.092
ˈu	ˈɔ	0.814
ˈu	ˈʏ	0.146
ˈuˀ	ˈœy̯	0.583
ˈuˀ	ˈi	0.142
ˈuˀ	ˈyː	0.094
ˈuˀ	ˈoː	0.092
ˈuˀ	ˈeː	0.089
ˈuː	ˈœy̯	0.818
ˈuː	ʋ	0.145
ˈy	ˈœy̯	0.556
ˈy	ˈʏ	0.32
ˈy	ˈɪ	0.124
ˈyˀ	ˈi	0.535
ˈyˀ	ˈɪ	0.172
ˈyˀ	w	0.108
ˈyˀ	ˈeː	0.106
ˈyˀ	ˈyː	0.078
ˈyː	ˈi	1.0
ˈæ	ˈɛ	1.0
ˈæˀ	ˈɑ	1.0
ˈæː	ˈaː	1.0
ˈø	ˈɪ	0.5
ˈø	ˈʏ	0.5
ˈøː	ˈoː	0.659
ˈøː	ˈu	0.341
ˈœ	ˈoː	0.378
ˈœ	ˈʏ	0.285
ˈœ	ˈɛ	0.147
ˈœ	ˈu	0.084
ˈœ	ˈɔ	0.054
ˈœ	-	0.052
ˈœˀ	ˈoː	0.664
ˈœˀ	ˈu	0.259
ˈœˀ	-	0.061
ˈœː	ˈɛ	1.0
ˈɑ	ˈɑ	0.402
ˈɑ	ˈɪ	0.194
ˈɑ	-	0.135
ˈɑ	ˈaː	0.101
ˈɑ	ˈeː	0.101
ˈɑ	ˈi	0.066
ˈɑˀ	ˈɑ_ɾ	0.598
ˈɑˀ	ˈaː	0.205
ˈɑˀ	ˈɛ	0.197
ˈɑː	ˈaː	1.0
ˈɒ	ˈoː	1.0
ˈɒˀ	ˈaː	1.0
ˈɒː	ˈɔ	0.658
ˈɒː	ˈaː	0.342
ˈɔ	ˈɔ	0.874
ˈɔ	ˈœy̯	0.126
ˈɔˀ	ˈaː	0.631
ˈɔˀ	ˈɔ	0.127
ˈɔˀ	ˈeː	0.089
ˈɔˀ	ˈoː	0.076
ˈɔˀ	ˈɑ	0.076
ˈɔː	ˈaː	1.0
ˈɛ	ˈɛ	0.339
ˈɛ	ˈɑ	0.331
ˈɛ	ˈɛi̯	0.175
ˈɛˀ	ˈi	0.573
ˈɛˀ	ˈeː	0.197
ˈɛˀ	ˈɑ	0.136
ˈɛˀ	ˈyː	0.093
ˈɛː	ˈɛ	0.48
ˈɛː	ˈeː	0.377
ˈɛː	ˈøː	0.143
ˈʌ	ˈoː	0.551
ˈʌ	ˈu	0.173
ˈʌ	ˈɪ	0.131
ˈʌˀ	ˈoː	1.0
