Eastphalian	Swabian	probability
h	h	1.0
l	l	1.0
w	ʋ	1.0
ɒː	eə̯	1.0
ɡ	ɡ	1.0
ˈaɪ̯	ˈɔe̯	1.0
ˈyː	ˈəi̯	1.0
ˈɛə̯	ˈa	1.0
n	n	0.511
s	ʃ	0.751
z	s	0.921
ç	x	0.101
ˈoː	ˈae̯	0.141
ˈoː	ˈi	0.331
ˈuː	ˈao̯	0.861
ˈøː	ˈeː	0.381
ˈɔʏ̯	ˈeə̯	0.191
ˈɛɪ̯	ˈiː	0.051
ˈɛɪ̯	ˈae̯	0.091
ˈɛː	ˈɛ	0.231
ˈɪ	ˈi	0.191
ˈʏ	ˈae̯	0.401
j	j	0.162
m	a	0.12
p	b	0.072
x	ʕ	0.072
ç	ɡ	0.592
ŋ	ŋ	0.802
ə	-	0.262
ɪ	-	0.272
ˈa	ˈaː	0.072
ˈa	ˈa	0.742
ˈaʊ̯	ˈuː	0.112
ˈaː	ˈa	0.212
ˈeː	ˈo	0.112
ˈeː	ˈeː	0.112
ˈiː	ˈɛ	0.062
ˈiː	ˈi	0.082
ˈuː	ˈoː	0.052
ˈøː	ˈae̯	0.202
ˈɒː	ˈo	0.12
ˈɒː	ˈɛː	0.12
ˈɔ	ˈoː	0.122
ˈɛ	ˈi	0.2
ˈɛɪ̯	ˈeː	0.062
ˈɛː	ˈɛː	0.122
ˈɛː	ˈaː	0.282
k	-	0.063
k	ɡ	0.253
m	m	0.83
p	f	0.743
ə	a	0.313
ʃ	s	0.053
ˈaʊ̯	ˈɔə̯	0.223
ˈeo̯	ˈao̯	0.243
ˈøː	ˈɔ	0.203
ˈœ	ˈu	0.13
ˈɒː	ˈa	0.223
ˈɒː	ˈɔː	0.343
ˈɔʏ̯	ˈuə̯	0.383
ˈʊ	ˈao̯	0.053
b	b	0.884
k	kʰ	0.404
n	-	0.094
p	b̥͡f	0.184
t	ʦ	0.224
t	d	0.34
ˈeː	ˈɛː	0.204
ˈøː	ˈiː	0.214
ˈɔ	ˈo	0.14
ˈɔ	ˈɔ	0.14
ˈɛ	ˈeə̯	0.084
ˈɛɪ̯	ˈɔe̯	0.4
ˈɪ	ˈɪ	0.224
f	b	0.155
f	f	0.845
m	ʕ_m	0.05
n	a	0.395
t	s	0.385
ɣ	ɡ	0.965
ˈoː	ˈo	0.075
ˈɔ	ˈa	0.255
ˈɪ	ˈa	0.055
ˈɪ	ˈeː	0.055
ˈʏ	ˈɪ	0.095
ɐ	ˈi	0.056
ɐ	ʌ	0.476
ˈœ	ˈɛ	0.076
ˈɔ	ˈu	0.296
ˈɛ	ˈa	0.06
ˈʊ	ˈu	0.116
ˈʏ	ˈo	0.206
b	-	0.07
k	x	0.057
k	ç	0.217
r	ʁ	0.97
ç	ç	0.307
ə	ʌ	0.057
ʃ	ʃ	0.947
ˈaʊ̯	ˈaː	0.077
ˈeo̯	ˈoː	0.757
ˈiː	ˈae̯	0.227
ˈœ	ˈe	0.077
ˈœ	ˈo	0.717
ˈɒː	ˈoː	0.157
ˈɔʏ̯	ˈiə̯	0.247
ˈɛ	ˈɛ	0.47
ˈɛɪ̯	ˈeə̯	0.067
ˈɛː	ˈʌ	0.07
ˈɛː	ˈeː	0.247
ˈʏ	ˈəi̯	0.07
ˈʏ	ˈɛ	0.07
d	d	0.988
j	ɡ	0.838
v	b	0.178
v	ʋ	0.788
x	x	0.858
ŋ	ɡ	0.198
ə	e	0.368
ɪ	ɪ	0.728
ˈa	ˈɔː	0.058
ˈa	ˈɛ	0.128
ˈaː	ˈaː	0.788
ˈeː	ˈiː	0.128
ˈeː	ˈɛ	0.398
ˈoː	ˈoː	0.218
ˈɛɪ̯	ˈiə̯	0.258
ˈɪ	ˈe	0.348
ˈʊ	ˈo	0.8
ˈʏ	ˈu	0.158
s	s	0.249
x	ɡ	0.069
z	ʁ	0.079
ɐ	-	0.469
ˈaʊ̯	ˈuə̯	0.589
ˈiː	ˈəi̯	0.629
ˈoː	ˈɔ	0.219
ˈɔʏ̯	ˈiː	0.139
ˈɛ	ˈaː	0.139
