Yiddish	Middle High German	probability
ʧ	-	1.0
ɡ_ʀ	ɡ_r	1.0
ɛ	-	1.0
ə_ʀ	r_ə	1.0
ŋ	ŋ	1.0
z	s	1.0
t_ə	t_ə	1.0
s_t	s_t	1.0
n_ə	nː_ə	1.0
n_t	n_d̥	1.0
k_s	x_s	1.0
j	j	1.0
h	h	1.0
b	b	1.0
a	oː	1.0
ɫ	l	0.97
ˈɛɪ̯	ˈei̯	0.959
v	w	0.951
n	n	0.948
ʃ	ʃ	0.947
ˈa	ˈɑ	0.92
ʀ	r	0.909
t	t	0.909
m	m	0.876
ə	ə	0.858
ʦ	ʦ	0.789
ɡ	ɡ	0.762
ɪ	ə	0.75
d	d	0.729
f	v	0.672
ˈɪ	ˈi	0.651
χ	x	0.621
ˈɛ	ˈɛ	0.619
s	s̻	0.614
p	p͡f	0.611
ˈaɪ̯	ˈiː	0.588
ˈʊ	ˈu	0.559
p	p	0.389
s	s̻ː	0.386
ˈɔɪ̯	ˈuː	0.383
k	kʰ	0.383
χ	xː	0.379
ˈɔ	ˈo	0.351
k	kː	0.34
ˈaɪ̯	ˈyː	0.331
ˈɔ	ˈɑ	0.327
ˈɔɪ̯	ˈou̯	0.307
f	f	0.301
ˈʊ	ˈuə̯	0.285
ɪ	i	0.25
ˈɔɪ̯	ˈoː	0.244
ˈɔ	ˈɑː	0.242
d	d̥	0.226
ʦ	ʦː	0.211
ɡ	ɡ̊	0.191
k	k	0.155
ˈɪ	ˈiə̯	0.149
ˈɛ	ˈe	0.139
ˈɪ	ˈy	0.13
k	ɡ̊	0.122
ə	-	0.112
ˈɛ	-	0.091
ˈʊ	ˈo	0.09
ˈɛ	ˈy	0.087
m	-	0.085
ˈaɪ̯	-	0.081
ˈɔ	ˈu	0.08
ˈa	ˈɛ	0.08
ˈɪ	ˈyə̯	0.071
ˈʊ	-	0.067
ˈɔɪ̯	ˈo	0.066
ʃ	-	0.053
n	n_ə	0.052
ʀ	r_ə	0.05
