Alsatian	Alsatian	probability
ˈɔi̯	ˈaː	1.0
ˈɒː_ʁ	ˈɑː	1.0
ˈœ	ˈaː	1.0
ˈøː	-	1.0
ˈø	ˈoː_ɣ̊	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈau̯	1.0
ˈoː_ʁ_#>	ˈɑː_#>	1.0
ˈi_n	ˈɑ̃i̯	1.0
ˈeː_n	ˈɛ̃ː	1.0
ˈei̯	ˈai̯	1.0
ˈaː	ˈɑː	1.0
ˈai̯	ˈaː	1.0
ʁ_n	ɐ_n	1.0
ə_ʁ	æ̆	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	x	1.0
w	v	1.0
p͡f	-	1.0
p	p	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
h	h	1.0
eː	ɛː	1.0
e	-	1.0
d̥_ʁ	t_ʀ	1.0
d̥	d̥	1.0
n	n	0.943
ʋ	v	0.917
f	f	0.903
ə	ə	0.882
kʰ	kʰ	0.846
ʦ	ʦ	0.833
s	s	0.828
ˈi	ˈi	0.778
ˈɒː	ˈɑː	0.714
ʃ	ʃ	0.69
ˈəi̯	ˈaː	0.667
ˈo	ˈo	0.667
j	j	0.667
b̥	b̥	0.667
ɡ̊	ɡ̊	0.636
k	k	0.625
i	i_ʃ	0.6
ˈoː	ˈoː	0.583
ˈe	ˈe	0.583
ʁ	ʀ	0.564
ˈu	ˈu	0.55
ˈʊː	ˈuː	0.5
ˈæː	ˈɛː	0.5
ˈæː	-	0.5
ˈiː_n	ˈoĩ̯	0.5
ˈiː_n	ˈĩː	0.5
ˈiː	ˈiː	0.471
ˈɒ	ˈɑ	0.462
ˈɒ	ˈa	0.462
t	d̥	0.459
ˈeː	-	0.444
i	-	0.4
t	t	0.378
k	ɡ̊	0.375
ɡ̊	k	0.364
ˈʊː	ˈaː	0.333
ˈəi̯	ˈãː	0.333
ˈo	ˈɔ	0.333
ˈeː	ˈeː	0.333
j	-	0.333
b̥	p	0.333
ˈɒː	-	0.286
ʁ	ɐ	0.282
ˈoː	ˈɑː	0.25
ˈe	-	0.25
ˈiː	ˈoi̯	0.235
ˈeː	ˈæː	0.222
ˈu	ˈi	0.2
ˈiː	ˈai̯	0.176
s	z̥	0.172
ˈʊː	ˈu	0.167
ˈe	ˈɛ	0.167
ʦ	-	0.167
kʰ	kʰ_ˈeː	0.154
ˈu	ˈɔ	0.15
ˈi	-	0.148
ˈiː	-	0.118
t	-	0.108
ʃ	s	0.103
ʁ	æ̆	0.103
ˈu	ˈo	0.1
f	v̥	0.097
ə	-	0.088
ˈoː	ˈõː	0.083
ˈoː	oː	0.083
ʋ	ɣ̊	0.083
ˈɒ	ˈaː	0.077
ˈi	ˈai̯	0.074
ʃ	ʤ̥	0.069
ʃ	ʒ̊	0.069
ʃ	x	0.069
n	v_ə	0.057
t	d̥_ˈæ	0.054
ʁ	-	0.051
