Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ_l	ˈɔ_l	1.0
ˈʊ	ˈu	1.0
ˈɛɪ̯	ˈeː	1.0
ˈɔʏ̯_t	ˈiː_s	1.0
ˈɔʏ̯_n	ˈĩː	1.0
ˈœː_n	ˈõː	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː_æ	ɐ	1.0
ˈeː	ˈeː	1.0
ˈaɪ̯	ˈeː	1.0
ˈae̯_n	ˈẽː	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɪ	ɪ	1.0
ɣ	ˈɑ̃ɪ̯	1.0
ɡ̊	n_ɡ̊	1.0
ç_#>	#>	1.0
æ_n	r_ə	1.0
æ	ɐ	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	β	1.0
v̥	b̥	1.0
v	β	1.0
tʰ	ʣ̥	1.0
t_n	s_ə	1.0
r	r	1.0
pʰ	b̥	1.0
p_#>	f_#>	1.0
n_ˈɒː	n_ˈɑː	1.0
n_n	n_ə	1.0
n_#>	#>	1.0
l	l	1.0
kʰ	kʰ	1.0
k_n	ɡ̊_ə	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_ˈae̯	d̥_ˈiː	1.0
d_n	r_ə	1.0
d	d̥	1.0
ae̯	eː	1.0
#>	f_#>	1.0
b	b̥	0.9
ˈa	ˈɑ	0.88
n	n	0.769
ɡ	ɡ̊	0.75
ŋ	ŋ	0.714
m	m	0.71
ˈɪ	ˈɪ	0.69
ˈiː	ˈaɪ̯	0.688
ˈœː	-	0.667
j	ɡ̊	0.667
ˈʏ	ˈɪ	0.6
ˈɔ	ˈɔ	0.6
ˈoː	ˈoː	0.6
p	b̥	0.6
ˈuː	ˈau̯	0.588
ˈɛ	ˈɛ	0.583
ˈɛː	ˈɛ	0.571
ˈɒː	ˈoː	0.571
ç	ʃ	0.533
ˈɔʏ̯	ˈuː	0.5
ˈɔʏ̯	-	0.5
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
s	ʃ	0.5
k	ʃ	0.5
t	d̥	0.485
ˈɛː	-	0.429
ˈaː	ˈɛ_ɐ	0.429
ˈaʊ̯	ˈuː	0.429
ˈoː	-	0.4
p	f	0.4
ˈae̯	ˈɛː	0.381
k	x	0.357
ˈœː	ˈɛ	0.333
ˈae̯	ˈiː	0.333
ç	ɡ̊	0.333
j	j	0.333
t	s	0.303
ˈaː	ˈɑː_ɐ	0.286
ˈaː	ˈɑː	0.286
ˈɛ	ˈɛː	0.25
ɡ	x	0.25
s	ɡ̊_s	0.25
s	s	0.25
ˈaʊ̯	ˈɑː	0.238
ˈaʊ̯	ˈoː	0.238
n	ə	0.231
ˈɒː	ˈɑ	0.214
t	ʣ̥	0.212
ˈʏ	ˈaɪ̯	0.2
ˈʏ	-	0.2
ˈɔ	ˈɑ	0.2
ˈɔ	ˈu	0.2
ˈiː	ˈiː	0.188
ˈuː	ˈɔ	0.176
ˈuː	-	0.176
ˈɛ	ˈɪ	0.167
m	m_ə	0.161
ˈɒː	-	0.143
ˈae̯	ˈeː	0.143
ŋ	j_ə	0.143
ŋ	-	0.143
k	ɡ̊	0.143
ˈɪ	ˈaɪ̯	0.138
ç	ʃ_d̥	0.133
m	β_ə	0.129
ˈiː	ˈɛ	0.125
ˈa	ˈɑː	0.12
ˈɪ	-	0.103
b	-	0.1
ˈaʊ̯	ˈɑ	0.095
ˈae̯	-	0.095
ˈɒː	ˈo	0.071
ˈɪ	ˈiː	0.069
ˈuː	ˈau̯̯	0.059
