Québécois French	Ladin	probability
aœ̯	ˈo_w	1.0
f	f	1.0
k	k	1.0
o	ˈɔ_s	1.0
y	ˈu	1.0
z	ʒ	1.0
ɑ	ˈa	1.0
ɛɪ̯	ˈɛ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʊ	ˈo	1.0
ʏ	ˈu	1.0
ʣ	d	1.0
ã	ˈa	0.261
d	d_e	0.201
i	ˈi	0.311
j	j_a	0.121
oʊ̯	ˈa	0.081
s	-	0.1
æɛ̯	e	0.061
æɛ̯	ˈa	0.351
ɛ	j	0.231
t	t	0.632
w	ˈo	0.222
æɛ̯	-	0.092
œ	e	0.372
ɒ̃ʊ̯̃	ˈɔ	0.382
ʒ	-	0.272
a	a	0.623
e	-	0.283
e	ˈe	0.43
ẽɪ̯̃	ˈa_n	0.253
j	-	0.113
l	l_a	0.163
m	m	0.663
n	n	0.583
u	ˈo	0.173
u	ˈo_w	0.203
w	ˈe_j	0.143
ɛ	w	0.103
ʁ	r	0.803
s	ʨ	0.14
t	s_t	0.054
œ	ˈe	0.054
ɑɔ̯	o	0.164
ɛ	ˈɛ	0.194
ɥ	w	0.554
ʒ	ʒ	0.654
ã	n	0.075
b	-	0.05
ẽɪ̯̃	ɲ	0.175
i	j_ˈɛ	0.225
i	j	0.35
oʊ̯	ˈa_w	0.405
oʊ̯	ˈɛ_l	0.515
øʏ̯	ˈɛ	0.465
ɔ	ˈɔ	0.455
ɔ	o	0.545
ɪ	ˈɛ	0.055
ɪ	ˈi	0.945
ʃ	ʨ_a	0.175
ʃ	ʨ	0.75
ã	ˈɛ_n	0.536
e	ˈɛ	0.16
j	j	0.766
t	t_a	0.066
ɑɔ̯	ˈɔ	0.836
ɛ	e	0.26
a	ˈa	0.377
e	a	0.127
ẽɪ̯̃	ˈi_n	0.297
i	ˈɔ	0.067
m	m_a	0.337
p	p	0.927
u	ˈo_s	0.207
u	o	0.417
w	ˈe	0.567
æɛ̯	ˈɛ	0.397
øʏ̯	w_ˈɛ_k	0.457
œ	w_ˈɛ	0.217
ɥ	-	0.157
ʁ	r_a	0.127
ã	ˈa_n	0.128
s	ʧ	0.148
t	t_e	0.248
v	-	0.18
v	v	0.798
w	ˈi	0.068
øʏ̯	j	0.078
œ	-	0.068
ɒ̃ʊ̯̃	ˈo_n	0.618
b	b	0.919
d	d	0.799
ẽɪ̯̃	n	0.239
l	l	0.819
n	n_a	0.379
s	s	0.529
æɛ̯	ˈe	0.099
œ	a	0.289
ɛ	ˈe	0.189
ɥ	ˈu	0.289
