Pennsylvania German	Swiss German	probability
b	b̥	1.0
d	t	0.543
d	d̥	0.361
d	tː	0.086
f	f	0.95
f	fː	0.036
f	p͡f	0.031
h	h	0.936
h	-	0.064
j	ɡ̊	0.591
j	j	0.403
k	k	0.304
k	ɡ̊_ɡ̊	0.274
k	χ	0.208
k	ɡ̊	0.192
kʰ	χ	0.974
kʰ	-	0.038
l	l	0.95
l	-	0.029
l	w	0.028
m	m	0.964
m	mː	0.041
n	n	0.763
n	-	0.216
n	nː	0.03
n_t	ŋ	1.0
p	b̥	0.486
p	p͡f	0.321
p	p	0.105
p͡f	p͡f	0.118
s	s	0.75
s	sː	0.198
s	ʦ	0.049
t	t	0.684
t	d̥	0.22
t	-	0.065
t	ɡ̊	0.03
v	b̥	0.52
v	-	0.316
v	ʋ	0.128
x	χ	1.0
ç	χ	0.516
ç	ɡ̊	0.353
ç	-	0.061
ç	t	0.061
ŋ	ŋ	0.759
ŋ	ŋ_ɡ̊	0.237
ɑ	ə	0.503
ɑ	r	0.461
ɑ	rː	0.036
ə	ə	0.773
ə	-	0.185
ə	i	0.032
ɡ	ɡ̊	0.927
ɡ	χ	0.071
ɣ	ɡ̊	0.758
ɣ	-	0.182
ɪ	i	0.658
ɪ	-	0.315
ɾ	r	1.0
ɾ_ɪ	r	1.0
ʃ	ʃ	0.951
ʃ	ʃː	0.049
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈɒ	0.602
ˈa	ˈa	0.128
ˈa	ˈɒː	0.072
ˈa	ˈæ	0.041
ˈa	ˈi	0.041
ˈaɪ̯	ˈiː	0.418
ˈaɪ̯	ˈyː	0.323
ˈaɪ̯	ˈøi̯	0.062
ˈaɪ̯	ˈɛi̯	0.054
ˈaɪ̯	ˈiə̯	0.054
ˈaʊ̯	ˈuː	0.929
ˈaʊ̯	ˈou̯	0.066
ˈaː	ˈu	0.24
ˈaː	ˈɒː	0.24
ˈaː	ˈo_r	0.168
ˈaː	r	0.118
ˈaː	ˈoː	0.075
ˈeː	ˈøː	0.212
ˈeː	ˈeː	0.195
ˈeː	ˈæi̯	0.153
ˈeː	ˈɛi̯	0.107
ˈeː	ˈæ	0.107
ˈiː	ˈyː	0.424
ˈiː	ˈyə̯	0.237
ˈiː	ˈiə̯	0.237
ˈiː	ˈy	0.093
ˈoː	ˈoː	0.676
ˈoː	ˈɒː	0.235
ˈoː	ˈo	0.078
ˈuː	ˈuə̯	0.735
ˈuː	ˈyə̯	0.149
ˈuː	ˈu	0.101
ˈɔ	ˈo	0.788
ˈɔ	ˈu	0.092
ˈɔ	ˈoː	0.085
ˈɔ	ˈou̯	0.037
ˈɔɪ̯	ˈei̯	0.241
ˈɔː	ˈɒː	0.279
ˈɔː	ˈau̯	0.203
ˈɔː	ˈɒ	0.177
ˈɔː	ˈou̯	0.137
ˈɔː	ˈøi̯	0.056
ˈɛ	ˈæ	0.5
ˈɛ	ˈø	0.155
ˈɛ	ˈe	0.155
ˈɛ	ˈæː	0.106
ˈɛ	ˈi	0.048
ˈɛː	ˈæː	0.29
ˈɛː	ˈæ	0.274
ˈɛː	ˈe	0.22
ˈɛː	ˈi	0.098
ˈɛː	ˈo	0.071
ˈɪ	ˈi	0.601
ˈɪ	ˈy	0.22
ˈɪ	ˈu	0.081
ˈɪ	ˈiə̯	0.046
ˈɪ	ˈyː	0.046
ˈʊ	ˈu	0.496
ˈʊ	ˈo	0.152
ˈʊ	ˈuə̯	0.152
ˈʊ	ˈuː	0.115
ˈʊ	ˈøi̯	0.068
