Pennsylvania German	Swiss German	probability
b̥	b̥	1.0
eː	æ	1.0
pʰ	p͡f	1.0
p͡f	p͡f	1.0
t	t	1.0
x	χ	1.0
ŋ	ŋ	1.0
ɡ̊	ɡ̊	1.0
ɾ	r	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈɔɪ̯	ˈæi̯	1.0
d	t	0.491
l	l	0.951
m	m	0.91
s	sː	0.321
s	s	0.651
v	b̥	0.471
ç	χ	0.541
ɡ	χ	0.051
ɪ	-	0.451
ˈa	ˈo	0.051
ˈaɪ̯	ˈyː	0.281
ˈaʊ̯	ˈau̯	0.091
ˈɔ	ˈo	0.691
ˈɛ	ˈe	0.11
j	ɡ̊	0.522
kʰ	χ	0.882
p	p	0.292
ˈa	ˈɒː	0.072
ˈɔː	ˈɒː	0.462
ˈɛː	ˈi	0.162
ˈʊ	ˈo	0.072
ˈʊ	ˈu	0.622
d̥	t	0.53
h	h	0.983
k	kː	0.063
k	k	0.343
ˈaː	ˈɒ	0.183
ˈeː	ˈæ	0.083
ˈiː	ˈyə̯	0.153
ˈiː	ˈiə̯	0.233
ˈiː	ˈyː	0.423
ˈɪ	ˈyː	0.073
ˈɪ	ˈi	0.653
f	fː	0.094
v	ʋ	0.254
ɣ	-	0.304
ˈaɪ̯	ˈei̯	0.054
ˈaɪ̯	ˈøi̯	0.054
ˈaɪ̯	ˈiː	0.424
ˈaː	ˈoː	0.054
ˈuː	ˈuə̯	0.754
ˈɛ	ˈø	0.144
ˈɛː	ˈæː	0.164
ˈʊ	ˈuː	0.064
ˈʊ	ˈoː	0.084
f	f	0.895
n	nː	0.075
v	-	0.275
ˈaɪ̯	ˈæi̯	0.055
ˈaː	ˈo	0.355
ˈiː	ˈy	0.055
ˈɔ	ˈu	0.225
ˈɔː	ˈɒ	0.205
ˈɛ	ˈæː	0.065
d	tː	0.096
d̥	d̥	0.376
ɣ	ɡ̊	0.696
ʃ	ʃ	0.976
ˈa	ˈi	0.056
ˈeː	ˈøː	0.206
ˈeː	ˈeː	0.266
ˈeː	ˈæi̯	0.366
ˈoː	ˈo	0.076
ˈoː	ˈɒː	0.186
ˈɛː	ˈe	0.096
k	χ	0.217
k	ɡ̊ː	0.377
kʰ	k	0.107
n	n	0.727
ə	-	0.177
ˈiː	ˈi	0.07
ˈuː	ˈyə̯	0.147
ˈɛ	ˈi	0.087
ˈɪ	ˈy	0.217
ˈʊ	ˈøi̯	0.07
ˈʊ	ˈuə̯	0.087
b	b̥	0.98
j	j	0.478
m	mː	0.068
n	ŋ	0.058
p	p͡f	0.708
ç	t	0.078
ç	ɡ̊	0.38
ɑ	r	0.878
ˈa	ˈæ	0.068
ˈa	ˈe	0.068
ˈaː	ˈɒː	0.18
ˈoː	ˈoː	0.738
ˈɛ	ˈæ	0.568
ˈɛː	ˈo	0.068
d	d̥	0.379
n	-	0.139
ə	ə	0.809
ɡ	ɡ̊	0.949
ɪ	i	0.549
ˈa	ˈɒ	0.669
ˈaʊ̯	ˈuː	0.909
ˈaː	ˈu	0.229
ˈuː	ˈu	0.099
ˈɔː	ˈau̯	0.219
ˈɛː	ˈæ	0.509
