Latin	Latin	probability
ˈɛ̃ː	ˈa	1.0
ˈuː	ˈu	1.0
ˈu	-	1.0
ˈoː_t	ˈo_tː	1.0
ˈoe̯	-	1.0
ˈi	ˈi	1.0
ˈeː_r	ˈe	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈae̯	ˈe	1.0
ˈa_n	ˈa	1.0
ˈa	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	u	1.0
ʊ_ɫ	u_r	1.0
ʊ_s	u	1.0
ɫ_s	ʦː	1.0
ɪ̃	-	1.0
ɡʷ	ɡ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	i	1.0
ɛ_n	i_n	1.0
ɛ_#>	#>	1.0
ŋ_ɡ	ɲː	1.0
w_ʊ̃ː	u	1.0
uː	u	1.0
u	-	1.0
tː	tː	1.0
tʰ	d	1.0
t_ˈaː	d	1.0
t_ãː	dː_a	1.0
s_p	pː	1.0
s_eː	s_i	1.0
s_#>	j_#>	1.0
rː	rː	1.0
r_ɛ̃ː	r_i	1.0
r_s	sː	1.0
r_n	rː	1.0
r_m	j_mː	1.0
r_k	xː	1.0
p_ɫ	p_j	1.0
oː_n	ɔ	1.0
oː	u	1.0
o	u	1.0
nː	-	1.0
n_ʊ̃ː	u	1.0
mː	mː	1.0
lʲ_i	ʎː	1.0
lʲ	l	1.0
kː	kː	1.0
k_ʊ̃ː	ɡː_u	1.0
k_ʊ	ʧː	1.0
k_ɫ	ʧ	1.0
k_t	tː	1.0
k_r	ɡ_r	1.0
k_a	k_a	1.0
j	ʤ	1.0
i_ˈaː	j	1.0
fː	fː	1.0
f_ɫ	f_j	1.0
f	f	1.0
eː	i	1.0
d_i	ʣ	1.0
bː	bː	1.0
ãː	a	1.0
aː	a	1.0
ae̯	i	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_au̯	<#_a	1.0
<#	<#_ˈo	1.0
#>	i_#>	1.0
ˈiː	ˈi	0.926
d	d	0.926
n	n	0.885
r_ɛ_#>	#>	0.857
a	a	0.857
p	p	0.805
ɛ̃ː	i	0.8
ˈɔ	ˈɔ	0.781
ɫ_ʊ̃ː	r_u	0.75
ŋ	ŋ	0.75
m	m	0.75
lʲː	dː	0.75
ɛ_r	a_r	0.727
ˈeː	ˈɛ	0.714
sː	sː	0.714
b	b	0.69
s_k	ʃː	0.667
kʷ	k	0.667
i	-	0.667
r	r	0.649
ɔ	u	0.643
ɪ	i	0.6
e	-	0.6
iː	i	0.571
s	s	0.567
t	t	0.545
ˈɛ	ˈe	0.537
w	v	0.533
ɫ	r	0.529
t_i	ʦː	0.5
t_i	ʒ	0.5
ˈoː	ˈɔ	0.474
ˈʊ	ˈo	0.471
ˈɛ	ˈɛ	0.463
ˈɪ	ˈi	0.455
ɛ	i	0.438
iː	-	0.429
k	ʦ	0.424
ˈoː	ˈo	0.421
ˈʊ	ˈu	0.412
ɪ	-	0.4
ɡ	ʤ	0.4
e	i	0.4
ɡ	-	0.35
ʊ	u	0.333
ʊ	i	0.333
ʊ	-	0.333
s_k	x	0.333
kʷ	-	0.333
i	ɲː	0.333
ɛ	ˈi	0.312
w	β	0.3
ɫ	j	0.294
sː	-	0.286
ˈɪ	ˈɛ	0.273
ˈɪ	ˈe	0.273
ɛ_r	r	0.273
ɫ_ʊ̃ː	u	0.25
ɡ	ɡ	0.25
ɛ	-	0.25
ŋ	-	0.25
t	dː	0.25
lʲː	-	0.25
ˈɔ	ˈo	0.219
ɔ	-	0.214
ɛ̃ː	u	0.2
m	mː	0.194
ɫ	-	0.176
b	-	0.172
s	z	0.167
k	ɡ	0.152
ˈeː	ˈe	0.143
ˈeː	-	0.143
ɔ	r	0.143
r_ɛ_#>	ˈa_#>	0.143
a	-	0.143
b	β	0.138
s	ɬ	0.133
k	ɡː	0.121
k	-	0.121
ˈʊ	ˈɔ	0.118
ˈoː	-	0.105
w	b	0.1
p	bː	0.098
p	-	0.098
t	-	0.091
k	xː	0.091
k	k	0.091
r	ɬ	0.081
r	j	0.081
r	-	0.081
n	nː	0.077
ˈiː	i	0.074
d	-	0.074
t	tː	0.068
w	-	0.067
s	i_ɬ	0.067
s	-	0.067
m	-	0.056
r	ˈe	0.054
r	u	0.054
