Sassarese	Sassarese	probability
β_i	f	1.0
β_a_n	ẽ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_ɡː	ˈøː_k	1.0
ˈɔ_sː	ˈɔ_s	1.0
ˈɔ_n	ˈũ	1.0
ˈu_n	ˈỹ	1.0
ˈo_n	ˈũ	1.0
ˈi_n	ˈĩ	1.0
ˈa_ɬ	ˈɔ_l	1.0
ˈa_ŋ	ˈã	1.0
ˈa_n	ˈã	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	ʧ	1.0
ʧ	ʧ	1.0
ʦ_i	s	1.0
ʦ	s	1.0
ʤː	-	1.0
ʣ	s	1.0
ʒ	-	1.0
ʎː	j	1.0
ʃː	s	1.0
ɲː_u	ɲ	1.0
ɮ	-	1.0
ŋ	-	1.0
z	-	1.0
xː	k	1.0
x	k	1.0
w	w	1.0
v	v	1.0
tː_u	ʧ	1.0
tː_i	t	1.0
tː	t	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r_u	l	1.0
r_i	r	1.0
r_a	a	1.0
pː	s_p	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
k_ˈa	k	1.0
k	k	1.0
fː	-	1.0
f	f	1.0
e	e	1.0
dː_u	l	1.0
d_u	t	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#	1.0
<#_a	<#	1.0
a	a	0.942
u_#>	#>	0.941
m	m	0.913
d	d	0.875
n	n	0.867
ˈi_#>	ˈi_#>	0.7
ˈu	ˈyː	0.667
ɬ	s	0.667
ɡː	k	0.667
ɡ	ɡ	0.667
i	-	0.63
r	r	0.615
bː	-	0.6
a_r	e_r	0.6
ˈi	ˈiː	0.588
β	v	0.571
ʤ	ʒ	0.571
ˈe	ˈɛ	0.567
ˈa	ˈɑː	0.553
ˈɛ	ˈɛ	0.5
ʦː	s	0.5
ʦː	l_s	0.5
ɲː	ɲ	0.5
ɲː	-	0.5
#>	ˈi_#>	0.5
#>	ʧ_#>	0.5
j	j	0.455
dː	t	0.438
β	f	0.429
ʤ	ʤ	0.429
u	u	0.417
bː	v	0.4
a_r	r	0.4
ˈa	ˈa	0.395
ɬ	r	0.333
ɡː	ɡ	0.333
ɡ	k	0.333
ˈi_#>	#>	0.3
ˈi	-	0.294
ˈɛ	ˈeː	0.25
dː	d	0.25
ˈɔ	ˈɔ	0.241
ˈe	ˈeː	0.233
r	l	0.231
j	-	0.227
u	-	0.208
ˈɔ	ˈøː	0.207
ˈɔ	ˈu	0.207
i	e	0.204
ˈu	-	0.2
ˈe	ˈe	0.2
dː	-	0.188
ˈo	ˈɔ	0.182
j	r	0.182
ˈɔ	ˈuː	0.172
ˈɛ	-	0.167
u	y	0.167
ˈo	ˈœ	0.136
ˈo	ˈøː	0.136
ˈo	ˈuː	0.136
ˈo	ˈu	0.136
j	s	0.136
ˈu	ˈu	0.133
n	-	0.133
u	i	0.125
dː	l	0.125
d	-	0.125
ˈi	ˈi	0.118
r	e	0.103
i	i	0.093
ˈo	ˈyː	0.091
ˈo	ˈy	0.091
ˈo	ˈoː	0.091
m	-	0.087
ˈɛ	ˈẽ	0.083
u	s	0.083
ˈɔ	ˈoː	0.069
ˈɔ	-	0.069
u_#>	r_#>	0.059
a	-	0.058
ˈa	ˈɔ	0.053
r	-	0.051
